home_team,away_team,home_score,away_score,result,city,country,source_file
Myanmar,Laos,3,0,1,Bangkok,Thailand,1968_kings_cup.txt
Thailand,Singapore,3,0,1,Bangkok,Thailand,1968_kings_cup.txt
Indonesia,Malaysia,1,0,1,Bangkok,Thailand,1968_kings_cup.txt
Myanmar,Singapore,2,0,1,Bangkok,Thailand,1968_kings_cup.txt
Thailand,Laos,1,0,1,Bangkok,Thailand,1968_kings_cup.txt
Myanmar,Indonesia,1,3,2,Bangkok,Thailand,1968_kings_cup.txt
Laos,Malaysia,0,5,2,Bangkok,Thailand,1968_kings_cup.txt
Indonesia,Singapore,7,0,1,Bangkok,Thailand,1968_kings_cup.txt
Thailand,Malaysia,3,0,1,Bangkok,Thailand,1968_kings_cup.txt
Indonesia,Malaysia,6,1,1,Bangkok,Thailand,1968_kings_cup.txt
Thailand,Myanmar,0,2,2,Bangkok,Thailand,1968_kings_cup.txt
Thailand,Malaysia,6,0,1,Bangkok,Thailand,1968_kings_cup.txt
Myanmar,Indonesia,0,1,2,Bangkok,Thailand,1968_kings_cup.txt
South Korea,Laos,2,0,1,Bangkok,Thailand,1969_kings_cup.txt
Thailand,Malaysia,2,2,X,Bangkok,Thailand,1969_kings_cup.txt
Vietnam Republic,Western Australia,3,1,1,Bangkok,Thailand,1969_kings_cup.txt
Indonesia,Singapore,2,3,2,Bangkok,Thailand,1969_kings_cup.txt
South Korea,Malaysia,2,0,1,Bangkok,Thailand,1969_kings_cup.txt
Thailand,Laos,3,4,2,Bangkok,Thailand,1969_kings_cup.txt
Indonesia,Vietnam Republic,3,1,1,Bangkok,Thailand,1969_kings_cup.txt
Singapore,Western Australia,1,3,2,Bangkok,Thailand,1969_kings_cup.txt
Laos,Malaysia,1,1,X,Bangkok,Thailand,1969_kings_cup.txt
Thailand,South Korea,0,0,X,Bangkok,Thailand,1969_kings_cup.txt
Indonesia,Western Australia,3,1,1,Bangkok,Thailand,1969_kings_cup.txt
Singapore,Vietnam Republic,1,1,X,Bangkok,Thailand,1969_kings_cup.txt
Indonesia,Laos,3,1,1,Bangkok,Thailand,1969_kings_cup.txt
South Korea,Vietnam Republic,3,0,1,Bangkok,Thailand,1969_kings_cup.txt
Indonesia,South Korea,0,1,2,Bangkok,Thailand,1969_kings_cup.txt
