home_team,away_team,home_score,away_score,result,city,country,source_file
Indonesia,Vietnam Republic,9,1,1,Seoul,South Korea,1971_korea_cup.txt
South Korea,Thailand,1,0,1,Seoul,South Korea,1971_korea_cup.txt
Myanmar,Taiwan,2,0,1,Seoul,South Korea,1971_korea_cup.txt
Cambodia,Malaysia,1,3,2,Seoul,South Korea,1971_korea_cup.txt
Cambodia,Thailand,3,4,2,Seoul,South Korea,1971_korea_cup.txt
Myanmar,Vietnam Republic,2,0,1,Seoul,South Korea,1971_korea_cup.txt
South Korea,Malaysia,5,1,1,Seoul,South Korea,1971_korea_cup.txt
Myanmar,Indonesia,3,1,1,Seoul,South Korea,1971_korea_cup.txt
Malaysia,Thailand,4,1,1,Seoul,South Korea,1971_korea_cup.txt
South Korea,Cambodia,2,0,1,Seoul,South Korea,1971_korea_cup.txt
Myanmar,Malaysia,6,1,1,Seoul,South Korea,1971_korea_cup.txt
South Korea,Indonesia,3,0,1,Seoul,South Korea,1971_korea_cup.txt
Indonesia,Malaysia,4,2,1,Seoul,South Korea,1971_korea_cup.txt
South Korea,Myanmar,0,0,X,Seoul,South Korea,1971_korea_cup.txt
South Korea,Myanmar,0,0,X,Seoul,South Korea,1971_korea_cup.txt
Cambodia,Malaysia,0,1,2,Seoul,South Korea,1972_korea_cup.txt
South Korea,Thailand,3,0,1,Seoul,South Korea,1972_korea_cup.txt
Myanmar,Philippines,4,0,1,Seoul,South Korea,1972_korea_cup.txt
South Korea,Cambodia,3,1,1,Seoul,South Korea,1972_korea_cup.txt
Malaysia,Thailand,1,1,X,Seoul,South Korea,1972_korea_cup.txt
Myanmar,Indonesia,1,1,X,Seoul,South Korea,1972_korea_cup.txt
Philippines,Singapore,0,5,2,Seoul,South Korea,1972_korea_cup.txt
Cambodia,Thailand,0,0,X,Seoul,South Korea,1972_korea_cup.txt
South Korea,Malaysia,2,0,1,Seoul,South Korea,1972_korea_cup.txt
Myanmar,Singapore,1,0,1,Seoul,South Korea,1972_korea_cup.txt
Cambodia,Philippines,1,0,1,Seoul,South Korea,1972_korea_cup.txt
South Korea,Myanmar,0,1,2,Seoul,South Korea,1972_korea_cup.txt
Indonesia,Malaysia,3,1,1,Seoul,South Korea,1972_korea_cup.txt
Singapore,Thailand,1,4,2,Seoul,South Korea,1972_korea_cup.txt
Myanmar,Indonesia,3,1,1,Seoul,South Korea,1972_korea_cup.txt
South Korea,Malaysia,1,0,1,Seoul,South Korea,1972_korea_cup.txt
Myanmar,Thailand,2,2,X,Seoul,South Korea,1973_korea_cup.txt
South Korea,Cambodia,6,0,1,Seoul,South Korea,1973_korea_cup.txt
South Korea,Indonesia,3,1,1,Seoul,South Korea,1973_korea_cup.txt
Malaysia,Thailand,5,1,1,Seoul,South Korea,1973_korea_cup.txt
Myanmar,Malaysia,1,3,2,Seoul,South Korea,1973_korea_cup.txt
Indonesia,Cambodia,2,3,2,Seoul,South Korea,1973_korea_cup.txt
Cambodia,Malaysia,2,0,1,Seoul,South Korea,1973_korea_cup.txt
South Korea,Myanmar,0,1,2,Seoul,South Korea,1973_korea_cup.txt
Myanmar,Cambodia,0,0,X,Seoul,South Korea,1973_korea_cup.txt
South Korea,Malaysia,2,0,1,Seoul,South Korea,1973_korea_cup.txt
South Korea,Cambodia,0,1,2,Seoul,South Korea,1974_korea_cup.txt
Myanmar,Thailand,2,1,1,Seoul,South Korea,1974_korea_cup.txt
South Korea,Myanmar,3,0,1,Seoul,South Korea,1974_korea_cup.txt
Myanmar,Cambodia,6,0,1,Seoul,South Korea,1974_korea_cup.txt
Myanmar,Thailand,4,1,1,Seoul,South Korea,1975_korea_cup.txt
South Korea,Lebanon,1,0,1,Seoul,South Korea,1975_korea_cup.txt
South Korea,Myanmar,1,0,1,Seoul,South Korea,1975_korea_cup.txt
South Korea,Malaysia,4,4,X,Seoul,South Korea,1976_korea_cup.txt
Myanmar,New Zealand,0,2,2,Seoul,South Korea,1976_korea_cup.txt
South Korea,India,4,0,1,Seoul,South Korea,1976_korea_cup.txt
Malaysia,Singapore,4,1,1,Seoul,South Korea,1976_korea_cup.txt
India,Singapore,1,2,2,Seoul,South Korea,1976_korea_cup.txt
Myanmar,Thailand,2,0,1,Seoul,South Korea,1976_korea_cup.txt
South Korea,Singapore,7,0,1,Seoul,South Korea,1976_korea_cup.txt
New Zealand,Thailand,3,1,1,Seoul,South Korea,1976_korea_cup.txt
India,Malaysia,0,4,2,Seoul,South Korea,1976_korea_cup.txt
South Korea,New Zealand,2,0,1,Seoul,South Korea,1976_korea_cup.txt
India,Thailand,0,4,2,Seoul,South Korea,1977_korea_cup.txt
South Korea,Thailand,5,1,1,Seoul,South Korea,1977_korea_cup.txt
South Korea,India,3,0,1,Busan,South Korea,1977_korea_cup.txt
Bahrain,Malaysia,1,3,2,Daegu,South Korea,1977_korea_cup.txt
South Korea,Malaysia,3,0,1,Seoul,South Korea,1977_korea_cup.txt
Malaysia,Thailand,1,1,X,Seoul,South Korea,1977_korea_cup.txt
Bahrain,Malaysia,1,2,2,Seoul,South Korea,1978_korea_cup.txt
Indonesia,Thailand,0,2,2,Seoul,South Korea,1978_korea_cup.txt
Lebanon,Mexico,1,7,2,Seoul,South Korea,1978_korea_cup.txt
South Korea,Malaysia,2,2,X,Busan,South Korea,1978_korea_cup.txt
South Korea,Bahrain,3,1,1,Daegu,South Korea,1978_korea_cup.txt
South Korea,Sudan,8,0,1,Seoul,South Korea,1979_korea_cup.txt
Indonesia,Thailand,0,2,2,Seoul,South Korea,1979_korea_cup.txt
Bangladesh,Sudan,1,4,2,Seoul,South Korea,1979_korea_cup.txt
South Korea,Sri Lanka,6,0,1,Daegu,South Korea,1979_korea_cup.txt
South Korea,Bahrain,5,1,1,Chungju,South Korea,1979_korea_cup.txt
South Korea,Bangladesh,9,0,1,Incheon,South Korea,1979_korea_cup.txt
Sri Lanka,Sudan,0,1,2,Incheon,South Korea,1979_korea_cup.txt
Indonesia,Thailand,2,1,1,Seoul,South Korea,1980_korea_cup.txt
South Korea,Malaysia,2,0,1,Seoul,South Korea,1980_korea_cup.txt
Bahrain,Malaysia,1,1,X,Seoul,South Korea,1980_korea_cup.txt
South Korea,Indonesia,3,0,1,Chuncheon,South Korea,1980_korea_cup.txt
Bahrain,Indonesia,2,3,2,Seoul,South Korea,1980_korea_cup.txt
South Korea,Thailand,4,0,1,Daejeon,South Korea,1980_korea_cup.txt
South Korea,Bahrain,5,0,1,Gwangju,South Korea,1980_korea_cup.txt
Malaysia,Thailand,1,4,2,Seoul,South Korea,1980_korea_cup.txt
Bahrain,Thailand,0,1,2,Seoul,South Korea,1980_korea_cup.txt
Indonesia,Malaysia,1,1,X,Seoul,South Korea,1980_korea_cup.txt
South Korea,Indonesia,2,0,1,Seoul,South Korea,1980_korea_cup.txt
Liechtenstein,Malta,1,1,X,Daejeon,South Korea,1981_korea_cup.txt
Liechtenstein,Thailand,0,2,2,Jeonju,South Korea,1981_korea_cup.txt
South Korea,Malaysia,2,0,1,Jeonju,South Korea,1981_korea_cup.txt
Indonesia,Malta,0,1,2,Daegu,South Korea,1981_korea_cup.txt
Japan,Malaysia,2,0,1,Daegu,South Korea,1981_korea_cup.txt
Indonesia,Thailand,1,3,2,Seoul,South Korea,1981_korea_cup.txt
South Korea,Japan,2,0,1,Busan,South Korea,1981_korea_cup.txt
Indonesia,Liechtenstein,2,3,2,Seoul,South Korea,1981_korea_cup.txt
Malta,Thailand,2,0,1,Seoul,South Korea,1981_korea_cup.txt
South Korea,India,1,0,1,Busan,South Korea,1982_korea_cup.txt
Malaysia,Thailand,1,1,X,Busan,South Korea,1982_korea_cup.txt
South Korea,Bahrain,3,0,1,Gwangju,South Korea,1982_korea_cup.txt
Bahrain,India,0,0,X,Incheon,South Korea,1982_korea_cup.txt
Nigeria,Thailand,0,0,X,Seoul,South Korea,1983_korea_cup.txt
South Korea,Thailand,4,0,1,Suwon,South Korea,1983_korea_cup.txt
Ghana,New Zealand,0,2,2,Seoul,South Korea,1983_korea_cup.txt
Indonesia,Thailand,0,3,2,Seoul,South Korea,1983_korea_cup.txt
South Korea,Nigeria,1,0,1,Seoul,South Korea,1983_korea_cup.txt
New Zealand,Sudan,1,1,X,Daegu,South Korea,1983_korea_cup.txt
Indonesia,Nigeria,1,2,2,Seoul,South Korea,1983_korea_cup.txt
South Korea,Indonesia,3,0,1,Jeonju,South Korea,1983_korea_cup.txt
Ghana,Sudan,3,1,1,Seoul,South Korea,1983_korea_cup.txt
South Korea,Ghana,1,0,1,Seoul,South Korea,1983_korea_cup.txt
South Korea,Guatemala,2,0,1,Busan,South Korea,1984_korea_cup.txt
Canada,Ghana,2,1,1,Seoul,South Korea,1985_korea_cup.txt
Bahrain,Malaysia,3,1,1,Seoul,South Korea,1985_korea_cup.txt
South Korea,Thailand,3,2,1,Daejeon,South Korea,1985_korea_cup.txt
South Korea,Bahrain,3,0,1,Gwangju,South Korea,1985_korea_cup.txt
Canada,Iraq,1,6,2,Gwangju,South Korea,1985_korea_cup.txt
South Korea,Iraq,2,0,1,Seoul,South Korea,1985_korea_cup.txt
Egypt,United States,3,1,1,Seoul,South Korea,1987_korea_cup.txt
Australia,Morocco,1,0,1,Gangneung,South Korea,1987_korea_cup.txt
South Korea,Egypt,0,0,X,Masan,South Korea,1987_korea_cup.txt
Egypt,Thailand,1,1,X,Busan,South Korea,1987_korea_cup.txt
South Korea,United States,1,0,1,Busan,South Korea,1987_korea_cup.txt
South Korea,Thailand,4,2,1,Daejeon,South Korea,1987_korea_cup.txt
Thailand,United States,0,1,2,Cheongju,South Korea,1987_korea_cup.txt
Australia,Egypt,0,0,X,Seoul,South Korea   [Australia wins on penalties],1987_korea_cup.txt
South Korea,Australia,1,1,X,Seoul,South Korea   [South Korea wins on penalties],1987_korea_cup.txt
South Korea,Zambia,4,0,1,Suwon,South Korea,1988_korea_cup.txt
South Korea,Czechoslovakia,0,0,X,Seoul,South Korea,1989_korea_cup.txt
Indonesia,Malta,0,3,2,Seoul,South Korea,1991_korea_cup.txt
South Korea,Egypt,0,0,X,Seoul,South Korea,1991_korea_cup.txt
Egypt,Malta,5,2,1,Daejeon,South Korea,1991_korea_cup.txt
South Korea,Indonesia,3,0,1,Daejeon,South Korea,1991_korea_cup.txt
Egypt,Indonesia,6,0,1,Seoul,South Korea,1991_korea_cup.txt
South Korea,Malta,1,1,X,Gwangju,South Korea,1991_korea_cup.txt
South Korea,Australia,0,0,X,Seoul,South Korea   [South Korea wins on penalties],1991_korea_cup.txt
South Korea,Egypt,2,0,1,Seoul,South Korea,1991_korea_cup.txt
South Korea,Romania,2,2,X,Seoul,South Korea,1993_korea_cup.txt
South Korea,Czech Republic,1,2,2,Seoul,South Korea,1993_korea_cup.txt
South Korea,Egypt,1,2,2,Seoul,South Korea,1993_korea_cup.txt
Egypt,Romania,3,2,1,Seoul,South Korea,1993_korea_cup.txt
South Korea,Czech Republic,1,0,1,Seoul,South Korea,1993_korea_cup.txt
South Korea,Egypt,0,1,2,Seoul,South Korea,1993_korea_cup.txt
Ecuador,Zambia,4,1,1,Changwon,South Korea,1995_korea_cup.txt
South Korea,Costa Rica,1,0,1,Suwon,South Korea,1995_korea_cup.txt
Costa Rica,Ecuador,1,2,2,Seoul,South Korea,1995_korea_cup.txt
South Korea,Zambia,2,3,2,Seoul,South Korea,1995_korea_cup.txt
Ecuador,Zambia,1,0,1,Seoul,South Korea,1995_korea_cup.txt
Ghana,Serbia,1,3,2,Seoul,South Korea,1997_korea_cup.txt
South Korea,Egypt,3,1,1,Seoul,South Korea,1997_korea_cup.txt
Egypt,Serbia,0,0,X,Suwon,South Korea,1997_korea_cup.txt
South Korea,Ghana,3,0,1,Suwon,South Korea,1997_korea_cup.txt
Egypt,Ghana,2,0,1,Seoul,South Korea,1997_korea_cup.txt
South Korea,Serbia,1,1,X,Seoul,South Korea,1997_korea_cup.txt
South Korea,Mexico,1,1,X,Seoul,South Korea,1999_korea_cup.txt
Croatia,Egypt,2,2,X,Seoul,South Korea,1999_korea_cup.txt
Croatia,Mexico,2,1,1,Seoul,South Korea,1999_korea_cup.txt
South Korea,Egypt,0,0,X,Seoul,South Korea,1999_korea_cup.txt
Egypt,Mexico,0,2,2,Seoul,South Korea,1999_korea_cup.txt
South Korea,Croatia,1,1,X,Seoul,South Korea,1999_korea_cup.txt
