time,home_team,away_team,home_score,away_score,result,ht_score,source_file
20.00,FC Triesen III,FC Vaduz III,0,3,2,,2023-24_licup.txt
20.00,FC Ruggell,FC Vaduz,1,8,2,,2023-24_licup.txt
,Mauren II,FC Triesen,1,2,2,,2023-24_licup.txt
,FC Triesen II,FC Triesenberg,0,8,2,,2023-24_licup.txt
20.00,FC Vaduz II,FC Balzers,0,1,2,,2023-24_licup.txt
20.15,FC Schaan II,FC Triesenberg II,6,1,1,,2023-24_licup.txt
20.00,FC Ruggell II,FC Balzers II,2,0,1,,2023-24_licup.txt
20.00,FC Ruggell II,FC Triesenberg,1,2,2,,2023-24_licup.txt
,FC Vaduz III,FC Balzers,1,6,2,,2023-24_licup.txt
,FC Schaan II,FC Triesen,1,4,2,,2023-24_licup.txt
,Mauren,FC Vaduz,1,2,2,,2023-24_licup.txt
20.00,FC Balzers,FC Vaduz,0,5,2,,2023-24_licup.txt
,FC Triesenberg,FC Triesen,2,0,1,,2023-24_licup.txt
19.00,FC Vaduz,FC Triesenberg,5,0,1,,2023-24_licup.txt
20.00,FC Balzers III,FC Vaduz III,2,6,2,,2024-25_licup.txt
20.00,FC Ruggell II,FC Schaan,2,1,1,,2024-25_licup.txt
20.00,FC Vaduz III,FC Ruggell,0,8,2,,2024-25_licup.txt
20.00,FC Triesen,FC Vaduz,0,13,2,,2024-25_licup.txt
,Mauren II,FC Schaan II,3,0,1,,2024-25_licup.txt
,FC Balzers II,FC Vaduz II,0,5,2,,2024-25_licup.txt
,FC Triesenberg II,FC Triesen II,3,2,1,,2024-25_licup.txt
,Mauren III,FC Balzers,1,6,2,,2024-25_licup.txt
20.00,FC Triesenberg II,FC Vaduz,0,10,2,,2024-25_licup.txt
20.00,FC Ruggell,FC Balzers,1,2,2,,2024-25_licup.txt
20.00,FC Ruggell II,FC Balzers,0,15,2,,2024-25_licup.txt
,Mauren,FC Vaduz,3,7,2,,2024-25_licup.txt
19.00,FC Balzers,FC Vaduz,2,3,2,,2024-25_licup.txt
