time,home_team,away_team,home_score,away_score,result,ht_score,source_file
18.00,FC Schifflange 95,Union Titus Pétange,3,3,X,1-2,2023-24_lu1.txt
16.00,F91 Dudelange,FC Wiltz 71,3,1,1,2-1,2023-24_lu1.txt
,UN Käerjéng,FC Mondercange,1,2,2,0-1,2023-24_lu1.txt
,Marisca Mersch,Victoria Rosport,1,2,2,0-0,2023-24_lu1.txt
,US Mondorf,RFCU Luxemburg,1,3,2,1-0,2023-24_lu1.txt
,UNA Strassen,Swift Hesperange,1,5,2,1-2,2023-24_lu1.txt
18.30,Jeunesse Esch,Progrès Niedercorn,1,3,2,1-1,2023-24_lu1.txt
19.00,FC Differdange 03,CS FOLA Esch,5,1,1,3-1,2023-24_lu1.txt
16.00,CS FOLA Esch,F91 Dudelange,3,2,1,1-0,2023-24_lu1.txt
,FC Mondercange,US Mondorf,3,2,1,1-1,2023-24_lu1.txt
,RFCU Luxemburg,FC Differdange 03,1,3,2,0-2,2023-24_lu1.txt
,UNA Strassen,UN Käerjéng,2,1,1,2-1,2023-24_lu1.txt
,Union Titus Pétange,Swift Hesperange,2,0,1,1-0,2023-24_lu1.txt
,Victoria Rosport,FC Schifflange 95,1,2,2,0-1,2023-24_lu1.txt
,FC Wiltz 71,Jeunesse Esch,0,1,2,0-0,2023-24_lu1.txt
18.30,Progrès Niedercorn,Marisca Mersch,4,3,1,2-1,2023-24_lu1.txt
16.00,F91 Dudelange,RFCU Luxemburg,2,0,1,2-0,2023-24_lu1.txt
,FC Differdange 03,FC Mondercange,2,0,1,1-0,2023-24_lu1.txt
,Swift Hesperange,Victoria Rosport,3,2,1,2-1,2023-24_lu1.txt
,Jeunesse Esch,CS FOLA Esch,4,1,1,3-1,2023-24_lu1.txt
,Marisca Mersch,FC Wiltz 71,1,1,X,1-0,2023-24_lu1.txt
,US Mondorf,UN Käerjéng,5,3,1,3-2,2023-24_lu1.txt
,FC Schifflange 95,Progrès Niedercorn,2,0,1,0-0,2023-24_lu1.txt
18.30,Union Titus Pétange,UNA Strassen,2,2,X,2-0,2023-24_lu1.txt
16.00,CS FOLA Esch,Marisca Mersch,1,2,2,0-1,2023-24_lu1.txt
,UN Käerjéng,FC Differdange 03,0,1,2,0-1,2023-24_lu1.txt
,FC Mondercange,F91 Dudelange,1,0,1,1-0,2023-24_lu1.txt
,RFCU Luxemburg,Jeunesse Esch,0,3,2,0-1,2023-24_lu1.txt
,UNA Strassen,US Mondorf,4,2,1,0-1,2023-24_lu1.txt
,Victoria Rosport,Union Titus Pétange,3,1,1,3-0,2023-24_lu1.txt
,FC Wiltz 71,FC Schifflange 95,2,1,1,0-0,2023-24_lu1.txt
18.30,Progrès Niedercorn,Swift Hesperange,2,0,1,0-0,2023-24_lu1.txt
16.00,F91 Dudelange,UN Käerjéng,4,1,1,3-0,2023-24_lu1.txt
