home_team,away_team,home_score,away_score,result,city,country,source_file
Malta,Finland,2,0,1,Attard,Malta,1988_malta_international_tournament.txt
Malta,Tunisia,2,1,1,Attard,Malta,1988_malta_international_tournament.txt
Finland,Tunisia,3,0,1,Attard,Malta,1988_malta_international_tournament.txt
Algeria,Finland,2,0,1,Attard,Malta,1989_malta_international_tournament.txt
Malta,Denmark,0,2,2,Attard,Malta,1989_malta_international_tournament.txt
Denmark,Finland,0,0,X,Attard,Malta,1989_malta_international_tournament.txt
Malta,Algeria,0,1,2,Attard,Malta,1989_malta_international_tournament.txt
Algeria,Denmark,0,0,X,Attard,Malta,1989_malta_international_tournament.txt
Malta,Finland,0,0,X,Attard,Malta,1989_malta_international_tournament.txt
South Korea,Norway,2,3,2,Attard,Malta,1990_malta_international_tournament.txt
Malta,Norway,1,1,X,Attard,Malta,1990_malta_international_tournament.txt
Malta,South Korea,1,2,2,Attard,Malta,1990_malta_international_tournament.txt
Malta,Iceland,1,0,1,Attard,Malta,1992_malta_international_tournament.txt
Georgia,Slovenia,0,1,2,Attard,Malta,1994_malta_international_tournament.txt
Malta,Tunisia,1,1,X,Attard,Malta,1994_malta_international_tournament.txt
Malta,Georgia,0,1,2,Attard,Malta,1994_malta_international_tournament.txt
Slovenia,Tunisia,2,2,X,Attard,Malta,1994_malta_international_tournament.txt
Georgia,Tunisia,2,0,1,Attard,Malta,1994_malta_international_tournament.txt
Malta,Slovenia,0,1,2,Attard,Malta,1994_malta_international_tournament.txt
Iceland,Slovenia,1,7,2,Attard,Malta,1996_malta_international_tournament.txt
Malta,Russia,0,2,2,Attard,Malta,1996_malta_international_tournament.txt
Iceland,Russia,0,3,2,Attard,Malta,1996_malta_international_tournament.txt
Malta,Slovenia,0,0,X,Attard,Malta,1996_malta_international_tournament.txt
Malta,Iceland,1,4,2,Attard,Malta,1996_malta_international_tournament.txt
Russia,Slovenia,3,1,1,Attard,Malta,1996_malta_international_tournament.txt
Georgia,Latvia,2,1,1,Attard,Malta,1998_malta_international_tournament.txt
Malta,Albania,1,1,X,Attard,Malta,1998_malta_international_tournament.txt
Albania,Georgia,0,3,2,Attard,Malta,1998_malta_international_tournament.txt
Malta,Latvia,2,1,1,Attard,Malta,1998_malta_international_tournament.txt
Albania,Latvia,2,2,X,Attard,Malta,1998_malta_international_tournament.txt
Malta,Georgia,1,3,2,Attard,Malta,1998_malta_international_tournament.txt
Albania,Andorra,3,0,1,Attard,Malta,2000_malta_international_tournament.txt
Malta,Azerbaijan,3,0,1,Attard,Malta,2000_malta_international_tournament.txt
Albania,Azerbaijan,1,0,1,Attard,Malta,2000_malta_international_tournament.txt
Malta,Andorra,1,1,X,Attard,Malta,2000_malta_international_tournament.txt
Andorra,Azerbaijan,0,0,X,Attard,Malta,2000_malta_international_tournament.txt
Malta,Albania,0,1,2,Attard,Malta,2000_malta_international_tournament.txt
Lithuania,Moldova,1,0,1,Attard,Malta,2002_malta_international_tournament.txt
Malta,Jordan,2,1,1,Attard,Malta,2002_malta_international_tournament.txt
Malta,Lithuania,1,1,X,Attard,Malta,2002_malta_international_tournament.txt
Moldova,Jordan,2,0,1,Attard,Malta,2002_malta_international_tournament.txt
Lithuania,Jordan,0,3,2,Attard,Malta,2002_malta_international_tournament.txt
Malta,Moldova,3,0,1,Attard,Malta,2002_malta_international_tournament.txt
Malta,Moldova,0,0,X,Attard,Malta,2004_malta_international_tournament.txt
Malta,Estonia,5,2,1,Attard,Malta,2004_malta_international_tournament.txt
Estonia,Moldova,1,0,1,Attard,Malta,2004_malta_international_tournament.txt
Malta,Georgia,0,2,2,Attard,Malta,2006_malta_international_tournament.txt
Belarus,Iceland,2,0,1,Attard,Malta,2008_malta_international_tournament.txt
Malta,Armenia,0,1,2,Attard,Malta,2008_malta_international_tournament.txt
Armenia,Belarus,2,1,1,Attard,Malta,2008_malta_international_tournament.txt
Malta,Iceland,1,0,1,Attard,Malta,2008_malta_international_tournament.txt
Armenia,Iceland,0,2,2,Attard,Malta,2008_malta_international_tournament.txt
Malta,Belarus,0,1,2,Attard,Malta,2008_malta_international_tournament.txt
