home_team,away_team,home_score,away_score,result,city,country,source_file
Indonesia,Thailand,4,0,1,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Singapore,Vietnam Republic,5,5,X,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Cambodia,Thailand,0,3,2,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Malaysia,Myanmar,5,2,1,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Singapore,Vietnam Republic,1,2,2,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Myanmar,Cambodia,2,0,1,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Malaysia,Vietnam Republic,1,4,2,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Singapore,Thailand,6,0,1,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Myanmar,Thailand,5,2,1,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Cambodia,Singapore,1,1,X,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Indonesia,Vietnam Republic,3,1,1,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Myanmar,Singapore,2,3,2,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Malaysia,Indonesia,4,2,1,Kuala Lumpur,Malaya,1957_merdeka_tournament.txt
Singapore,Vietnam Republic,4,4,X,Kuala Lumpur,Malaya,1958_merdeka_tournament.txt
Malaysia,Indonesia,3,2,1,Kuala Lumpur,Malaya,1958_merdeka_tournament.txt
Indonesia,Singapore,2,0,1,Kuala Lumpur,Malaya,1958_merdeka_tournament.txt
Indonesia,Vietnam Republic,4,1,1,Kuala Lumpur,Malaya,1958_merdeka_tournament.txt
Malaysia,Singapore,0,0,X,Kuala Lumpur,Malaya,1958_merdeka_tournament.txt
Malaysia,Vietnam Republic,2,0,1,Kuala Lumpur,Malaya,1958_merdeka_tournament.txt
South Korea,Vietnam Republic,2,3,2,Kuala Lumpur,Malaya,1959_merdeka_tournament.txt
India,Singapore,2,0,1,Kuala Lumpur,Malaya,1959_merdeka_tournament.txt
South Korea,Singapore,4,1,1,Kuala Lumpur,Malaya,1959_merdeka_tournament.txt
Malaysia,Vietnam Republic,4,3,1,Kuala Lumpur,Malaya,1959_merdeka_tournament.txt
Japan,Singapore,4,1,1,Kuala Lumpur,Malaya,1959_merdeka_tournament.txt
Malaysia,India,1,1,X,Kuala Lumpur,Malaya,1959_merdeka_tournament.txt
Japan,South Korea,0,0,X,Kuala Lumpur,Malaya,1959_merdeka_tournament.txt
India,Vietnam Republic,2,2,X,Kuala Lumpur,Malaya,1959_merdeka_tournament.txt
Japan,South Korea,1,3,2,Kuala Lumpur,Malaya,1959_merdeka_tournament.txt
Malaysia,Japan,3,0,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Pakistan,Thailand,7,0,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
South Korea,Indonesia,2,0,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Malaysia,Thailand,8,2,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Vietnam Republic,Singapore,2,1,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Indonesia,Singapore,8,3,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Vietnam Republic,South Korea,0,0,X,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Pakistan,Japan,3,1,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
South Korea,Singapore,3,3,X,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Japan,Thailand,3,1,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Malaysia,Pakistan,1,0,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Indonesia,Vietnam Republic,5,3,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Indonesia,Pakistan,4,0,1,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Malaysia,South Korea,0,0,X,Kuala Lumpur,Malaya,1960_merdeka_tournament.txt
Indonesia,Singapore,1,0,1,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Malaysia,Japan,3,2,1,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
India,Vietnam Republic,1,2,2,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Malaysia,Vietnam Republic,3,1,1,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Hong Kong,Thailand,2,1,1,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
India,Japan,1,3,2,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Indonesia,Thailand,2,1,1,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Malaysia,India,1,2,2,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Japan,Vietnam Republic,2,3,2,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Singapore,Thailand,5,3,1,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Malaysia,Indonesia,1,2,2,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Singapore,Vietnam Republic,1,2,2,Kuala Lumpur,Malaya,1961_merdeka_tournament.txt
Malaysia,Japan,2,2,X,Kuala Lumpur,Malaya,1962_merdeka_tournament.txt
Myanmar,Pakistan,0,1,2,Kuala Lumpur,Malaya,1962_merdeka_tournament.txt
Indonesia,Singapore,2,0,1,Kuala Lumpur,Malaya,1962_merdeka_tournament.txt
