time,home_team,away_team,home_score,away_score,result,ht_score,source_file
20.10,Estudiantes Tecos,Cruz Azul,0,3,2,0-3,2010-11_mx1.txt
17.00,Jaguares Chiapas,Club Necaxa,1,1,X,0-0,2010-11_mx1.txt
19.00,CF Pachuca,CF América,3,0,1,2-0,2010-11_mx1.txt
,UANL Tigres,Gallos Blancos,0,1,2,0-1,2010-11_mx1.txt
,Deportivo Guadalajara,Puebla FC,0,0,X,,2010-11_mx1.txt
20.45,Club San Luis,CF Monterrey,1,1,X,0-0,2010-11_mx1.txt
21.00,Atlante,Santos Laguna,1,4,2,0-2,2010-11_mx1.txt
12.00,Monarcas Morelia,Atlas Guadalajara,1,0,1,0-0,2010-11_mx1.txt
,Pumas UNAM,Deportivo Toluca,2,1,1,1-1,2010-11_mx1.txt
20.10,Club Necaxa,UANL Tigres,0,2,2,0-2,2010-11_mx1.txt
17.00,Cruz Azul,Atlante,2,0,1,1-0,2010-11_mx1.txt
,Gallos Blancos,Atlas Guadalajara,2,1,1,0-0,2010-11_mx1.txt
19.00,CF Monterrey,Estudiantes Tecos,3,2,1,0-1,2010-11_mx1.txt
,Santos Laguna,Pumas UNAM,4,0,1,1-0,2010-11_mx1.txt
12.00,Deportivo Toluca,CF Pachuca,1,1,X,0-0,2010-11_mx1.txt
,Puebla FC,Club San Luis,2,1,1,2-0,2010-11_mx1.txt
16.30,CF América,Jaguares Chiapas,3,0,1,1-0,2010-11_mx1.txt
20.45,Deportivo Guadalajara,Monarcas Morelia,0,1,2,0-0,2010-11_mx1.txt
17.00,Jaguares Chiapas,Deportivo Toluca,1,1,X,1-0,2010-11_mx1.txt
19.00,CF Pachuca,Santos Laguna,0,3,2,0-1,2010-11_mx1.txt
,UANL Tigres,CF América,1,1,X,1-0,2010-11_mx1.txt
20.45,Atlas Guadalajara,Club Necaxa,0,1,2,0-1,2010-11_mx1.txt
,Club San Luis,Deportivo Guadalajara,0,1,2,0-1,2010-11_mx1.txt
21.00,Atlante,CF Monterrey,1,2,2,1-1,2010-11_mx1.txt
12.00,Monarcas Morelia,Gallos Blancos,6,0,1,4-0,2010-11_mx1.txt
,Pumas UNAM,Cruz Azul,2,0,1,1-0,2010-11_mx1.txt
17.00,Estudiantes Tecos,Puebla FC,1,3,2,1-2,2010-11_mx1.txt
20.10,Club Necaxa,Gallos Blancos,1,1,X,1-0,2010-11_mx1.txt
17.00,Cruz Azul,CF Pachuca,4,1,1,2-0,2010-11_mx1.txt
19.00,CF Monterrey,Pumas UNAM,5,2,1,2-2,2010-11_mx1.txt
,Santos Laguna,Jaguares Chiapas,1,0,1,0-0,2010-11_mx1.txt
20.45,Club San Luis,Monarcas Morelia,1,0,1,0-0,2010-11_mx1.txt
12.00,Deportivo Toluca,UANL Tigres,1,1,X,0-0,2010-11_mx1.txt
