time,home_team,away_team,home_score,away_score,result,ht_score,source_file
,Tuzi,Jedinstvo Bijelo Polje,2,1,1,1-1,2023-24_me1.txt
,OFK Petrovac,FK Mornar,0,0,X,,2023-24_me1.txt
20.00,FK Jezero,FK Sutjeska,0,1,2,0-1,2023-24_me1.txt
,FK Rudar Pljevlja,FK Arsenal,0,1,2,0-1,2023-24_me1.txt
20.00,OFK Petrovac,OFK Mladost DG,1,0,1,0-0,2023-24_me1.txt
20.30,Jedinstvo Bijelo Polje,FK Rudar Pljevlja,1,0,1,0-0,2023-24_me1.txt
20.00,FK Mornar,FK Sutjeska,1,1,X,1-0,2023-24_me1.txt
20.30,FK Arsenal,FK Jezero,2,2,X,1-1,2023-24_me1.txt
20.00,FK Jezero,Jedinstvo Bijelo Polje,1,0,1,0-0,2023-24_me1.txt
20.30,OFK Mladost DG,FK Mornar,1,1,X,0-0,2023-24_me1.txt
,Tuzi,OFK Petrovac,1,2,2,0-0,2023-24_me1.txt
,FK Sutjeska,FK Arsenal,2,2,X,0-2,2023-24_me1.txt
20.30,FK Mornar,FK Arsenal,0,1,2,0-0,2023-24_me1.txt
,OFK Petrovac,FK Rudar Pljevlja,2,0,1,0-0,2023-24_me1.txt
,nost Podgorica,FK Jezero,1,1,X,0-0,2023-24_me1.txt
,Jedinstvo Bijelo Polje,FK Sutjeska,0,0,X,,2023-24_me1.txt
17.30,FK Arsenal,Jedinstvo Bijelo Polje,2,2,X,1-2,2023-24_me1.txt
18.00,FK Rudar Pljevlja,OFK Mladost DG,0,0,X,,2023-24_me1.txt
,Tuzi,FK Mornar,3,1,1,1-1,2023-24_me1.txt
,FK Jezero,OFK Petrovac,2,0,1,0-0,2023-24_me1.txt
19.00,OFK Mladost DG,FK Jezero,1,2,2,0-2,2023-24_me1.txt
18.30,OFK Petrovac,FK Sutjeska,1,1,X,0-1,2023-24_me1.txt
,nost Podgorica,FK Arsenal,2,0,1,2-0,2023-24_me1.txt
,Tuzi,FK Rudar Pljevlja,0,1,2,0-1,2023-24_me1.txt
,FK Mornar,Jedinstvo Bijelo Polje,4,3,1,2-2,2023-24_me1.txt
17.00,FK Arsenal,OFK Petrovac,2,2,X,1-1,2023-24_me1.txt
,FK Rudar Pljevlja,FK Mornar,0,0,X,,2023-24_me1.txt
20.00,FK Sutjeska,OFK Mladost DG,3,3,X,0-0,2023-24_me1.txt
16.00,FK Rudar Pljevlja,FK Jezero,0,1,2,0-1,2023-24_me1.txt
19.30,OFK Mladost DG,FK Arsenal,2,1,1,0-0,2023-24_me1.txt
,OFK Petrovac,Jedinstvo Bijelo Polje,1,1,X,1-0,2023-24_me1.txt
,Tuzi,FK Sutjeska,0,4,2,0-2,2023-24_me1.txt
,FK Sutjeska,FK Rudar Pljevlja,1,0,1,0-0,2023-24_me1.txt
17.00,FK Jezero,FK Mornar,0,1,2,0-0,2023-24_me1.txt
18.00,Jedinstvo Bijelo Polje,OFK Mladost DG,2,1,1,1-0,2023-24_me1.txt
,nost Podgorica,OFK Petrovac,2,1,1,0-1,2023-24_me1.txt
15.30,FK Arsenal,FK Rudar Pljevlja,2,0,1,2-0,2023-24_me1.txt
18.00,FK Sutjeska,FK Jezero,1,1,X,0-0,2023-24_me1.txt
,nost Podgorica,OFK Mladost DG,2,2,X,1-1,2023-24_me1.txt
19.00,FK Mornar,OFK Petrovac,0,0,X,,2023-24_me1.txt
15.00,FK Rudar Pljevlja,Jedinstvo Bijelo Polje,2,2,X,2-1,2023-24_me1.txt
,FK Sutjeska,FK Mornar,0,1,2,0-0,2023-24_me1.txt
,FK Jezero,FK Arsenal,1,1,X,0-1,2023-24_me1.txt
19.00,OFK Mladost DG,OFK Petrovac,0,2,2,0-2,2023-24_me1.txt
15.00,FK Arsenal,FK Sutjeska,1,1,X,1-1,2023-24_me1.txt
18.00,Jedinstvo Bijelo Polje,FK Jezero,2,3,2,0-0,2023-24_me1.txt
19.00,FK Mornar,OFK Mladost DG,2,1,1,1-1,2023-24_me1.txt
,nost Podgorica,FK Rudar Pljevlja,2,0,1,1-0,2023-24_me1.txt
15.00,FK Arsenal,FK Mornar,2,2,X,2-2,2023-24_me1.txt
,FK Sutjeska,Jedinstvo Bijelo Polje,2,0,1,0-0,2023-24_me1.txt
,FK Rudar Pljevlja,OFK Petrovac,1,0,1,0-0,2023-24_me1.txt
,Tuzi,OFK Mladost DG,4,1,1,3-0,2023-24_me1.txt
15.00,Jedinstvo Bijelo Polje,FK Arsenal,3,2,1,2-2,2023-24_me1.txt
16.00,OFK Petrovac,FK Jezero,0,0,X,,2023-24_me1.txt
17.00,OFK Mladost DG,FK Rudar Pljevlja,0,1,2,0-0,2023-24_me1.txt
,nost Podgorica,FK Sutjeska,1,0,1,0-0,2023-24_me1.txt
16.00,FK Jezero,OFK Mladost DG,2,0,1,1-0,2023-24_me1.txt
14.00,Jedinstvo Bijelo Polje,FK Mornar,1,1,X,0-1,2023-24_me1.txt
15.30,FK Sutjeska,OFK Petrovac,3,2,1,3-0,2023-24_me1.txt
,nost Podgorica,Jedinstvo Bijelo Polje,3,2,1,1-0,2023-24_me1.txt
,OFK Mladost DG,FK Sutjeska,1,1,X,0-0,2023-24_me1.txt
,OFK Petrovac,FK Arsenal,1,1,X,1-1,2023-24_me1.txt
,Tuzi,FK Jezero,0,0,X,,2023-24_me1.txt
16.00,FK Mornar,FK Rudar Pljevlja,2,1,1,1-0,2023-24_me1.txt
13.00,FK Arsenal,OFK Mladost DG,0,2,2,0-1,2023-24_me1.txt
,nost Podgorica,FK Mornar,4,3,1,2-2,2023-24_me1.txt
13.30,FK Jezero,FK Rudar Pljevlja,4,1,1,2-1,2023-24_me1.txt
13.00,Jedinstvo Bijelo Polje,OFK Petrovac,1,1,X,1-1,2023-24_me1.txt
,Tuzi,FK Arsenal,0,1,2,0-0,2023-24_me1.txt
,FK Rudar Pljevlja,FK Sutjeska,1,2,2,1-2,2023-24_me1.txt
15.00,OFK Mladost DG,Jedinstvo Bijelo Polje,2,0,1,2-0,2023-24_me1.txt
15.00,FK Mornar,FK Jezero,2,1,1,1-1,2023-24_me1.txt
13.00,FK Rudar Pljevlja,FK Arsenal,2,0,1,2-0,2023-24_me1.txt
,Tuzi,Jedinstvo Bijelo Polje,3,1,1,1-0,2023-24_me1.txt
16.00,OFK Petrovac,FK Mornar,0,0,X,,2023-24_me1.txt
15.00,FK Jezero,FK Sutjeska,0,0,X,,2023-24_me1.txt
14.30,FK Arsenal,FK Jezero,3,1,1,3-0,2023-24_me1.txt
15.00,Jedinstvo Bijelo Polje,FK Rudar Pljevlja,1,0,1,0-0,2023-24_me1.txt
17.00,OFK Petrovac,OFK Mladost DG,3,2,1,1-1,2023-24_me1.txt
15.00,FK Mornar,FK Sutjeska,1,0,1,0-0,2023-24_me1.txt
14.00,OFK Mladost DG,FK Mornar,1,2,2,0-0,2023-24_me1.txt
14.30,FK Jezero,Jedinstvo Bijelo Polje,0,3,2,0-1,2023-24_me1.txt
15.00,FK Sutjeska,FK Arsenal,1,1,X,0-0,2023-24_me1.txt
,Tuzi,OFK Petrovac,1,1,X,0-0,2023-24_me1.txt
15.00,Jedinstvo Bijelo Polje,FK Sutjeska,0,1,2,0-1,2023-24_me1.txt
17.30,FK Mornar,FK Arsenal,0,0,X,,2023-24_me1.txt
,OFK Petrovac,FK Rudar Pljevlja,1,1,X,1-0,2023-24_me1.txt
,nost Podgorica,FK Jezero,0,1,2,0-0,2023-24_me1.txt
14.00,FK Jezero,OFK Petrovac,0,2,2,0-0,2023-24_me1.txt
,FK Rudar Pljevlja,OFK Mladost DG,1,2,2,0-2,2023-24_me1.txt
15.00,FK Arsenal,Jedinstvo Bijelo Polje,1,1,X,1-1,2023-24_me1.txt
,Tuzi,FK Mornar,0,1,2,0-0,2023-24_me1.txt
14.00,OFK Petrovac,FK Sutjeska,1,2,2,1-1,2023-24_me1.txt
15.00,OFK Mladost DG,FK Jezero,0,1,2,0-1,2023-24_me1.txt
,Tuzi,FK Rudar Pljevlja,3,1,1,0-0,2023-24_me1.txt
,FK Mornar,Jedinstvo Bijelo Polje,0,0,X,,2023-24_me1.txt
,nost Podgorica,FK Arsenal,6,0,1,3-0,2023-24_me1.txt
15.00,FK Arsenal,OFK Petrovac,1,1,X,1-1,2023-24_me1.txt
16.00,FK Sutjeska,OFK Mladost DG,2,1,1,1-1,2023-24_me1.txt
,FK Rudar Pljevlja,FK Mornar,0,0,X,,2023-24_me1.txt
14.00,OFK Mladost DG,FK Arsenal,1,2,2,1-1,2023-24_me1.txt
,Tuzi,FK Sutjeska,0,0,X,,2023-24_me1.txt
,FK Rudar Pljevlja,FK Jezero,0,1,2,0-0,2023-24_me1.txt
17.00,OFK Petrovac,Jedinstvo Bijelo Polje,1,0,1,0-0,2023-24_me1.txt
,FK Sutjeska,FK Rudar Pljevlja,2,1,1,1-1,2023-24_me1.txt
,Jedinstvo Bijelo Polje,OFK Mladost DG,0,0,X,,2023-24_me1.txt
,FK Jezero,FK Mornar,3,1,1,1-0,2023-24_me1.txt
,nost Podgorica,OFK Petrovac,2,0,1,1-0,2023-24_me1.txt
