time,home_team,away_team,home_score,away_score,result,ht_score,source_file
21.30,Maghrib de Fès,Moghreb de Tétouan,2,1,1,1-1,2023-24_ma1.txt
17.00,Olympique de Safi,Hassania US Agadir,1,1,X,0-0,2023-24_ma1.txt
19.15,Union de Touarga,CR Khemis Zemamra,2,1,1,2-0,2023-24_ma1.txt
17.00,Ittihad Tanger,JS Soualem,0,2,2,0-2,2023-24_ma1.txt
19.15,Youssoufia Berrechid,Raja Casablanca,1,3,2,1-1,2023-24_ma1.txt
21.30,RS Berkane,Mouloudia Oujda,2,0,1,1-0,2023-24_ma1.txt
19.15,FAR de Rabat,Chabab Mohammédia,2,0,1,0-0,2023-24_ma1.txt
21.30,Wydad AC,FUS de Rabat,0,2,2,0-1,2023-24_ma1.txt
21.30,JS Soualem,Hassania US Agadir,1,0,1,0-0,2023-24_ma1.txt
19.15,CR Khemis Zemamra,Youssoufia Berrechid,1,0,1,0-0,2023-24_ma1.txt
20.30,Mouloudia Oujda,Union de Touarga,1,3,2,0-1,2023-24_ma1.txt
,Moghreb de Tétouan,Olympique de Safi,0,0,X,,2023-24_ma1.txt
17.00,Raja Casablanca,FAR de Rabat,2,2,X,2-1,2023-24_ma1.txt
19.15,RS Berkane,Ittihad Tanger,2,1,1,1-1,2023-24_ma1.txt
,FUS de Rabat,Maghrib de Fès,0,0,X,,2023-24_ma1.txt
21.30,Chabab Mohammédia,Wydad AC,2,3,2,2-2,2023-24_ma1.txt
17.00,Hassania US Agadir,Moghreb de Tétouan,0,2,2,0-1,2023-24_ma1.txt
19.15,Olympique de Safi,FUS de Rabat,0,0,X,,2023-24_ma1.txt
21.30,Youssoufia Berrechid,Chabab Mohammédia,0,1,2,0-1,2023-24_ma1.txt
19.15,Maghrib de Fès,Raja Casablanca,1,1,X,0-0,2023-24_ma1.txt
21.30,Ittihad Tanger,Mouloudia Oujda,1,1,X,0-0,2023-24_ma1.txt
17.00,Union de Touarga,RS Berkane,1,3,2,0-2,2023-24_ma1.txt
19.15,FAR de Rabat,CR Khemis Zemamra,3,1,1,1-0,2023-24_ma1.txt
20.00,Wydad AC,JS Soualem,1,0,1,0-0,2023-24_ma1.txt
19.15,Ittihad Tanger,Youssoufia Berrechid,2,1,1,0-1,2023-24_ma1.txt
21.30,Chabab Mohammédia,Moghreb de Tétouan,0,1,2,0-0,2023-24_ma1.txt
19.15,Raja Casablanca,Union de Touarga,1,0,1,0-0,2023-24_ma1.txt
21.30,RS Berkane,Wydad AC,0,0,X,,2023-24_ma1.txt
17.00,JS Soualem,Olympique de Safi,0,1,2,0-0,2023-24_ma1.txt
19.15,Mouloudia Oujda,FAR de Rabat,0,3,2,0-2,2023-24_ma1.txt
21.30,CR Khemis Zemamra,Maghrib de Fès,1,1,X,1-0,2023-24_ma1.txt
20.00,FUS de Rabat,Hassania US Agadir,2,0,1,1-0,2023-24_ma1.txt
16.00,Olympique de Safi,Chabab Mohammédia,0,0,X,,2023-24_ma1.txt
16.00,Hassania US Agadir,Raja Casablanca,1,1,X,1-0,2023-24_ma1.txt
18.15,Youssoufia Berrechid,Mouloudia Oujda,0,0,X,,2023-24_ma1.txt
,Maghrib de Fès,JS Soualem,3,0,1,0-0,2023-24_ma1.txt
20.30,Union de Touarga,Ittihad Tanger,2,2,X,0-2,2023-24_ma1.txt
18.15,Wydad AC,CR Khemis Zemamra,3,1,1,1-1,2023-24_ma1.txt
20.30,FAR de Rabat,RS Berkane,0,0,X,,2023-24_ma1.txt
20.00,Moghreb de Tétouan,FUS de Rabat,2,1,1,2-0,2023-24_ma1.txt
20.30,Chabab Mohammédia,Hassania US Agadir,3,1,1,1-1,2023-24_ma1.txt
16.00,Union de Touarga,FAR de Rabat,2,1,1,0-1,2023-24_ma1.txt
18.15,Mouloudia Oujda,Maghrib de Fès,1,3,2,0-2,2023-24_ma1.txt
20.30,Ittihad Tanger,Wydad AC,0,3,2,0-1,2023-24_ma1.txt
16.00,JS Soualem,FUS de Rabat,1,3,2,0-2,2023-24_ma1.txt
18.15,RS Berkane,Youssoufia Berrechid,3,1,1,1-0,2023-24_ma1.txt
,CR Khemis Zemamra,Olympique de Safi,3,2,1,2-2,2023-24_ma1.txt
20.30,Raja Casablanca,Moghreb de Tétouan,1,0,1,0-0,2023-24_ma1.txt
20.30,FUS de Rabat,Chabab Mohammédia,1,0,1,1-0,2023-24_ma1.txt
16.00,Hassania US Agadir,CR Khemis Zemamra,2,2,X,0-2,2023-24_ma1.txt
18.15,Olympique de Safi,Raja Casablanca,2,2,X,0-0,2023-24_ma1.txt
20.30,Youssoufia Berrechid,Union de Touarga,2,1,1,1-0,2023-24_ma1.txt
16.00,FAR de Rabat,Ittihad Tanger,1,0,1,0-0,2023-24_ma1.txt
18.15,Moghreb de Tétouan,JS Soualem,4,0,1,2-0,2023-24_ma1.txt
20.30,Maghrib de Fès,RS Berkane,0,0,X,,2023-24_ma1.txt
