home_team,away_team,home_score,away_score,result,city,country,source_file
Fiji,New Caledonia,1,0,1,Luganville,Vanuatu,2022_msg_prime_ministers_cup.txt
Solomon Islands,New Caledonia,1,0,1,Luganville,Vanuatu,2022_msg_prime_ministers_cup.txt
Fiji,Solomon Islands,2,2,X,Luganville,Vanuatu,2022_msg_prime_ministers_cup.txt
Vanuatu,Papua New Guinea,0,1,2,Port Vila,Vanuatu,2022_msg_prime_ministers_cup.txt
Fiji,Papua New Guinea,0,1,2,Luganville,Vanuatu,2022_msg_prime_ministers_cup.txt
Fiji,Solomon Islands,1,0,1,Luganville,Vanuatu,2022_msg_prime_ministers_cup.txt
Papua New Guinea,Solomon Islands,1,3,2,New Caledonia,New Caledonia,2023_msg_prime_ministers_cup.txt
New Caledonia,Vanuatu,4,0,1,New Caledonia,New Caledonia,2023_msg_prime_ministers_cup.txt
Solomon Islands,Vanuatu,1,0,1,New Caledonia,New Caledonia,2023_msg_prime_ministers_cup.txt
New Caledonia,Papua New Guinea,3,1,1,New Caledonia,New Caledonia,2023_msg_prime_ministers_cup.txt
Papua New Guinea,Vanuatu,0,1,2,New Caledonia,New Caledonia,2023_msg_prime_ministers_cup.txt
New Caledonia,Solomon Islands,0,1,2,New Caledonia,New Caledonia,2023_msg_prime_ministers_cup.txt
