home_team,away_team,home_score,away_score,result,city,country,source_file
India,China PR,1,1,X,Calcutta,India,1982_nehru_cup.txt
India,South Korea,2,2,X,Calcutta,India,1982_nehru_cup.txt
South Korea,Uruguay,2,2,X,Calcutta,India,1982_nehru_cup.txt
China PR,Uruguay,0,0,X,Calcutta,India,1982_nehru_cup.txt
India,Uruguay,1,3,2,Calcutta,India,1982_nehru_cup.txt
China PR,South Korea,1,1,X,Calcutta,India,1982_nehru_cup.txt
China PR,Uruguay,0,2,2,Calcutta,India,1982_nehru_cup.txt
India,Poland,1,2,2,Calcutta,India,1984_nehru_cup.txt
India,Argentina,0,1,2,Calcutta,India,1984_nehru_cup.txt
China PR,Poland,0,1,2,Calcutta,India,1984_nehru_cup.txt
Argentina,Poland,1,1,X,Calcutta,India,1984_nehru_cup.txt
Argentina,China PR,0,1,2,Calcutta,India,1984_nehru_cup.txt
India,China PR,0,3,2,Calcutta,India,1984_nehru_cup.txt
China PR,Poland,0,1,2,Calcutta,India,1984_nehru_cup.txt
Iran,Yugoslavia,1,3,2,Ernakulam,India,1985_nehru_cup.txt
China PR,Russia,2,3,2,Ernakulam,India,1985_nehru_cup.txt
Russia,Yugoslavia,1,2,2,Ernakulam,India,1985_nehru_cup.txt
Iran,Russia,0,2,2,Ernakulam,India,1985_nehru_cup.txt
China PR,Yugoslavia,1,1,X,Ernakulam,India,1985_nehru_cup.txt
India,Morocco,0,1,2,Ernakulam,India,1985_nehru_cup.txt
Morocco,Russia,0,1,2,Ernakulam,India,1985_nehru_cup.txt
Yugoslavia,Russia,1,2,2,Ernakulam,India,1985_nehru_cup.txt
India,China PR,0,0,X,Trivandrum,India,1986_nehru_cup.txt
China PR,Peru,3,1,1,Trivandrum,India,1986_nehru_cup.txt
India,Peru,0,1,2,Trivandrum,India,1986_nehru_cup.txt
India,China PR,1,1,X,Kozhikode,India,1987_nehru_cup.txt
Nigeria,Syria,1,0,1,Kozhikode,India,1987_nehru_cup.txt
India,North Korea,1,2,2,Margao,India,1989_nehru_cup.txt
Russia,Zambia,4,0,1,Trivandrum,India,1991_nehru_cup.txt
Hungary,Russia,1,1,X,Trivandrum,India,1991_nehru_cup.txt
India,Hungary,1,2,2,Trivandrum,India,1991_nehru_cup.txt
India,Zambia,1,0,1,Trivandrum,India,1991_nehru_cup.txt
Hungary,Zambia,4,1,1,Trivandrum,India,1991_nehru_cup.txt
India,Russia,1,3,2,Trivandrum,India,1991_nehru_cup.txt
North Korea,Bolivia,2,1,1,Madras,India,1993_nehru_cup.txt
India,Finland,0,0,X,Madras,India,1993_nehru_cup.txt
Cameroon,Finland,0,0,X,Madras,India,1993_nehru_cup.txt
India,Cameroon,1,1,X,Madras,India,1993_nehru_cup.txt
Bolivia,Russia,1,2,2,Madras,India,1993_nehru_cup.txt
India,Finland,0,2,2,Madras,India,1993_nehru_cup.txt
Cameroon,Finland,2,0,1,Madras,India,1993_nehru_cup.txt
India,Cameroon,2,2,X,Madras,India,1993_nehru_cup.txt
North Korea,Finland,3,2,1,Madras,India,1993_nehru_cup.txt
Iraq,Uzbekistan,3,1,1,Calcutta,India,1995_nehru_cup.txt
India,Thailand,0,5,2,Calcutta,India,1995_nehru_cup.txt
India,Iraq,1,1,X,Calcutta,India,1995_nehru_cup.txt
India,Uzbekistan,1,0,1,Calcutta,India,1995_nehru_cup.txt
Iraq,Thailand,3,1,1,Calcutta,India,1995_nehru_cup.txt
Thailand,Uzbekistan,0,1,2,Calcutta,India,1995_nehru_cup.txt
China PR,Iraq,0,2,2,Kochi,India,1997_nehru_cup.txt
India,China PR,0,0,X,Kochi,India,1997_nehru_cup.txt
China PR,Ghana,0,0,X,Kochi,India,1997_nehru_cup.txt
India,Iraq,0,1,2,Kochi,India,1997_nehru_cup.txt
India,Ghana,2,2,X,Kochi,India,1997_nehru_cup.txt
India,Iraq,1,1,X,Kochi,India   [Iraq wins on penalties],1997_nehru_cup.txt
India,China PR,1,2,2,Kochi,India,1997_nehru_cup.txt
India,Cambodia,6,0,1,New Delhi,India,2007_nehru_cup.txt
Bangladesh,Syria,0,2,2,New Delhi,India,2007_nehru_cup.txt
Kyrgyzstan,Cambodia,4,3,1,New Delhi,India,2007_nehru_cup.txt
India,Bangladesh,1,0,1,New Delhi,India,2007_nehru_cup.txt
Syria,Kyrgyzstan,4,1,1,New Delhi,India,2007_nehru_cup.txt
Bangladesh,Cambodia,1,1,X,New Delhi,India,2007_nehru_cup.txt
India,Syria,2,3,2,New Delhi,India,2007_nehru_cup.txt
Bangladesh,Kyrgyzstan,0,3,2,New Delhi,India,2007_nehru_cup.txt
Cambodia,Syria,1,5,2,New Delhi,India,2007_nehru_cup.txt
India,Kyrgyzstan,3,0,1,New Delhi,India,2007_nehru_cup.txt
India,Syria,1,0,1,New Delhi,India,2007_nehru_cup.txt
India,Lebanon,0,1,2,New Delhi,India,2009_nehru_cup.txt
Syria,Kyrgyzstan,2,0,1,New Delhi,India,2009_nehru_cup.txt
Sri Lanka,Lebanon,4,3,1,New Delhi,India,2009_nehru_cup.txt
India,Kyrgyzstan,2,1,1,New Delhi,India,2009_nehru_cup.txt
Syria,Sri Lanka,4,0,1,New Delhi,India,2009_nehru_cup.txt
Kyrgyzstan,Lebanon,1,1,X,New Delhi,India,2009_nehru_cup.txt
India,Sri Lanka,3,1,1,New Delhi,India,2009_nehru_cup.txt
Syria,Lebanon,1,0,1,New Delhi,India,2009_nehru_cup.txt
Sri Lanka,Kyrgyzstan,1,4,2,New Delhi,India,2009_nehru_cup.txt
India,Syria,0,1,2,New Delhi,India,2009_nehru_cup.txt
India,Syria,1,1,X,New Delhi,India,2009_nehru_cup.txt
India,Syria,2,1,1,New Delhi,India,2012_nehru_cup.txt
Maldives,Nepal,2,1,1,New Delhi,India,2012_nehru_cup.txt
Syria,Cameroon,2,2,X,New Delhi,India,2012_nehru_cup.txt
India,Maldives,3,0,1,New Delhi,India,2012_nehru_cup.txt
Nepal,Cameroon,0,5,2,New Delhi,India,2012_nehru_cup.txt
Maldives,Syria,2,1,1,New Delhi,India,2012_nehru_cup.txt
India,Nepal,0,0,X,New Delhi,India,2012_nehru_cup.txt
Cameroon,Maldives,3,1,1,New Delhi,India,2012_nehru_cup.txt
Syria,Nepal,2,0,1,New Delhi,India,2012_nehru_cup.txt
India,Cameroon,0,1,2,New Delhi,India,2012_nehru_cup.txt
India,Cameroon,2,2,X,New Delhi,India   [India wins on penalties],2012_nehru_cup.txt
