time,home_team,away_team,home_score,away_score,result,ht_score,source_file
20.00,PEC Zwolle,sc Heerenveen,2,3,2,1-3,2018-19_nl1.txt
18.30,Willem II,VVV-Venlo,0,1,2,0-1,2018-19_nl1.txt
,AFC Ajax,Heracles Almelo,1,1,X,0-0,2018-19_nl1.txt
20.45,PSV Eindhoven,FC Utrecht,4,0,1,1-0,2018-19_nl1.txt
,SBV Excelsior,Fortuna Sittard,1,1,X,1-0,2018-19_nl1.txt
12.15,ADO Den Haag,FC Emmen,1,2,2,0-2,2018-19_nl1.txt
14.30,De Graafschap,Feyenoord,2,0,1,1-0,2018-19_nl1.txt
,Vitesse,FC Groningen,5,1,1,2-1,2018-19_nl1.txt
16.45,AZ Alkmaar,NAC Breda,5,0,1,3-0,2018-19_nl1.txt
20.00,FC Groningen,Willem II,0,1,2,0-1,2018-19_nl1.txt
18.30,NAC Breda,De Graafschap,3,0,1,1-0,2018-19_nl1.txt
,VVV-Venlo,AFC Ajax,0,1,2,0-0,2018-19_nl1.txt
20.45,Fortuna Sittard,PSV Eindhoven,1,2,2,0-1,2018-19_nl1.txt
,Heracles Almelo,ADO Den Haag,4,2,1,3-2,2018-19_nl1.txt
12.15,FC Utrecht,PEC Zwolle,2,0,1,2-0,2018-19_nl1.txt
14.30,Feyenoord,SBV Excelsior,3,0,1,1-0,2018-19_nl1.txt
,FC Emmen,AZ Alkmaar,1,4,2,1-3,2018-19_nl1.txt
16.45,sc Heerenveen,Vitesse,1,1,X,1-0,2018-19_nl1.txt
20.00,ADO Den Haag,Fortuna Sittard,3,1,1,2-0,2018-19_nl1.txt
18.30,AFC Ajax,FC Emmen,5,0,1,2-0,2018-19_nl1.txt
,De Graafschap,FC Groningen,0,1,2,0-1,2018-19_nl1.txt
20.45,NAC Breda,SBV Excelsior,0,2,2,0-1,2018-19_nl1.txt
,PEC Zwolle,PSV Eindhoven,1,2,2,0-1,2018-19_nl1.txt
12.15,Willem II,Heracles Almelo,5,0,1,3-0,2018-19_nl1.txt
14.30,sc Heerenveen,Feyenoord,3,5,2,0-3,2018-19_nl1.txt
,FC Utrecht,VVV-Venlo,1,1,X,1-0,2018-19_nl1.txt
16.45,AZ Alkmaar,Vitesse,0,0,X,,2018-19_nl1.txt
20.00,FC Emmen,De Graafschap,1,1,X,0-0,2018-19_nl1.txt
18.30,VVV-Venlo,sc Heerenveen,1,1,X,0-1,2018-19_nl1.txt
19.45,PSV Eindhoven,Willem II,6,1,1,4-0,2018-19_nl1.txt
,SBV Excelsior,ADO Den Haag,2,4,2,0-2,2018-19_nl1.txt
20.45,Fortuna Sittard,FC Utrecht,1,1,X,0-0,2018-19_nl1.txt
12.15,FC Groningen,PEC Zwolle,0,1,2,0-0,2018-19_nl1.txt
14.30,Heracles Almelo,AZ Alkmaar,3,2,1,1-1,2018-19_nl1.txt
,Vitesse,AFC Ajax,0,4,2,0-3,2018-19_nl1.txt
16.45,Feyenoord,NAC Breda,4,2,1,1-1,2018-19_nl1.txt
18.30,De Graafschap,VVV-Venlo,1,2,2,0-2,2018-19_nl1.txt
,ADO Den Haag,PSV Eindhoven,0,7,2,0-2,2018-19_nl1.txt
20.45,Willem II,SBV Excelsior,2,2,X,0-1,2018-19_nl1.txt
,AFC Ajax,FC Groningen,3,0,1,1-0,2018-19_nl1.txt
12.15,AZ Alkmaar,Feyenoord,1,1,X,1-1,2018-19_nl1.txt
14.30,sc Heerenveen,Heracles Almelo,3,5,2,1-1,2018-19_nl1.txt
,FC Utrecht,FC Emmen,1,2,2,1-0,2018-19_nl1.txt
,NAC Breda,Fortuna Sittard,2,3,2,1-1,2018-19_nl1.txt
16.45,PEC Zwolle,Vitesse,0,2,2,0-2,2018-19_nl1.txt
20.00,Heracles Almelo,De Graafschap,4,0,1,1-0,2018-19_nl1.txt
18.30,Fortuna Sittard,Willem II,4,4,X,2-2,2018-19_nl1.txt
19.45,SBV Excelsior,sc Heerenveen,3,3,X,2-0,2018-19_nl1.txt
,VVV-Venlo,NAC Breda,3,0,1,2-0,2018-19_nl1.txt
20.45,Vitesse,ADO Den Haag,1,1,X,1-0,2018-19_nl1.txt
12.15,Feyenoord,FC Utrecht,1,0,1,0-0,2018-19_nl1.txt
14.30,FC Emmen,PEC Zwolle,0,1,2,0-1,2018-19_nl1.txt
,FC Groningen,AZ Alkmaar,1,3,2,1-1,2018-19_nl1.txt
16.45,PSV Eindhoven,AFC Ajax,3,0,1,3-0,2018-19_nl1.txt
18.30,sc Heerenveen,ADO Den Haag,1,1,X,1-1,2018-19_nl1.txt
,NAC Breda,PSV Eindhoven,0,2,2,0-0,2018-19_nl1.txt
20.45,Fortuna Sittard,AFC Ajax,0,2,2,0-0,2018-19_nl1.txt
,SBV Excelsior,VVV-Venlo,1,0,1,1-0,2018-19_nl1.txt
12.15,Heracles Almelo,FC Emmen,2,1,1,2-0,2018-19_nl1.txt
14.30,De Graafschap,Willem II,2,1,1,1-0,2018-19_nl1.txt
,AZ Alkmaar,PEC Zwolle,2,2,X,1-1,2018-19_nl1.txt
,FC Groningen,FC Utrecht,1,1,X,0-1,2018-19_nl1.txt
16.45,Feyenoord,Vitesse,2,1,1,0-1,2018-19_nl1.txt
20.00,FC Utrecht,NAC Breda,2,1,1,1-0,2018-19_nl1.txt
18.30,ADO Den Haag,FC Groningen,1,0,1,1-0,2018-19_nl1.txt
