home_team,away_team,home_score,away_score,result,city,country,source_file
Hong Kong,Israel,2,3,2,So Kon Po,Hong Kong,1956_afc_asian_cup.txt
Hong Kong,South Korea,2,2,X,So Kon Po,Hong Kong,1956_afc_asian_cup.txt
Israel,South Korea,1,2,2,So Kon Po,Hong Kong,1956_afc_asian_cup.txt
Hong Kong,Vietnam Republic,2,2,X,So Kon Po,Hong Kong,1956_afc_asian_cup.txt
Israel,Vietnam Republic,2,1,1,So Kon Po,Hong Kong,1956_afc_asian_cup.txt
South Korea,Vietnam Republic,5,3,1,So Kon Po,Hong Kong,1956_afc_asian_cup.txt
South Korea,Vietnam Republic,5,1,1,Seoul,South Korea,1960_afc_asian_cup.txt
Taiwan,Vietnam Republic,2,0,1,Seoul,South Korea,1960_afc_asian_cup.txt
South Korea,Israel,3,0,1,Seoul,South Korea,1960_afc_asian_cup.txt
Israel,Vietnam Republic,5,1,1,Seoul,South Korea,1960_afc_asian_cup.txt
South Korea,Taiwan,1,0,1,Seoul,South Korea,1960_afc_asian_cup.txt
Israel,Taiwan,1,0,1,Seoul,South Korea,1960_afc_asian_cup.txt
Israel,Hong Kong,1,0,1,Ramat Gan,Israel,1964_afc_asian_cup.txt
India,South Korea,2,0,1,Haifa,Israel,1964_afc_asian_cup.txt
Israel,India,2,0,1,Jaffa,Israel,1964_afc_asian_cup.txt
Hong Kong,South Korea,0,1,2,Jerusalem,Israel,1964_afc_asian_cup.txt
Hong Kong,India,1,3,2,Jaffa,Israel,1964_afc_asian_cup.txt
Israel,South Korea,2,1,1,Ramat Gan,Israel,1964_afc_asian_cup.txt
Iran,Hong Kong,2,0,1,Tehran,Iran,1968_afc_asian_cup.txt
Myanmar,Taiwan,1,1,X,Tehran,Iran,1968_afc_asian_cup.txt
Hong Kong,Israel,1,6,2,Tehran,Iran,1968_afc_asian_cup.txt
Iran,Taiwan,4,0,1,Tehran,Iran,1968_afc_asian_cup.txt
Myanmar,Israel,1,0,1,Tehran,Iran,1968_afc_asian_cup.txt
Hong Kong,Taiwan,1,1,X,Tehran,Iran,1968_afc_asian_cup.txt
Iran,Myanmar,3,1,1,Tehran,Iran,1968_afc_asian_cup.txt
Israel,Taiwan,4,1,1,Tehran,Iran,1968_afc_asian_cup.txt
Myanmar,Hong Kong,2,0,1,Tehran,Iran,1968_afc_asian_cup.txt
Iran,Israel,2,1,1,Tehran,Iran,1968_afc_asian_cup.txt
Iran,Cambodia,2,0,1,Bangkok,Thailand,1972_afc_asian_cup.txt
South Korea,Iraq,0,0,X,Bangkok,Thailand   [Iraq wins on penalties],1972_afc_asian_cup.txt
Thailand,Kuwait,0,2,2,Bangkok,Thailand,1972_afc_asian_cup.txt
Iran,Iraq,3,0,1,Bangkok,Thailand,1972_afc_asian_cup.txt
Cambodia,South Korea,1,4,2,Bangkok,Thailand,1972_afc_asian_cup.txt
Thailand,Iraq,1,1,X,Bangkok,Thailand,1972_afc_asian_cup.txt
South Korea,Kuwait,1,2,2,Bangkok,Thailand,1972_afc_asian_cup.txt
Thailand,Iran,2,3,2,Bangkok,Thailand,1972_afc_asian_cup.txt
Cambodia,Kuwait,4,0,1,Bangkok,Thailand,1972_afc_asian_cup.txt
Iran,Cambodia,2,1,1,Bangkok,Thailand,1972_afc_asian_cup.txt
Thailand,South Korea,1,1,X,Bangkok,Thailand   [South Korea wins on penalties],1972_afc_asian_cup.txt
Iran,South Korea,2,1,1,Bangkok,Thailand,1972_afc_asian_cup.txt
Thailand,Cambodia,2,2,X,Bangkok,Thailand   [Thailand wins on penalties],1972_afc_asian_cup.txt
Kuwait,Malaysia,2,0,1,Tehran,Iran,1976_afc_asian_cup.txt
Iran,Iraq,2,0,1,Tehran,Iran,1976_afc_asian_cup.txt
China PR,Malaysia,1,1,X,Tehran,Iran,1976_afc_asian_cup.txt
Iraq,Yemen DPR,1,0,1,Tehran,Iran,1976_afc_asian_cup.txt
China PR,Kuwait,0,1,2,Tehran,Iran,1976_afc_asian_cup.txt
Iran,Yemen DPR,8,0,1,Tehran,Iran,1976_afc_asian_cup.txt
Iran,China PR,2,0,1,Tehran,Iran,1976_afc_asian_cup.txt
Iraq,Kuwait,2,3,2,Tehran,Iran,1976_afc_asian_cup.txt
China PR,Iraq,1,0,1,Tehran,Iran,1976_afc_asian_cup.txt
Iran,Kuwait,1,0,1,Tehran,Iran,1976_afc_asian_cup.txt
Kuwait,United Arab Emirates,1,1,X,Kuwait City,Kuwait,1980_afc_asian_cup.txt
North Korea,Bangladesh,3,2,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Malaysia,South Korea,1,1,X,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Iran,Syria,0,0,X,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Qatar,United Arab Emirates,2,1,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
North Korea,China PR,2,1,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Kuwait,Malaysia,3,1,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Bangladesh,Syria,0,1,2,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Qatar,South Korea,0,2,2,Kuwait City,Kuwait,1980_afc_asian_cup.txt
China PR,Iran,2,2,X,Kuwait City,Kuwait,1980_afc_asian_cup.txt
United Arab Emirates,Malaysia,0,2,2,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Kuwait,South Korea,0,3,2,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Bangladesh,Iran,0,7,2,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Malaysia,Qatar,1,1,X,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Syria,China PR,1,0,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Iran,North Korea,3,2,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
South Korea,United Arab Emirates,4,1,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
China PR,Bangladesh,6,0,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Kuwait,Qatar,4,0,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Syria,North Korea,1,2,2,Kuwait City,Kuwait,1980_afc_asian_cup.txt
South Korea,North Korea,2,1,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Kuwait,Iran,2,1,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Iran,North Korea,3,0,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Kuwait,South Korea,3,0,1,Kuwait City,Kuwait,1980_afc_asian_cup.txt
Iran,United Arab Emirates,3,0,1,Kallang,Singapore,1984_afc_asian_cup.txt
Qatar,Syria,1,1,X,Kallang,Singapore,1984_afc_asian_cup.txt
Saudi Arabia,South Korea,1,1,X,Kallang,Singapore,1984_afc_asian_cup.txt
Singapore,India,2,0,1,Kallang,Singapore,1984_afc_asian_cup.txt
China PR,Iran,0,2,2,Kallang,Singapore,1984_afc_asian_cup.txt
Kuwait,Qatar,1,0,1,Kallang,Singapore,1984_afc_asian_cup.txt
Syria,Saudi Arabia,0,1,2,Kallang,Singapore,1984_afc_asian_cup.txt
United Arab Emirates,India,2,0,1,Kallang,Singapore,1984_afc_asian_cup.txt
South Korea,Kuwait,0,0,X,Kallang,Singapore,1984_afc_asian_cup.txt
Singapore,China PR,0,2,2,Kallang,Singapore,1984_afc_asian_cup.txt
Iran,India,0,0,X,Kallang,Singapore,1984_afc_asian_cup.txt
Syria,South Korea,1,0,1,Kallang,Singapore,1984_afc_asian_cup.txt
Qatar,Saudi Arabia,1,1,X,Kallang,Singapore,1984_afc_asian_cup.txt
Singapore,United Arab Emirates,0,1,2,Kallang,Singapore,1984_afc_asian_cup.txt
India,China PR,0,3,2,Kallang,Singapore,1984_afc_asian_cup.txt
Kuwait,Syria,3,1,1,Kallang,Singapore,1984_afc_asian_cup.txt
South Korea,Qatar,0,1,2,Kallang,Singapore,1984_afc_asian_cup.txt
Singapore,Iran,1,1,X,Kallang,Singapore,1984_afc_asian_cup.txt
China PR,United Arab Emirates,5,0,1,Kallang,Singapore,1984_afc_asian_cup.txt
Saudi Arabia,Kuwait,1,0,1,Kallang,Singapore,1984_afc_asian_cup.txt
Saudi Arabia,Iran,1,1,X,Kallang,Singapore   [Saudi Arabia wins on penalties],1984_afc_asian_cup.txt
Kuwait,China PR,0,1,2,Kallang,Singapore,1984_afc_asian_cup.txt
Iran,Kuwait,1,1,X,Kallang,Singapore   [Kuwait wins on penalties],1984_afc_asian_cup.txt
Saudi Arabia,China PR,2,0,1,Kallang,Singapore,1984_afc_asian_cup.txt
Qatar,Iran,0,2,2,Doha,Qatar,1988_afc_asian_cup.txt
Syria,Saudi Arabia,0,2,2,Doha,Qatar,1988_afc_asian_cup.txt
Kuwait,Bahrain,0,0,X,Doha,Qatar,1988_afc_asian_cup.txt
United Arab Emirates,South Korea,0,1,2,Doha,Qatar,1988_afc_asian_cup.txt
China PR,Syria,3,0,1,Doha,Qatar,1988_afc_asian_cup.txt
Japan,Iran,0,0,X,Doha,Qatar,1988_afc_asian_cup.txt
Qatar,United Arab Emirates,2,1,1,Doha,Qatar,1988_afc_asian_cup.txt
Saudi Arabia,Kuwait,0,0,X,Doha,Qatar,1988_afc_asian_cup.txt
Bahrain,China PR,0,1,2,Doha,Qatar,1988_afc_asian_cup.txt
South Korea,Japan,2,0,1,Doha,Qatar,1988_afc_asian_cup.txt
Iran,United Arab Emirates,1,0,1,Doha,Qatar,1988_afc_asian_cup.txt
Syria,Kuwait,1,0,1,Doha,Qatar,1988_afc_asian_cup.txt
Qatar,South Korea,2,3,2,Doha,Qatar,1988_afc_asian_cup.txt
Saudi Arabia,Bahrain,1,1,X,Doha,Qatar,1988_afc_asian_cup.txt
Kuwait,China PR,2,2,X,Doha,Qatar,1988_afc_asian_cup.txt
United Arab Emirates,Japan,1,0,1,Doha,Qatar,1988_afc_asian_cup.txt
Bahrain,Syria,0,1,2,Doha,Qatar,1988_afc_asian_cup.txt
South Korea,Iran,3,0,1,Doha,Qatar,1988_afc_asian_cup.txt
China PR,Saudi Arabia,0,1,2,Doha,Qatar,1988_afc_asian_cup.txt
Qatar,Japan,3,0,1,Doha,Qatar,1988_afc_asian_cup.txt
South Korea,China PR,2,1,1,Doha,Qatar,1988_afc_asian_cup.txt
Saudi Arabia,Iran,1,0,1,Doha,Qatar,1988_afc_asian_cup.txt
China PR,Iran,0,0,X,Doha,Qatar   [Iran wins on penalties],1988_afc_asian_cup.txt
South Korea,Saudi Arabia,0,0,X,Doha,Qatar   [Saudi Arabia wins on penalties],1988_afc_asian_cup.txt
Qatar,Thailand,1,1,X,Hiroshima,Japan,1992_afc_asian_cup.txt
Saudi Arabia,China PR,1,1,X,Hiroshima,Japan,1992_afc_asian_cup.txt
Japan,United Arab Emirates,0,0,X,Onomichi,Japan,1992_afc_asian_cup.txt
North Korea,Iran,0,2,2,Onomichi,Japan,1992_afc_asian_cup.txt
China PR,Thailand,0,0,X,Hiroshima,Japan,1992_afc_asian_cup.txt
Saudi Arabia,Qatar,1,1,X,Hiroshima,Japan,1992_afc_asian_cup.txt
Japan,North Korea,1,1,X,Hiroshima,Japan,1992_afc_asian_cup.txt
United Arab Emirates,Iran,0,0,X,Hiroshima,Japan,1992_afc_asian_cup.txt
China PR,Qatar,2,1,1,Onomichi,Japan,1992_afc_asian_cup.txt
Saudi Arabia,Thailand,4,0,1,Onomichi,Japan,1992_afc_asian_cup.txt
Japan,Iran,1,0,1,Hiroshima,Japan,1992_afc_asian_cup.txt
United Arab Emirates,North Korea,2,1,1,Hiroshima,Japan,1992_afc_asian_cup.txt
Japan,China PR,3,2,1,Hiroshima,Japan,1992_afc_asian_cup.txt
Saudi Arabia,United Arab Emirates,2,0,1,Hiroshima,Japan,1992_afc_asian_cup.txt
China PR,United Arab Emirates,1,1,X,Hiroshima,Japan   [China PR wins on penalties],1992_afc_asian_cup.txt
Japan,Saudi Arabia,1,0,1,Hiroshima,Japan,1992_afc_asian_cup.txt
Indonesia,Kuwait,2,2,X,Abu Dhabi,United Arab Emirates,1996_afc_asian_cup.txt
United Arab Emirates,South Korea,1,1,X,Abu Dhabi,United Arab Emirates,1996_afc_asian_cup.txt
Iran,Iraq,1,2,2,Dubai,United Arab Emirates,1996_afc_asian_cup.txt
Saudi Arabia,Thailand,6,0,1,Dubai,United Arab Emirates,1996_afc_asian_cup.txt
China PR,Uzbekistan,0,2,2,Al Ain,United Arab Emirates,1996_afc_asian_cup.txt
Japan,Syria,2,1,1,Al Ain,United Arab Emirates,1996_afc_asian_cup.txt
South Korea,Indonesia,4,2,1,Abu Dhabi,United Arab Emirates,1996_afc_asian_cup.txt
United Arab Emirates,Kuwait,3,2,1,Abu Dhabi,United Arab Emirates,1996_afc_asian_cup.txt
Saudi Arabia,Iraq,1,0,1,Dubai,United Arab Emirates,1996_afc_asian_cup.txt
Thailand,Iran,1,3,2,Dubai,United Arab Emirates,1996_afc_asian_cup.txt
Japan,Uzbekistan,4,0,1,Al Ain,United Arab Emirates,1996_afc_asian_cup.txt
Syria,China PR,0,3,2,Al Ain,United Arab Emirates,1996_afc_asian_cup.txt
Kuwait,South Korea,2,0,1,Abu Dhabi,United Arab Emirates,1996_afc_asian_cup.txt
United Arab Emirates,Indonesia,2,0,1,Abu Dhabi,United Arab Emirates,1996_afc_asian_cup.txt
Iraq,Thailand,4,1,1,Dubai,United Arab Emirates,1996_afc_asian_cup.txt
Saudi Arabia,Iran,0,3,2,Dubai,United Arab Emirates,1996_afc_asian_cup.txt
Japan,China PR,1,0,1,Al Ain,United Arab Emirates,1996_afc_asian_cup.txt
