home_team,away_team,home_score,away_score,result,city,country,source_file
Philippines,South Korea,0,2,2,Manila,Philippines,1956_afc_asian_cup_qualification.txt
Malaysia,Cambodia,9,2,1,Kuala Lumpur,Malaya,1956_afc_asian_cup_qualification.txt
South Korea,Philippines,3,0,1,Seoul,South Korea,1956_afc_asian_cup_qualification.txt
Cambodia,Malaysia,3,2,1,Phnom Penh,Cambodia,1956_afc_asian_cup_qualification.txt
Vietnam Republic,Malaysia,4,0,1,Saigon,Vietnam Republic,1956_afc_asian_cup_qualification.txt
Malaysia,Vietnam Republic,3,3,X,Kuala Lumpur,Malaya,1956_afc_asian_cup_qualification.txt
South Korea,Taiwan,2,0,1,Seoul,South Korea,1956_afc_asian_cup_qualification.txt
Philippines,Hong Kong,0,7,2,Manila,Philippines,1959_afc_asian_cup_qualification.txt
Philippines,Taiwan,4,7,2,Manila,Philippines,1959_afc_asian_cup_qualification.txt
Singapore,Vietnam Republic,1,4,2,Kallang,Singapore,1959_afc_asian_cup_qualification.txt
Singapore,Malaysia,2,5,2,Kallang,Singapore,1959_afc_asian_cup_qualification.txt
Malaysia,Vietnam Republic,0,1,2,Kallang,Singapore,1959_afc_asian_cup_qualification.txt
Iran,Israel,3,0,1,Ernakulam,India,1959_afc_asian_cup_qualification.txt
India,Pakistan,1,0,1,Ernakulam,India,1959_afc_asian_cup_qualification.txt
India,Israel,1,3,2,Ernakulam,India,1959_afc_asian_cup_qualification.txt
Israel,Pakistan,2,0,1,Ernakulam,India,1959_afc_asian_cup_qualification.txt
Israel,Iran,1,1,X,Ernakulam,India,1959_afc_asian_cup_qualification.txt
Pakistan,Israel,2,2,X,Ernakulam,India,1959_afc_asian_cup_qualification.txt
Hong Kong,Thailand,3,3,X,Saigon,Vietnam Republic,1963_afc_asian_cup_qualification.txt
Vietnam Republic,Malaysia,5,3,1,Saigon,Vietnam Republic,1963_afc_asian_cup_qualification.txt
Malaysia,Thailand,3,1,1,Saigon,Vietnam Republic,1963_afc_asian_cup_qualification.txt
Vietnam Republic,Hong Kong,1,4,2,Saigon,Vietnam Republic,1963_afc_asian_cup_qualification.txt
Hong Kong,Malaysia,4,3,1,Saigon,Vietnam Republic,1963_afc_asian_cup_qualification.txt
Vietnam Republic,Thailand,3,0,1,Saigon,Vietnam Republic,1963_afc_asian_cup_qualification.txt
Hong Kong,Vietnam Republic,2,0,1,So Kon Po,Hong Kong,1967_afc_asian_cup_qualification.txt
Thailand,Vietnam Republic,0,1,2,So Kon Po,Hong Kong,1967_afc_asian_cup_qualification.txt
Vietnam Republic,Malaysia,0,2,2,So Kon Po,Hong Kong,1967_afc_asian_cup_qualification.txt
Vietnam Republic,Singapore,3,0,1,So Kon Po,Hong Kong,1967_afc_asian_cup_qualification.txt
South Korea,Indonesia,1,1,X,Taipei,Taiwan,1967_afc_asian_cup_qualification.txt
Japan,South Korea,2,1,1,Taipei,Taiwan,1967_afc_asian_cup_qualification.txt
Japan,Philippines,2,0,1,Taipei,Taiwan,1967_afc_asian_cup_qualification.txt
Japan,Indonesia,2,1,1,Taipei,Taiwan,1967_afc_asian_cup_qualification.txt
South Korea,Philippines,7,0,1,Taipei,Taiwan,1967_afc_asian_cup_qualification.txt
Indonesia,Philippines,6,0,1,Taipei,Taiwan,1967_afc_asian_cup_qualification.txt
Myanmar,India,2,0,1,Yangon,Burma,1967_afc_asian_cup_qualification.txt
India,Pakistan,1,1,X,Yangon,Burma,1967_afc_asian_cup_qualification.txt
Myanmar,Cambodia,1,0,1,Yangon,Burma,1967_afc_asian_cup_qualification.txt
Myanmar,Pakistan,2,0,1,Yangon,Burma,1967_afc_asian_cup_qualification.txt
Thailand,Cambodia,1,1,X,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Indonesia,Hong Kong,2,1,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Malaysia,Brunei,8,0,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Cambodia,Hong Kong,2,1,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Thailand,Brunei,10,0,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Malaysia,Cambodia,2,1,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Thailand,Indonesia,0,1,2,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Indonesia,Brunei,9,0,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Malaysia,Hong Kong,2,1,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Cambodia,Indonesia,2,0,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Thailand,Malaysia,1,0,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Malaysia,Indonesia,3,0,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Thailand,Cambodia,4,2,1,Bangkok,Thailand,1971_afc_asian_cup_qualification.txt
Kuwait,Iraq,1,1,X,Kuwait City,Kuwait,1971_afc_asian_cup_qualification.txt
Bahrain,Lebanon,3,0,1,Kuwait City,Kuwait,1971_afc_asian_cup_qualification.txt
Syria,Jordan,0,0,X,Kuwait City,Kuwait,1971_afc_asian_cup_qualification.txt
Iraq,Sri Lanka,5,0,1,Kuwait City,Kuwait,1971_afc_asian_cup_qualification.txt
