home_team,away_team,home_score,away_score,result,city,country,source_file
Bangladesh,Cambodia,2,1,1,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Palestine,Guam,11,0,1,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Kyrgyzstan,Pakistan,0,1,2,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Nepal,Bhutan,2,0,1,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Sri Lanka,Brunei,1,0,1,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Tajikistan,Macau,4,0,1,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Afghanistan,Taiwan,2,2,X,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Bangladesh,Guam,3,0,1,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Cambodia,Palestine,0,4,2,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Bhutan,Sri Lanka,0,1,2,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Brunei,Nepal,2,1,1,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Pakistan,Tajikistan,0,2,2,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Bangladesh,Palestine,1,1,X,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Philippines,Afghanistan,1,1,X,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Bhutan,Brunei,0,0,X,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Cambodia,Guam,3,0,1,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Pakistan,Macau,2,2,X,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Sri Lanka,Nepal,1,1,X,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Tajikistan,Kyrgyzstan,0,1,2,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Macau,Kyrgyzstan,0,2,2,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Sri Lanka,Taiwan,3,0,1,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Palestine,Kyrgyzstan,0,1,2,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Bangladesh,Tajikistan,1,6,2,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Sri Lanka,Nepal,1,1,X,Chittagong,Bangladesh,2006_afc_challenge_cup.txt
Tajikistan,Kyrgyzstan,2,0,1,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
Sri Lanka,Tajikistan,0,4,2,Dhaka,Bangladesh,2006_afc_challenge_cup.txt
India,Afghanistan,1,0,1,Hyderabad,India,2008_afc_challenge_cup.txt
Turkmenistan,Tajikistan,0,0,X,Hyderabad,India,2008_afc_challenge_cup.txt
Myanmar,Nepal,3,0,1,Hyderabad,India,2008_afc_challenge_cup.txt
North Korea,Sri Lanka,3,0,1,Hyderabad,India,2008_afc_challenge_cup.txt
Afghanistan,Turkmenistan,0,5,2,Hyderabad,India,2008_afc_challenge_cup.txt
India,Tajikistan,1,1,X,Hyderabad,India,2008_afc_challenge_cup.txt
Nepal,North Korea,0,1,2,Hyderabad,India,2008_afc_challenge_cup.txt
Sri Lanka,Myanmar,1,3,2,Hyderabad,India,2008_afc_challenge_cup.txt
Afghanistan,Tajikistan,0,4,2,Hyderabad,India,2008_afc_challenge_cup.txt
India,Turkmenistan,2,1,1,Hyderabad,India,2008_afc_challenge_cup.txt
North Korea,Myanmar,1,0,1,Hyderabad,India,2008_afc_challenge_cup.txt
Nepal,Sri Lanka,3,0,1,Hyderabad,India,2008_afc_challenge_cup.txt
India,Myanmar,1,0,1,Hyderabad,India,2008_afc_challenge_cup.txt
North Korea,Tajikistan,0,1,2,Hyderabad,India,2008_afc_challenge_cup.txt
Myanmar,North Korea,0,4,2,New Delhi,India,2008_afc_challenge_cup.txt
India,Tajikistan,4,1,1,New Delhi,India,2008_afc_challenge_cup.txt
Sri Lanka,Myanmar,0,4,2,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Tajikistan,Bangladesh,1,2,2,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
North Korea,Turkmenistan,1,1,X,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Bangladesh,Myanmar,1,2,2,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Sri Lanka,Tajikistan,1,3,2,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Kyrgyzstan,North Korea,0,4,2,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Sri Lanka,Bangladesh,3,0,1,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Tajikistan,Myanmar,3,0,1,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Turkmenistan,Kyrgyzstan,1,0,1,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
North Korea,Myanmar,5,0,1,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Tajikistan,Turkmenistan,0,2,2,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Turkmenistan,North Korea,1,1,X,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
Tajikistan,Myanmar,1,0,1,Colombo,Sri Lanka,2010_afc_challenge_cup.txt
