home_team,away_team,home_score,away_score,result,city,country,source_file
Sudan,Egypt,1,2,2,Khartoum,Sudan,1957_african_cup_of_nations.txt
Egypt,Ethiopia,4,0,1,Khartoum,Sudan,1957_african_cup_of_nations.txt
Egypt,Ethiopia,4,0,1,Cairo,United Arab Republic,1959_african_cup_of_nations.txt
Ethiopia,Sudan,0,1,2,Cairo,United Arab Republic,1959_african_cup_of_nations.txt
Egypt,Sudan,2,1,1,Cairo,United Arab Republic,1959_african_cup_of_nations.txt
Ethiopia,Tunisia,4,2,1,Addis Ababa,Ethiopia,1962_african_cup_of_nations.txt
Egypt,Uganda,2,1,1,Addis Ababa,Ethiopia,1962_african_cup_of_nations.txt
Tunisia,Uganda,3,0,1,Addis Ababa,Ethiopia,1962_african_cup_of_nations.txt
Ethiopia,Egypt,4,2,1,Addis Ababa,Ethiopia,1962_african_cup_of_nations.txt
Egypt,Nigeria,6,3,1,Kumasi,Ghana,1963_african_cup_of_nations.txt
Ghana,Tunisia,1,1,X,Accra,Ghana,1963_african_cup_of_nations.txt
Egypt,Sudan,2,2,X,Kumasi,Ghana,1963_african_cup_of_nations.txt
Ghana,Ethiopia,2,0,1,Accra,Ghana,1963_african_cup_of_nations.txt
Ethiopia,Tunisia,4,2,1,Accra,Ghana,1963_african_cup_of_nations.txt
Nigeria,Sudan,0,4,2,Kumasi,Ghana,1963_african_cup_of_nations.txt
Egypt,Ethiopia,3,0,1,Accra,Ghana,1963_african_cup_of_nations.txt
Ghana,Sudan,3,0,1,Accra,Ghana,1963_african_cup_of_nations.txt
DR Congo,Ghana,2,5,2,Sousse,Tunisia,1965_african_cup_of_nations.txt
Tunisia,Ethiopia,4,0,1,Tunis,Tunisia,1965_african_cup_of_nations.txt
DR Congo,Ivory Coast,0,3,2,Sfax,Tunisia,1965_african_cup_of_nations.txt
Tunisia,Senegal,0,0,X,Tunis,Tunisia,1965_african_cup_of_nations.txt
Ethiopia,Senegal,1,5,2,Tunis,Tunisia,1965_african_cup_of_nations.txt
Ghana,Ivory Coast,4,1,1,Bizerte,Tunisia,1965_african_cup_of_nations.txt
Ivory Coast,Senegal,1,0,1,Tunis,Tunisia,1965_african_cup_of_nations.txt
Tunisia,Ghana,2,3,2,Tunis,Tunisia,1965_african_cup_of_nations.txt
Algeria,Ivory Coast,0,3,2,Addis Ababa,Ethiopia,1968_african_cup_of_nations.txt
Congo,DR Congo,0,3,2,Asmara,Ethiopia,1968_african_cup_of_nations.txt
Ethiopia,Uganda,2,1,1,Addis Ababa,Ethiopia,1968_african_cup_of_nations.txt
Ghana,Senegal,2,2,X,Asmara,Ethiopia,1968_african_cup_of_nations.txt
Algeria,Uganda,4,0,1,Addis Ababa,Ethiopia,1968_african_cup_of_nations.txt
Congo,Senegal,1,2,2,Asmara,Ethiopia,1968_african_cup_of_nations.txt
DR Congo,Ghana,1,2,2,Asmara,Ethiopia,1968_african_cup_of_nations.txt
Ethiopia,Ivory Coast,1,0,1,Addis Ababa,Ethiopia,1968_african_cup_of_nations.txt
Congo,Ghana,1,3,2,Asmara,Ethiopia,1968_african_cup_of_nations.txt
DR Congo,Senegal,2,1,1,Asmara,Ethiopia,1968_african_cup_of_nations.txt
Ethiopia,Algeria,3,1,1,Addis Ababa,Ethiopia,1968_african_cup_of_nations.txt
Ivory Coast,Uganda,2,1,1,Addis Ababa,Ethiopia,1968_african_cup_of_nations.txt
Ethiopia,DR Congo,2,3,2,Addis Ababa,Ethiopia,1968_african_cup_of_nations.txt
Ghana,Ivory Coast,4,3,1,Asmara,Ethiopia,1968_african_cup_of_nations.txt
DR Congo,Ghana,1,0,1,Addis Ababa,Ethiopia,1968_african_cup_of_nations.txt
Ethiopia,Ivory Coast,0,1,2,Addis Ababa,Ethiopia,1968_african_cup_of_nations.txt
Cameroon,Ivory Coast,3,2,1,Khartoum,Sudan,1970_african_cup_of_nations.txt
Sudan,Ethiopia,3,0,1,Khartoum,Sudan,1970_african_cup_of_nations.txt
DR Congo,Ghana,0,2,2,Wad Madani,Sudan,1970_african_cup_of_nations.txt
Egypt,Guinea,4,1,1,Wad Madani,Sudan,1970_african_cup_of_nations.txt
Cameroon,Ethiopia,3,2,1,Khartoum,Sudan,1970_african_cup_of_nations.txt
Sudan,Ivory Coast,0,1,2,Khartoum,Sudan,1970_african_cup_of_nations.txt
DR Congo,Guinea,2,2,X,Wad Madani,Sudan,1970_african_cup_of_nations.txt
Egypt,Ghana,1,1,X,Wad Madani,Sudan,1970_african_cup_of_nations.txt
Ethiopia,Ivory Coast,1,6,2,Khartoum,Sudan,1970_african_cup_of_nations.txt
Sudan,Cameroon,2,1,1,Khartoum,Sudan,1970_african_cup_of_nations.txt
DR Congo,Egypt,0,1,2,Wad Madani,Sudan,1970_african_cup_of_nations.txt
Ghana,Guinea,1,1,X,Wad Madani,Sudan,1970_african_cup_of_nations.txt
Ghana,Ivory Coast,2,1,1,Khartoum,Sudan,1970_african_cup_of_nations.txt
