time,home_team,away_team,home_score,away_score,result,ht_score,source_file
17.00,Egnatia Rrogozhine,KF Skënderbeu,0,1,2,0-0,2023-24_al1.txt
20.00,FK Vllaznia,FK Kukësi,3,1,1,2-1,2023-24_al1.txt
17.00,KF Laçi,Erzeni Shijak,3,3,X,2-1,2023-24_al1.txt
20.00,FC Dinamo City,KF Tiranë,2,3,2,1-1,2023-24_al1.txt
17.00,FK Partizani,KF Teuta Durrës,1,1,X,0-1,2023-24_al1.txt
16.00,Erzeni Shijak,FK Vllaznia,2,2,X,1-1,2023-24_al1.txt
19.00,KF Skënderbeu,FC Dinamo City,1,0,1,0-0,2023-24_al1.txt
19.00,KF Teuta Durrës,KF Tiranë,2,2,X,2-1,2023-24_al1.txt
16.00,FK Kukësi,Egnatia Rrogozhine,0,4,2,0-2,2023-24_al1.txt
19.00,FK Partizani,KF Laçi,1,0,1,0-0,2023-24_al1.txt
16.00,Egnatia Rrogozhine,Erzeni Shijak,4,3,1,4-1,2023-24_al1.txt
19.00,FC Dinamo City,FK Kukësi,2,1,1,0-0,2023-24_al1.txt
15.00,KF Tiranë,KF Skënderbeu,3,1,1,1-1,2023-24_al1.txt
18.00,FK Vllaznia,FK Partizani,0,0,X,,2023-24_al1.txt
16.00,KF Laçi,KF Teuta Durrës,6,1,1,2-0,2023-24_al1.txt
16.00,Erzeni Shijak,FC Dinamo City,2,1,1,1-0,2023-24_al1.txt
16.00,FK Kukësi,KF Tiranë,1,2,2,0-0,2023-24_al1.txt
18.30,FK Partizani,Egnatia Rrogozhine,1,1,X,1-1,2023-24_al1.txt
15.00,KF Laçi,FK Vllaznia,2,1,1,1-1,2023-24_al1.txt
,KF Teuta Durrës,KF Skënderbeu,1,0,1,1-0,2023-24_al1.txt
15.00,KF Tiranë,Erzeni Shijak,0,1,2,0-1,2023-24_al1.txt
18.00,FC Dinamo City,FK Partizani,1,3,2,0-0,2023-24_al1.txt
15.00,Egnatia Rrogozhine,KF Laçi,2,1,1,1-0,2023-24_al1.txt
18.00,KF Skënderbeu,FK Kukësi,0,1,2,0-1,2023-24_al1.txt
20.15,FK Vllaznia,KF Teuta Durrës,2,0,1,2-0,2023-24_al1.txt
15.00,Erzeni Shijak,KF Skënderbeu,1,2,2,0-1,2023-24_al1.txt
18.00,FK Vllaznia,Egnatia Rrogozhine,0,2,2,0-0,2023-24_al1.txt
20.15,KF Teuta Durrës,FK Kukësi,0,0,X,,2023-24_al1.txt
15.00,KF Laçi,FC Dinamo City,0,1,2,0-1,2023-24_al1.txt
19.00,FK Partizani,KF Tiranë,2,1,1,0-0,2023-24_al1.txt
14.00,Egnatia Rrogozhine,KF Teuta Durrës,0,1,2,0-0,2023-24_al1.txt
16.30,KF Skënderbeu,FK Partizani,1,0,1,0-0,2023-24_al1.txt
14.00,FK Kukësi,Erzeni Shijak,2,1,1,0-1,2023-24_al1.txt
18.00,FC Dinamo City,FK Vllaznia,1,1,X,0-0,2023-24_al1.txt
14.00,KF Tiranë,KF Laçi,0,3,2,0-1,2023-24_al1.txt
14.00,Egnatia Rrogozhine,FC Dinamo City,3,0,1,2-0,2023-24_al1.txt
14.00,FK Vllaznia,KF Tiranë,0,1,2,0-0,2023-24_al1.txt
14.00,KF Laçi,KF Skënderbeu,2,0,1,1-0,2023-24_al1.txt
18.00,FK Partizani,FK Kukësi,4,3,1,3-1,2023-24_al1.txt
,KF Teuta Durrës,Erzeni Shijak,0,1,2,0-0,2023-24_al1.txt
17.00,KF Skënderbeu,FK Vllaznia,0,2,2,0-0,2023-24_al1.txt
14.00,FK Kukësi,KF Laçi,1,0,1,0-0,2023-24_al1.txt
17.00,FC Dinamo City,KF Teuta Durrës,2,3,2,1-0,2023-24_al1.txt
14.00,KF Tiranë,Egnatia Rrogozhine,2,3,2,2-1,2023-24_al1.txt
17.00,Erzeni Shijak,FK Partizani,1,2,2,0-1,2023-24_al1.txt
14.00,FK Kukësi,FK Vllaznia,1,0,1,0-0,2023-24_al1.txt
17.00,Erzeni Shijak,KF Laçi,0,0,X,,2023-24_al1.txt
14.00,KF Tiranë,FC Dinamo City,1,1,X,1-0,2023-24_al1.txt
17.00,KF Teuta Durrës,FK Partizani,0,1,2,0-0,2023-24_al1.txt
,KF Skënderbeu,Egnatia Rrogozhine,1,1,X,0-1,2023-24_al1.txt
14.00,Egnatia Rrogozhine,FK Kukësi,2,1,1,1-1,2023-24_al1.txt
17.00,FC Dinamo City,KF Skënderbeu,2,1,1,2-1,2023-24_al1.txt
14.00,KF Laçi,FK Partizani,0,1,2,0-0,2023-24_al1.txt
,KF Tiranë,KF Teuta Durrës,2,0,1,1-0,2023-24_al1.txt
