home_team,away_team,home_score,away_score,result,city,country,source_file
Congo,Uganda,2,1,1,Brazzaville,Congo,1965_all-african_games.txt
Mali,Togo,1,2,2,Brazzaville,Congo,1965_all-african_games.txt
Ivory Coast,Algeria,1,0,1,Brazzaville,Congo,1965_all-african_games.txt
Madagascar,DR Congo,0,7,2,Brazzaville,Congo,1965_all-african_games.txt
Congo,Togo,7,2,1,Brazzaville,Congo,1965_all-african_games.txt
Mali,Uganda,5,1,1,Brazzaville,Congo,1965_all-african_games.txt
Togo,Uganda,1,1,X,Brazzaville,Congo,1965_all-african_games.txt
Ivory Coast,Madagascar,5,0,1,Brazzaville,Congo,1965_all-african_games.txt
Algeria,DR Congo,4,1,1,Brazzaville,Congo,1965_all-african_games.txt
Congo,Mali,1,2,2,Brazzaville,Congo,1965_all-african_games.txt
Ivory Coast,DR Congo,1,1,X,Brazzaville,Congo,1965_all-african_games.txt
Algeria,Madagascar,1,0,1,Brazzaville,Congo,1965_all-african_games.txt
Mali,Algeria,2,1,1,Brazzaville,Congo,1965_all-african_games.txt
Congo,Ivory Coast,1,0,1,Brazzaville,Congo,1965_all-african_games.txt
Ivory Coast,Algeria,2,0,1,Brazzaville,Congo,1965_all-african_games.txt
Congo,Mali,0,0,X,Brazzaville,Congo,1965_all-african_games.txt
DR Congo,Togo,5,1,1,Brazzaville,Congo,1965_all-african_games.txt
Uganda,Madagascar,5,0,1,Brazzaville,Congo,1965_all-african_games.txt
Togo,Madagascar,1,0,1,Brazzaville,Congo,1965_all-african_games.txt
DR Congo,Uganda,6,2,1,Brazzaville,Congo,1965_all-african_games.txt
Nigeria,Ghana,4,2,1,Lagos,Nigeria,1973_all-african_games.txt
Algeria,Tanzania,4,2,1,Lagos,Nigeria,1973_all-african_games.txt
Congo,Burkina Faso,3,0,1,Ibadan,Nigeria,1973_all-african_games.txt
Guinea,Egypt,4,1,1,Ibadan,Nigeria,1973_all-african_games.txt
Nigeria,Algeria,2,2,X,Lagos,Nigeria,1973_all-african_games.txt
Ghana,Tanzania,1,0,1,Lagos,Nigeria,1973_all-african_games.txt
Egypt,Congo,3,1,1,Ibadan,Nigeria,1973_all-african_games.txt
Guinea,Burkina Faso,3,2,1,Ibadan,Nigeria,1973_all-african_games.txt
Nigeria,Tanzania,2,1,1,Lagos,Nigeria,1973_all-african_games.txt
Ghana,Algeria,2,0,1,Lagos,Nigeria,1973_all-african_games.txt
Guinea,Congo,5,1,1,Ibadan,Nigeria,1973_all-african_games.txt
Egypt,Burkina Faso,4,2,1,Ibadan,Nigeria,1973_all-african_games.txt
Nigeria,Egypt,4,2,1,Lagos,Nigeria,1973_all-african_games.txt
Guinea,Ghana,2,1,1,Ibadan,Nigeria,1973_all-african_games.txt
Egypt,Ghana,2,1,1,Lagos,Nigeria,1973_all-african_games.txt
Nigeria,Guinea,2,0,1,Lagos,Nigeria,1973_all-african_games.txt
Algeria,Egypt,1,1,X,Algiers,Algeria,1978_all-african_games.txt
Libya,Malawi,2,1,1,Algiers,Algeria,1978_all-african_games.txt
Nigeria,Mali,3,1,1,Algiers,Algeria,1978_all-african_games.txt
Ghana,Cameroon,2,1,1,Algiers,Algeria,1978_all-african_games.txt
Nigeria,Cameroon,0,0,X,Algiers,Algeria,1978_all-african_games.txt
Ghana,Mali,1,1,X,Algiers,Algeria,1978_all-african_games.txt
Algeria,Libya,2,1,1,Algiers,Algeria,1978_all-african_games.txt
Egypt,Malawi,4,1,1,Algiers,Algeria,1978_all-african_games.txt
Nigeria,Ghana,0,0,X,Algiers,Algeria,1978_all-african_games.txt
Cameroon,Mali,1,1,X,Algiers,Algeria,1978_all-african_games.txt
Algeria,Malawi,3,0,1,Algiers,Algeria,1978_all-african_games.txt
Egypt,Libya,1,0,1,Algiers,Algeria,1978_all-african_games.txt
Algeria,Ghana,2,0,1,Algiers,Algeria,1978_all-african_games.txt
Nigeria,Malawi,3,2,1,Algiers,Algeria,1978_all-african_games.txt
Ghana,Malawi,1,0,1,Algiers,Algeria,1978_all-african_games.txt
Algeria,Nigeria,1,0,1,Algiers,Algeria,1978_all-african_games.txt
Kenya,Tunisia,1,0,1,Nairobi,Kenya,1987_all-african_games.txt
Cameroon,Madagascar,3,0,1,Nairobi,Kenya,1987_all-african_games.txt
Egypt,Senegal,1,0,1,Nairobi,Kenya,1987_all-african_games.txt
Ivory Coast,Malawi,1,0,1,Nairobi,Kenya,1987_all-african_games.txt
Kenya,Cameroon,3,3,X,Nairobi,Kenya,1987_all-african_games.txt
Tunisia,Madagascar,0,3,2,Nairobi,Kenya,1987_all-african_games.txt
Egypt,Ivory Coast,2,1,1,Nairobi,Kenya,1987_all-african_games.txt
Malawi,Senegal,2,0,1,Nairobi,Kenya,1987_all-african_games.txt
Kenya,Madagascar,2,1,1,Nairobi,Kenya,1987_all-african_games.txt
Cameroon,Tunisia,3,1,1,Nairobi,Kenya,1987_all-african_games.txt
Ivory Coast,Senegal,1,0,1,Nairobi,Kenya,1987_all-african_games.txt
Malawi,Egypt,2,1,1,Nairobi,Kenya,1987_all-african_games.txt
Senegal,Tunisia,1,0,1,Nairobi,Kenya,1987_all-african_games.txt
Ivory Coast,Madagascar,1,1,X,Nairobi,Kenya   [Ivory Coast wins on penalties],1987_all-african_games.txt
Cameroon,Egypt,1,1,X,Nairobi,Kenya   [Egypt wins on penalties],1987_all-african_games.txt
Kenya,Malawi,1,1,X,Nairobi,Kenya   [Malawi wins on penalties],1987_all-african_games.txt
Cameroon,Malawi,1,3,2,Nairobi,Kenya,1987_all-african_games.txt
Kenya,Egypt,0,1,2,Nairobi,Kenya,1987_all-african_games.txt
