home_team,away_team,home_score,away_score,result,city,country,source_file
Algeria,Tunisia,0,0,X,Algiers,Algeria,1987_arab_cup_qualification.txt
Mauritania,Tunisia,1,2,2,Algiers,Algeria,1987_arab_cup_qualification.txt
Algeria,Mauritania,3,0,1,Algiers,Algeria,1987_arab_cup_qualification.txt
Lebanon,Palestine,3,1,1,Beirut,Lebanon,1998_arab_cup_qualification.txt
Syria,Jordan,3,0,1,Beirut,Lebanon,1998_arab_cup_qualification.txt
Lebanon,Jordan,0,2,2,Beirut,Lebanon,1998_arab_cup_qualification.txt
Palestine,Syria,1,2,2,Beirut,Lebanon,1998_arab_cup_qualification.txt
Jordan,Palestine,1,1,X,Beirut,Lebanon,1998_arab_cup_qualification.txt
Lebanon,Syria,0,1,2,Beirut,Lebanon,1998_arab_cup_qualification.txt
Yemen,Comoros,2,0,1,Sana'a,Yemen,2006_arab_cup_qualification.txt
Djibouti,Comoros,2,4,2,Sana'a,Yemen,2006_arab_cup_qualification.txt
Yemen,Djibouti,4,1,1,Sana'a,Yemen,2006_arab_cup_qualification.txt
Lebanon,Mauritania,0,0,X,Beirut,Lebanon,2006_arab_cup_qualification.txt
Sudan,Somalia,6,1,1,Beirut,Lebanon,2006_arab_cup_qualification.txt
Lebanon,Somalia,4,0,1,Beirut,Lebanon,2006_arab_cup_qualification.txt
Sudan,Mauritania,2,0,1,Beirut,Lebanon,2006_arab_cup_qualification.txt
Lebanon,Sudan,0,0,X,Beirut,Lebanon,2006_arab_cup_qualification.txt
Somalia,Mauritania,2,8,2,Beirut,Lebanon,2006_arab_cup_qualification.txt
Libya,Sudan,0,1,2,Doha,Qatar,2021_arab_cup_qualification.txt
Oman,Somalia,2,1,1,Doha,Qatar,2021_arab_cup_qualification.txt
Mauritania,Yemen,2,0,1,Doha,Qatar,2021_arab_cup_qualification.txt
Lebanon,Djibouti,1,0,1,Doha,Qatar,2021_arab_cup_qualification.txt
Palestine,Comoros,5,1,1,Doha,Qatar,2021_arab_cup_qualification.txt
Bahrain,Kuwait,2,0,1,Doha,Qatar,2021_arab_cup_qualification.txt
