home_team,away_team,home_score,away_score,result,city,country,source_file
Iran,Burma,2,0,1,New Delhi,India,1951_asian_games.txt
India,Indonesia,3,0,1,New Delhi,India,1951_asian_games.txt
Iran,Japan,0,0,X,New Delhi,India,1951_asian_games.txt
India,Afghanistan,3,0,1,New Delhi,India,1951_asian_games.txt
Iran,Japan,3,2,1,New Delhi,India,1951_asian_games.txt
Japan,Afghanistan,2,0,1,New Delhi,India,1951_asian_games.txt
India,Iran,1,0,1,New Delhi,India,1951_asian_games.txt
Taiwan,Vietnam,3,2,1,Manila,Philippines,1954_asian_games.txt
Japan,Indonesia,3,5,2,Manila,Philippines,1954_asian_games.txt
Singapore,Pakistan,2,6,2,Manila,Philippines,1954_asian_games.txt
South Korea,Hong Kong,3,3,X,Manila,Philippines,1954_asian_games.txt
Philippines,Vietnam,2,3,2,Manila,Philippines,1954_asian_games.txt
India,Japan,3,2,1,Manila,Philippines,1954_asian_games.txt
Burma,Singapore,1,1,X,Manila,Philippines,1954_asian_games.txt
South Korea,Afghanistan,8,2,1,Manila,Philippines,1954_asian_games.txt
Burma,Pakistan,2,1,1,Manila,Philippines,1954_asian_games.txt
India,Indonesia,0,4,2,Manila,Philippines,1954_asian_games.txt
Philippines,Taiwan,0,4,2,Manila,Philippines,1954_asian_games.txt
Hong Kong,Afghanistan,4,2,1,Manila,Philippines,1954_asian_games.txt
Taiwan,Indonesia,4,2,1,Manila,Philippines,1954_asian_games.txt
Burma,South Korea,2,2,X,Manila,Philippines,1954_asian_games.txt
Indonesia,Burma,4,5,2,Manila,Philippines,1954_asian_games.txt
Taiwan,South Korea,5,2,1,Manila,Philippines,1954_asian_games.txt
Vietnam Republic,Pakistan,1,1,X,Tokyo,Japan,1958_asian_games.txt
Taiwan,Malaya,2,1,1,Tokyo,Japan,1958_asian_games.txt
Indonesia,Burma,4,2,1,Tokyo,Japan,1958_asian_games.txt
Hong Kong,Philippines,4,1,1,Tokyo,Japan,1958_asian_games.txt
Burma,India,2,3,2,Tokyo,Japan,1958_asian_games.txt
Japan,Philippines,0,1,2,Tokyo,Japan,1958_asian_games.txt
South Korea,Singapore,2,1,1,Tokyo,Japan,1958_asian_games.txt
Israel,Iran,4,0,1,Tokyo,Japan,1958_asian_games.txt
Malaya,Vietnam Republic,1,6,2,Tokyo,Japan,1958_asian_games.txt
Pakistan,Taiwan,1,3,2,Tokyo,Japan,1958_asian_games.txt
India,Indonesia,1,2,2,Tokyo,Japan,1958_asian_games.txt
Japan,Hong Kong,0,2,2,Tokyo,Japan,1958_asian_games.txt
Iran,South Korea,0,5,2,Tokyo,Japan,1958_asian_games.txt
Singapore,Israel,1,2,2,Tokyo,Japan,1958_asian_games.txt
Taiwan,Israel,2,0,1,Tokyo,Japan,1958_asian_games.txt
Indonesia,Philippines,5,2,1,Tokyo,Japan,1958_asian_games.txt
Hong Kong,India,2,5,2,Tokyo,Japan,1958_asian_games.txt
South Korea,Vietnam Republic,3,1,1,Tokyo,Japan,1958_asian_games.txt
Taiwan,Indonesia,1,0,1,Tokyo,Japan,1958_asian_games.txt
India,South Korea,1,3,2,Tokyo,Japan,1958_asian_games.txt
Indonesia,India,4,1,1,Tokyo,Japan,1958_asian_games.txt
Taiwan,South Korea,3,2,1,Tokyo,Japan,1958_asian_games.txt
Indonesia,Vietnam Republic,1,0,1,Jakarta,Indonesia,1962_asian_games.txt
Japan,Thailand,3,1,1,Jakarta,Indonesia,1962_asian_games.txt
Malaysia,Philippines,15,1,1,Jakarta,Indonesia,1962_asian_games.txt
India,South Korea,0,2,2,Jakarta,Indonesia,1962_asian_games.txt
Indonesia,Philippines,6,0,1,Jakarta,Indonesia,1962_asian_games.txt
South Korea,Thailand,3,2,1,Jakarta,Indonesia,1962_asian_games.txt
Indonesia,Malaysia,2,3,2,Jakarta,Indonesia,1962_asian_games.txt
Thailand,India,1,4,2,Jakarta,Indonesia,1962_asian_games.txt
Vietnam Republic,Malaysia,3,0,1,Jakarta,Indonesia,1962_asian_games.txt
India,Japan,2,0,1,Jakarta,Indonesia,1962_asian_games.txt
Vietnam Republic,Philippines,6,0,1,Jakarta,Indonesia,1962_asian_games.txt
South Korea,Japan,1,0,1,Jakarta,Indonesia,1962_asian_games.txt
Vietnam Republic,India,2,3,2,Jakarta,Indonesia,1962_asian_games.txt
South Korea,Malaysia,2,1,1,Jakarta,Indonesia,1962_asian_games.txt
Vietnam Republic,Malaysia,1,4,2,Jakarta,Indonesia,1962_asian_games.txt
India,South Korea,2,1,1,Jakarta,Indonesia,1962_asian_games.txt
Thailand,South Korea,3,0,1,Bangkok,Thailand,1966_asian_games.txt
Japan,India,2,1,1,Bangkok,Thailand,1966_asian_games.txt
Iran,Malaysia,2,0,1,Bangkok,Thailand,1966_asian_games.txt
Indonesia,Singapore,3,0,1,Bangkok,Thailand,1966_asian_games.txt
Iran,Japan,1,3,2,Bangkok,Thailand,1966_asian_games.txt
Indonesia,Vietnam Republic,0,0,X,Bangkok,Thailand,1966_asian_games.txt
South Korea,Myanmar,0,1,2,Bangkok,Thailand,1966_asian_games.txt
Malaysia,India,1,2,2,Bangkok,Thailand,1966_asian_games.txt
Vietnam Republic,Taiwan,2,1,1,Bangkok,Thailand,1966_asian_games.txt
India,Iran,1,4,2,Bangkok,Thailand,1966_asian_games.txt
Singapore,Taiwan,3,3,X,Bangkok,Thailand,1966_asian_games.txt
Thailand,Myanmar,1,1,X,Bangkok,Thailand,1966_asian_games.txt
Malaysia,Japan,0,1,2,Bangkok,Thailand,1966_asian_games.txt
Taiwan,Indonesia,1,3,2,Bangkok,Thailand,1966_asian_games.txt
Singapore,Vietnam Republic,5,0,1,Bangkok,Thailand,1966_asian_games.txt
Thailand,Singapore,0,2,2,Bangkok,Thailand,1966_asian_games.txt
Myanmar,Indonesia,2,2,X,Bangkok,Thailand,1966_asian_games.txt
Japan,Singapore,5,1,1,Bangkok,Thailand,1966_asian_games.txt
Iran,Indonesia,1,0,1,Bangkok,Thailand,1966_asian_games.txt
Thailand,Japan,1,5,2,Bangkok,Thailand,1966_asian_games.txt
Myanmar,Iran,1,0,1,Bangkok,Thailand,1966_asian_games.txt
Japan,Iran,0,1,2,Bangkok,Thailand,1966_asian_games.txt
Myanmar,Singapore,2,0,1,Bangkok,Thailand,1966_asian_games.txt
Japan,Singapore,2,0,1,Bangkok,Thailand,1966_asian_games.txt
Iran,Myanmar,0,1,2,Bangkok,Thailand,1966_asian_games.txt
Thailand,India,2,2,X,Bangkok,Thailand,1970_asian_games.txt
Japan,Malaysia,1,0,1,Bangkok,Thailand,1970_asian_games.txt
Myanmar,Cambodia,2,1,1,Bangkok,Thailand,1970_asian_games.txt
Indonesia,Iran,2,2,X,Bangkok,Thailand,1970_asian_games.txt
India,Vietnam Republic,2,0,1,Bangkok,Thailand,1970_asian_games.txt
Iran,South Korea,0,1,2,Bangkok,Thailand,1970_asian_games.txt
Japan,Cambodia,1,0,1,Bangkok,Thailand,1970_asian_games.txt
Myanmar,Malaysia,1,0,1,Bangkok,Thailand,1970_asian_games.txt
Thailand,Vietnam Republic,1,0,1,Bangkok,Thailand,1970_asian_games.txt
Indonesia,South Korea,0,0,X,Bangkok,Thailand,1970_asian_games.txt
Japan,Myanmar,2,1,1,Bangkok,Thailand,1970_asian_games.txt
