home_team,away_team,home_score,away_score,result,city,country,source_file
Brazil,Uruguay,2,0,1,Rio de Janeiro,Brazil,1956_atlantic_cup.txt
Uruguay,Argentina,1,2,2,Montevideo,Uruguay,1956_atlantic_cup.txt
Argentina,Brazil,0,0,X,Avellaneda,Argentina,1956_atlantic_cup.txt
Paraguay,Brazil,1,2,2,Asunción,Paraguay,1960_atlantic_cup.txt
Argentina,Paraguay,1,0,1,Buenos Aires,Argentina,1960_atlantic_cup.txt
Uruguay,Brazil,1,0,1,Montevideo,Uruguay,1960_atlantic_cup.txt
Brazil,Argentina,5,1,1,Rio de Janeiro,Brazil,1960_atlantic_cup.txt
Uruguay,Paraguay,2,1,1,Montevideo,Uruguay,1960_atlantic_cup.txt
Argentina,Uruguay,4,0,1,Buenos Aires,Argentina,1960_atlantic_cup.txt
Uruguay,Paraguay,2,2,X,Montevideo,Uruguay,1976_atlantic_cup.txt
Paraguay,Uruguay,1,0,1,Asunción,Paraguay,1976_atlantic_cup.txt
