time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.50,Adelaide United,Sydney FC,1,1,X,1-0,2018-19_au1.txt
19.50,Melbourne Victory,Melbourne City FC,1,2,2,1-1,2018-19_au1.txt
15.00,Wellington Phoenix,Newcastle United Jets,2,1,1,1-0,2018-19_au1.txt
17.00,Brisbane Roar,Central Coast Mariners,1,1,X,0-1,2018-19_au1.txt
19.00,Perth Glory,Western Sydney Wanderers,1,1,X,1-0,2018-19_au1.txt
19.50,Adelaide United,Newcastle United Jets,1,1,X,0-0,2018-19_au1.txt
17.35,Central Coast Mariners,Melbourne City FC,1,1,X,1-0,2018-19_au1.txt
19.50,Sydney FC,Western Sydney Wanderers,2,0,1,1-0,2018-19_au1.txt
17.00,Brisbane Roar,Wellington Phoenix,0,0,X,,2018-19_au1.txt
19.00,Melbourne Victory,Perth Glory,2,3,2,0-2,2018-19_au1.txt
19.50,Melbourne City FC,Sydney FC,0,3,2,0-1,2018-19_au1.txt
17.35,Wellington Phoenix,Western Sydney Wanderers,0,3,2,0-1,2018-19_au1.txt
19.50,Newcastle United Jets,Melbourne Victory,0,1,2,0-0,2018-19_au1.txt
22.00,Perth Glory,Brisbane Roar,2,1,1,1-0,2018-19_au1.txt
17.00,Central Coast Mariners,Adelaide United,0,3,2,0-2,2018-19_au1.txt
19.50,Melbourne City FC,Wellington Phoenix,2,0,1,1-0,2018-19_au1.txt
17.35,Western Sydney Wanderers,Brisbane Roar,2,2,X,2-1,2018-19_au1.txt
19.50,Newcastle United Jets,Sydney FC,1,1,X,0-1,2018-19_au1.txt
17.00,Adelaide United,Perth Glory,0,2,2,0-0,2018-19_au1.txt
19.00,Melbourne Victory,Central Coast Mariners,4,1,1,3-0,2018-19_au1.txt
19.50,Western Sydney Wanderers,Newcastle United Jets,0,2,2,0-1,2018-19_au1.txt
17.35,Wellington Phoenix,Adelaide United,1,3,2,1-1,2018-19_au1.txt
19.50,Brisbane Roar,Melbourne City FC,2,0,1,1-0,2018-19_au1.txt
17.00,Sydney FC,Melbourne Victory,1,2,2,1-1,2018-19_au1.txt
19.00,Perth Glory,Central Coast Mariners,3,2,1,1-1,2018-19_au1.txt
19.50,Adelaide United,Brisbane Roar,2,1,1,1-0,2018-19_au1.txt
17.35,Central Coast Mariners,Sydney FC,1,2,2,1-1,2018-19_au1.txt
19.50,Melbourne Victory,Western Sydney Wanderers,4,0,1,3-0,2018-19_au1.txt
17.00,Wellington Phoenix,Perth Glory,1,1,X,1-0,2018-19_au1.txt
19.00,Melbourne City FC,Newcastle United Jets,3,0,1,2-0,2018-19_au1.txt
19.50,Western Sydney Wanderers,Central Coast Mariners,2,0,1,1-0,2018-19_au1.txt
17.35,Sydney FC,Wellington Phoenix,1,3,2,0-3,2018-19_au1.txt
19.50,Melbourne Victory,Adelaide United,2,0,1,0-0,2018-19_au1.txt
22.00,Perth Glory,Melbourne City FC,1,0,1,1-0,2018-19_au1.txt
17.00,Newcastle United Jets,Brisbane Roar,2,0,1,1-0,2018-19_au1.txt
