time,home_team,away_team,home_score,away_score,result,ht_score,source_file
,van PFK,Turan Tovuz,0,3,2,0-0,2023-24_az1.txt
,bail FK,Sumgayit FK,1,4,2,0-1,2023-24_az1.txt
,FK,Zira FK,0,1,2,0-0,2023-24_az1.txt
17.00,Kapaz PFK,Neftçi PFK,1,0,1,1-0,2023-24_az1.txt
20.00,Sabah FK,Gabala FK,5,0,1,3-0,2023-24_az1.txt
,van PFK,Gabala FK,2,0,1,1-0,2023-24_az1.txt
21.00,Zira FK,Kapaz PFK,1,0,1,0-0,2023-24_az1.txt
,FK,Turan Tovuz,3,0,1,1-0,2023-24_az1.txt
18.30,Sumgayit FK,Sabah FK,1,0,1,1-0,2023-24_az1.txt
17.00,Kapaz PFK,Turan Tovuz,0,2,2,0-2,2023-24_az1.txt
18.00,Gabala FK,Sumgayit FK,1,2,2,0-2,2023-24_az1.txt
,bail FK,Zira FK,1,2,2,1-1,2023-24_az1.txt
20.00,Sabah FK,Neftçi PFK,1,1,X,1-0,2023-24_az1.txt
,van PFK,Sumgayit FK,1,1,X,0-0,2023-24_az1.txt
19.30,Zira FK,Sabah FK,1,0,1,1-0,2023-24_az1.txt
18.30,Neftçi PFK,Gabala FK,2,0,1,1-0,2023-24_az1.txt
,FK,Kapaz PFK,1,1,X,1-0,2023-24_az1.txt
19.00,Sabah FK,Turan Tovuz,0,3,2,0-1,2023-24_az1.txt
18.00,Gabala FK,Zira FK,1,0,1,1-0,2023-24_az1.txt
20.30,Sumgayit FK,Neftçi PFK,0,1,2,0-0,2023-24_az1.txt
17.00,Zira FK,Sumgayit FK,1,0,1,1-0,2023-24_az1.txt
,van PFK,Neftçi PFK,1,0,1,0-0,2023-24_az1.txt
16.30,Turan Tovuz,Gabala FK,2,2,X,0-0,2023-24_az1.txt
,FK,Sabah FK,2,0,1,0-0,2023-24_az1.txt
18.00,Sumgayit FK,Turan Tovuz,0,0,X,,2023-24_az1.txt
20.30,Zira FK,Neftçi PFK,1,1,X,1-1,2023-24_az1.txt
17.00,Sabah FK,Kapaz PFK,2,2,X,1-1,2023-24_az1.txt
,FK,Sumgayit FK,5,0,1,4-0,2023-24_az1.txt
16.00,Turan Tovuz,Neftçi PFK,0,1,2,0-0,2023-24_az1.txt
,bail FK,Sabah FK,2,2,X,1-1,2023-24_az1.txt
16.00,Kapaz PFK,Gabala FK,0,1,2,0-0,2023-24_az1.txt
,van PFK,Zira FK,1,0,1,0-0,2023-24_az1.txt
18.00,Zira FK,Turan Tovuz,2,1,1,1-0,2023-24_az1.txt
16.30,Sumgayit FK,Kapaz PFK,1,0,1,0-0,2023-24_az1.txt
,bail FK,Neftçi PFK,2,4,2,1-2,2023-24_az1.txt
15.00,Kapaz PFK,Zira FK,0,0,X,,2023-24_az1.txt
18.00,Sabah FK,Sumgayit FK,3,1,1,0-1,2023-24_az1.txt
19.00,Turan Tovuz,Kapaz PFK,4,0,1,1-0,2023-24_az1.txt
16.00,Sumgayit FK,Gabala FK,0,0,X,,2023-24_az1.txt
18.30,Neftçi PFK,Sabah FK,0,1,2,0-0,2023-24_az1.txt
,bail FK,Turan Tovuz,2,1,1,0-1,2023-24_az1.txt
,FK,Kapaz PFK,7,1,1,5-1,2023-24_az1.txt
16.00,Gabala FK,Neftçi PFK,0,2,2,0-0,2023-24_az1.txt
18.30,Sabah FK,Zira FK,0,1,2,0-0,2023-24_az1.txt
,van PFK,Kapaz PFK,0,1,2,0-0,2023-24_az1.txt
16.30,Neftçi PFK,Sumgayit FK,1,2,2,1-0,2023-24_az1.txt
19.00,Turan Tovuz,Sabah FK,2,3,2,2-3,2023-24_az1.txt
16.30,Zira FK,Gabala FK,1,0,1,0-0,2023-24_az1.txt
,bail FK,Kapaz PFK,0,0,X,,2023-24_az1.txt
16.00,Gabala FK,Turan Tovuz,4,0,1,1-0,2023-24_az1.txt
18.00,Sumgayit FK,Zira FK,0,0,X,,2023-24_az1.txt
18.30,Turan Tovuz,Sumgayit FK,2,2,X,0-2,2023-24_az1.txt
15.00,Kapaz PFK,Sabah FK,0,2,2,0-2,2023-24_az1.txt
17.00,Neftçi PFK,Zira FK,1,0,1,0-0,2023-24_az1.txt
,FK,Gabala FK,3,0,1,1-0,2023-24_az1.txt
15.00,Gabala FK,Kapaz PFK,0,3,2,0-1,2023-24_az1.txt
18.00,Neftçi PFK,Turan Tovuz,3,2,1,1-1,2023-24_az1.txt
15.30,Kapaz PFK,Sumgayit FK,1,1,X,1-1,2023-24_az1.txt
,bail FK,Gabala FK,3,0,1,1-0,2023-24_az1.txt
