home_team,away_team,home_score,away_score,result,city,country,source_file
Romania,Yugoslavia,2,1,1,Bucharest,Romania,1929_balkan_cup.txt
Greece,Yugoslavia,2,1,1,Athens,Greece,1930_balkan_cup.txt
Romania,Greece,8,1,1,Bucharest,Romania,1930_balkan_cup.txt
Bulgaria,Romania,5,3,1,Sofia,Bulgaria,1930_balkan_cup.txt
Bulgaria,Yugoslavia,0,3,2,Sofia,Bulgaria,1930_balkan_cup.txt
Greece,Bulgaria,6,1,1,Athens,Greece,1930_balkan_cup.txt
Yugoslavia,Greece,4,1,1,Belgrade,Yugoslavia,1931_balkan_cup.txt
Yugoslavia,Bulgaria,1,0,1,Belgrade,Yugoslavia,1931_balkan_cup.txt
Romania,Bulgaria,5,2,1,Bucharest,Romania,1931_balkan_cup.txt
Yugoslavia,Romania,2,4,2,Zagreb,Yugoslavia,1931_balkan_cup.txt
Bulgaria,Turkey,5,1,1,Sofia,Bulgaria,1931_balkan_cup.txt
Turkey,Yugoslavia,2,0,1,Sofia,Bulgaria,1931_balkan_cup.txt
Bulgaria,Yugoslavia,3,2,1,Sofia,Bulgaria,1931_balkan_cup.txt
Bulgaria,Greece,2,1,1,Sofia,Bulgaria,1931_balkan_cup.txt
Greece,Romania,2,4,2,Athens,Greece,1931_balkan_cup.txt
Bulgaria,Romania,2,0,1,Belgrade,Yugoslavia,1932_balkan_cup.txt
Yugoslavia,Greece,7,1,1,Belgrade,Yugoslavia,1932_balkan_cup.txt
Greece,Romania,0,3,2,Belgrade,Yugoslavia,1932_balkan_cup.txt
Yugoslavia,Bulgaria,2,3,2,Belgrade,Yugoslavia,1932_balkan_cup.txt
Bulgaria,Greece,2,0,1,Belgrade,Yugoslavia,1932_balkan_cup.txt
Yugoslavia,Romania,3,1,1,Belgrade,Yugoslavia,1932_balkan_cup.txt
Greece,Yugoslavia,3,5,2,Bucharest,Romania,1933_balkan_cup.txt
Romania,Bulgaria,7,0,1,Bucharest,Romania,1933_balkan_cup.txt
Bulgaria,Yugoslavia,0,4,2,Bucharest,Romania,1933_balkan_cup.txt
Bulgaria,Greece,2,0,1,Bucharest,Romania,1933_balkan_cup.txt
Romania,Yugoslavia,5,0,1,Bucharest,Romania,1933_balkan_cup.txt
Greece,Yugoslavia,2,1,1,Athens,Greece,1934_balkan_cup.txt
Bulgaria,Yugoslavia,3,4,2,Athens,Greece,1934_balkan_cup.txt
Greece,Romania,2,2,X,Athens,Greece,1934_balkan_cup.txt
Bulgaria,Romania,2,3,2,Athens,Greece,1934_balkan_cup.txt
Greece,Bulgaria,1,2,2,Athens,Greece,1935_balkan_cup.txt
Romania,Yugoslavia,0,4,2,Athens,Greece,1935_balkan_cup.txt
Bulgaria,Greece,5,2,1,Sofia,Bulgaria,1935_balkan_cup.txt
Romania,Yugoslavia,0,2,2,Sofia,Bulgaria,1935_balkan_cup.txt
Bulgaria,Romania,4,0,1,Sofia,Bulgaria,1935_balkan_cup.txt
Greece,Yugoslavia,1,6,2,Sofia,Bulgaria,1935_balkan_cup.txt
Bulgaria,Yugoslavia,3,3,X,Sofia,Bulgaria,1935_balkan_cup.txt
Greece,Romania,2,2,X,Sofia,Bulgaria,1935_balkan_cup.txt
Romania,Greece,5,2,1,Bucharest,Romania,1936_balkan_cup.txt
Bulgaria,Greece,5,4,1,Bucharest,Romania,1936_balkan_cup.txt
Romania,Bulgaria,4,1,1,Bucharest,Romania,1936_balkan_cup.txt
Albania,Yugoslavia,2,3,2,Tirana,Albania,1946_balkan_cup.txt
Bulgaria,Romania,2,2,X,Tirana,Albania,1946_balkan_cup.txt
Albania,Bulgaria,3,1,1,Tirana,Albania,1946_balkan_cup.txt
Romania,Yugoslavia,2,1,1,Tirana,Albania,1946_balkan_cup.txt
Albania,Romania,1,0,1,Tirana,Albania,1946_balkan_cup.txt
Albania,Romania,0,4,2,Tirana,Albania,1947_balkan_cup.txt
Bulgaria,Albania,2,0,1,Sofia,Bulgaria,1947_balkan_cup.txt
Romania,Yugoslavia,1,3,2,Bucharest,Romania,1947_balkan_cup.txt
Yugoslavia,Hungary,2,3,2,Belgrade,Yugoslavia,1947_balkan_cup.txt
Bulgaria,Romania,2,3,2,Sofia,Bulgaria,1947_balkan_cup.txt
Hungary,Bulgaria,9,0,1,Budapest,Hungary,1947_balkan_cup.txt
Hungary,Albania,3,0,1,Budapest,Hungary,1947_balkan_cup.txt
Albania,Yugoslavia,2,4,2,Tirana,Albania,1947_balkan_cup.txt
Romania,Hungary,0,3,2,Bucharest,Romania,1947_balkan_cup.txt
Yugoslavia,Bulgaria,2,1,1,Zagreb,Yugoslavia,1947_balkan_cup.txt
Bulgaria,Poland,1,1,X,Sofia,Bulgaria,1948_balkan_cup.txt
Poland,Czechoslovakia,3,1,1,Warsaw,Poland,1948_balkan_cup.txt
Romania,Albania,0,1,2,Bucharest,Romania,1948_balkan_cup.txt
Albania,Hungary,0,0,X,Tirana,Albania,1948_balkan_cup.txt
Hungary,Romania,9,0,1,Budapest,Hungary,1948_balkan_cup.txt
Romania,Bulgaria,3,2,1,Bucharest,Romania,1948_balkan_cup.txt
Yugoslavia,Albania,0,0,X,Belgrade,Yugoslavia,1948_balkan_cup.txt
Bulgaria,Yugoslavia,1,3,2,Sofia,Bulgaria,1948_balkan_cup.txt
