home_team,away_team,home_score,away_score,result,city,country,source_file
Latvia,Lithuania,3,0,1,Tallinn,Estonia,1928_baltic_cup.txt
Estonia,Lithuania,6,0,1,Tallinn,Estonia,1928_baltic_cup.txt
Estonia,Latvia,0,1,2,Tallinn,Estonia,1928_baltic_cup.txt
Latvia,Lithuania,3,1,1,Riga,Latvia,1929_baltic_cup.txt
Latvia,Estonia,2,2,X,Riga,Latvia,1929_baltic_cup.txt
Estonia,Lithuania,5,2,1,Riga,Latvia,1929_baltic_cup.txt
Lithuania,Estonia,2,1,1,Kaunas,Lithuania,1930_baltic_cup.txt
Latvia,Estonia,3,2,1,Kaunas,Lithuania,1930_baltic_cup.txt
Lithuania,Latvia,3,3,X,Kaunas,Lithuania,1930_baltic_cup.txt
Estonia,Lithuania,2,0,1,Tallinn,Estonia,1931_baltic_cup.txt
Latvia,Lithuania,1,0,1,Tallinn,Estonia,1931_baltic_cup.txt
Estonia,Latvia,3,1,1,Tallinn,Estonia,1931_baltic_cup.txt
Latvia,Lithuania,4,1,1,Riga,Latvia,1932_baltic_cup.txt
Estonia,Lithuania,1,2,2,Riga,Latvia,1932_baltic_cup.txt
Latvia,Estonia,1,0,1,Riga,Latvia,1932_baltic_cup.txt
Lithuania,Estonia,1,1,X,Kaunas,Lithuania,1933_baltic_cup.txt
Estonia,Latvia,0,1,2,Kaunas,Lithuania,1933_baltic_cup.txt
Lithuania,Latvia,2,2,X,Kaunas,Lithuania,1933_baltic_cup.txt
Estonia,Lithuania,1,2,2,Tallinn,Estonia,1935_baltic_cup.txt
Lithuania,Latvia,2,2,X,Tallinn,Estonia,1935_baltic_cup.txt
Estonia,Latvia,1,1,X,Tallinn,Estonia,1935_baltic_cup.txt
Latvia,Lithuania,2,1,1,Riga,Latvia,1936_baltic_cup.txt
Estonia,Lithuania,2,1,1,Riga,Latvia,1936_baltic_cup.txt
Latvia,Estonia,2,1,1,Riga,Latvia,1936_baltic_cup.txt
Latvia,Estonia,1,1,X,Kaunas,Lithuania,1937_baltic_cup.txt
Lithuania,Estonia,0,4,2,Kaunas,Lithuania,1937_baltic_cup.txt
Estonia,Latvia,0,2,2,Kaunas,Lithuania,1937_baltic_cup.txt
Estonia,Lithuania,3,1,1,Tallinn,Estonia,1938_baltic_cup.txt
Latvia,Lithuania,1,1,X,Tallinn,Estonia,1938_baltic_cup.txt
Estonia,Latvia,1,1,X,Tallinn,Estonia,1938_baltic_cup.txt
Latvia,Lithuania,1,0,1,Riga,Soviet Union,1940_baltic_cup.txt
Estonia,Lithuania,1,1,X,Riga,Soviet Union,1940_baltic_cup.txt
Latvia,Estonia,2,2,X,Riga,Soviet Union,1940_baltic_cup.txt
Latvia,Lithuania,0,1,2,Riga,Soviet Union,1948_baltic_cup.txt
Estonia,Lithuania,1,2,2,Riga,Soviet Union,1948_baltic_cup.txt
Latvia,Estonia,1,1,X,Riga,Soviet Union,1948_baltic_cup.txt
Lithuania,Estonia,2,1,1,Vilnius,Soviet Union,1949_baltic_cup.txt
Latvia,Estonia,2,1,1,Vilnius,Soviet Union,1949_baltic_cup.txt
Lithuania,Latvia,1,0,1,Vilnius,Soviet Union,1949_baltic_cup.txt
Lithuania,Estonia,4,1,1,Klaipėda,Lithuania,1991_baltic_cup.txt
Estonia,Latvia,0,2,2,Klaipėda,Lithuania,1991_baltic_cup.txt
Lithuania,Latvia,1,1,X,Kretinga,Lithuania,1991_baltic_cup.txt
