time,home_team,away_team,home_score,away_score,result,ht_score,source_file
18.00,FK Minsk,FK Slaviya Mozyr,2,0,1,1-0,2023_by1.txt
14.00,Shakhter Soligorsk,Naftan Novopolotsk,2,1,1,1-1,2023_by1.txt
16.00,FK Gomel,BATE Borisov,0,2,2,0-1,2023_by1.txt
18.00,Dinamo Minsk,FK Isloch Minsk,3,0,1,1-0,2023_by1.txt
20.00,Dinamo Brest,Torpedo-BelAZ Zhodino,0,1,2,0-0,2023_by1.txt
14.00,Energetik-BGU Minsk,FK Slutsk,1,0,1,1-0,2023_by1.txt
16.00,FK Smorgon,Belshina Bobruisk,1,0,1,0-0,2023_by1.txt
14.00,Naftan Novopolotsk,FK Gomel,1,1,X,1-0,2023_by1.txt
16.00,Torpedo-BelAZ Zhodino,FK Smorgon,2,1,1,1-0,2023_by1.txt
18.00,FK Isloch Minsk,Dinamo Brest,3,0,1,1-0,2023_by1.txt
14.00,FK Slutsk,FK Minsk,1,1,X,0-1,2023_by1.txt
16.00,Neman Grodno,Shakhter Soligorsk,0,1,2,0-0,2023_by1.txt
18.00,FK Slaviya Mozyr,Dinamo Minsk,0,2,2,0-1,2023_by1.txt
20.00,BATE Borisov,Energetik-BGU Minsk,1,1,X,0-1,2023_by1.txt
17.30,FK Smorgon,FK Isloch Minsk,0,4,2,0-3,2023_by1.txt
15.00,FK Minsk,BATE Borisov,2,2,X,0-1,2023_by1.txt
17.00,Belshina Bobruisk,Torpedo-BelAZ Zhodino,0,0,X,,2023_by1.txt
19.00,Dinamo Minsk,FK Slutsk,3,1,1,0-0,2023_by1.txt
14.00,Dinamo Brest,FK Slaviya Mozyr,0,1,2,0-1,2023_by1.txt
15.45,Energetik-BGU Minsk,Naftan Novopolotsk,0,1,2,0-0,2023_by1.txt
17.30,FK Gomel,Neman Grodno,3,3,X,1-2,2023_by1.txt
15.00,Naftan Novopolotsk,FK Minsk,0,0,X,,2023_by1.txt
17.00,FK Isloch Minsk,Belshina Bobruisk,2,0,1,1-0,2023_by1.txt
19.00,FK Slaviya Mozyr,FK Smorgon,4,1,1,1-0,2023_by1.txt
14.00,FK Slutsk,Dinamo Brest,2,0,1,1-0,2023_by1.txt
16.00,Shakhter Soligorsk,FK Gomel,1,1,X,1-0,2023_by1.txt
18.00,BATE Borisov,Dinamo Minsk,1,3,2,0-0,2023_by1.txt
20.00,Neman Grodno,Energetik-BGU Minsk,2,0,1,0-0,2023_by1.txt
17.30,FK Smorgon,FK Slutsk,3,2,1,1-1,2023_by1.txt
14.00,Torpedo-BelAZ Zhodino,FK Isloch Minsk,2,1,1,1-1,2023_by1.txt
17.00,Belshina Bobruisk,FK Slaviya Mozyr,1,1,X,0-0,2023_by1.txt
19.00,Dinamo Minsk,Naftan Novopolotsk,3,1,1,1-0,2023_by1.txt
14.00,FK Minsk,Neman Grodno,0,1,2,0-0,2023_by1.txt
17.00,Energetik-BGU Minsk,Shakhter Soligorsk,1,4,2,0-2,2023_by1.txt
19.00,Dinamo Brest,BATE Borisov,1,2,2,1-0,2023_by1.txt
17.30,FK Slutsk,Belshina Bobruisk,2,1,1,1-0,2023_by1.txt
14.00,Neman Grodno,Dinamo Minsk,1,0,1,0-0,2023_by1.txt
17.00,FK Slaviya Mozyr,Torpedo-BelAZ Zhodino,0,1,2,0-1,2023_by1.txt
19.00,BATE Borisov,FK Smorgon,2,0,1,2-0,2023_by1.txt
14.00,FK Gomel,Energetik-BGU Minsk,1,0,1,1-0,2023_by1.txt
16.00,Naftan Novopolotsk,Dinamo Brest,0,3,2,0-1,2023_by1.txt
18.30,Shakhter Soligorsk,FK Minsk,1,0,1,1-0,2023_by1.txt
18.00,FK Isloch Minsk,FK Slaviya Mozyr,0,1,2,0-1,2023_by1.txt
20.00,Torpedo-BelAZ Zhodino,FK Slutsk,1,1,X,0-1,2023_by1.txt
14.00,Dinamo Brest,Neman Grodno,1,3,2,1-3,2023_by1.txt
16.00,Belshina Bobruisk,BATE Borisov,0,3,2,0-2,2023_by1.txt
18.00,FK Minsk,FK Gomel,2,2,X,2-0,2023_by1.txt
16.00,Dinamo Minsk,Shakhter Soligorsk,1,0,1,1-0,2023_by1.txt
18.00,FK Smorgon,Naftan Novopolotsk,1,0,1,0-0,2023_by1.txt
18.00,FK Slutsk,FK Isloch Minsk,1,1,X,0-0,2023_by1.txt
17.00,Energetik-BGU Minsk,FK Minsk,1,0,1,0-0,2023_by1.txt
19.00,FK Gomel,Dinamo Minsk,0,4,2,0-2,2023_by1.txt
21.00,Shakhter Soligorsk,Dinamo Brest,2,0,1,1-0,2023_by1.txt
14.00,Naftan Novopolotsk,Belshina Bobruisk,0,1,2,0-0,2023_by1.txt
16.00,Neman Grodno,FK Smorgon,3,1,1,1-0,2023_by1.txt
18.00,BATE Borisov,Torpedo-BelAZ Zhodino,1,2,2,1-1,2023_by1.txt
19.10,FK Slaviya Mozyr,FK Slutsk,1,0,1,1-0,2023_by1.txt
15.00,Belshina Bobruisk,Neman Grodno,0,2,2,0-0,2023_by1.txt
17.00,FK Isloch Minsk,BATE Borisov,1,1,X,0-0,2023_by1.txt
19.00,Torpedo-BelAZ Zhodino,Naftan Novopolotsk,5,0,1,1-0,2023_by1.txt
15.00,FK Smorgon,Shakhter Soligorsk,1,3,2,1-2,2023_by1.txt
17.00,Dinamo Brest,FK Gomel,3,3,X,2-2,2023_by1.txt
19.00,Dinamo Minsk,Energetik-BGU Minsk,2,0,1,0-0,2023_by1.txt
18.00,Neman Grodno,Torpedo-BelAZ Zhodino,0,0,X,,2023_by1.txt
20.00,BATE Borisov,FK Slaviya Mozyr,1,1,X,1-0,2023_by1.txt
18.00,FK Gomel,FK Smorgon,2,0,1,0-0,2023_by1.txt
20.00,Shakhter Soligorsk,Belshina Bobruisk,7,3,1,4-2,2023_by1.txt
16.00,Naftan Novopolotsk,FK Isloch Minsk,0,1,2,0-0,2023_by1.txt
18.00,Energetik-BGU Minsk,Dinamo Brest,1,0,1,0-0,2023_by1.txt
20.00,FK Minsk,Dinamo Minsk,1,1,X,0-0,2023_by1.txt
18.20,FK Slaviya Mozyr,Naftan Novopolotsk,1,0,1,0-0,2023_by1.txt
20.30,Dinamo Brest,FK Minsk,1,0,1,1-0,2023_by1.txt
15.00,FK Gomel,Belshina Bobruisk,2,0,1,2-0,2023_by1.txt
18.00,FK Smorgon,Energetik-BGU Minsk,1,0,1,1-0,2023_by1.txt
20.00,Torpedo-BelAZ Zhodino,Shakhter Soligorsk,1,1,X,0-1,2023_by1.txt
16.00,FK Isloch Minsk,Neman Grodno,0,3,2,0-1,2023_by1.txt
18.00,FK Slutsk,BATE Borisov,1,0,1,1-0,2023_by1.txt
18.00,Shakhter Soligorsk,FK Isloch Minsk,3,0,1,2-0,2023_by1.txt
20.00,Dinamo Minsk,Dinamo Brest,4,1,1,2-0,2023_by1.txt
16.00,FK Slutsk,Naftan Novopolotsk,3,1,1,2-1,2023_by1.txt
18.00,FK Minsk,FK Smorgon,2,1,1,2-0,2023_by1.txt
20.00,Neman Grodno,FK Slaviya Mozyr,1,0,1,0-0,2023_by1.txt
17.30,Energetik-BGU Minsk,Belshina Bobruisk,0,0,X,,2023_by1.txt
19.30,FK Gomel,Torpedo-BelAZ Zhodino,0,3,2,0-0,2023_by1.txt
