time,home_team,away_team,home_score,away_score,result,ht_score,source_file
20.30,Standard Liège,KAA Gent,3,2,1,1-1,2018-19_be1.txt
18.00,KV Kortrijk,RSC Anderlecht,1,4,2,0-2,2018-19_be1.txt
20.00,SV Zulte Waregem,Waasland-Beveren,2,2,X,1-0,2018-19_be1.txt
,Sint-Truidense VV,Cercle Brugge,0,0,X,,2018-19_be1.txt
20.30,KV Oostende,Royal Excel Mouscron,2,1,1,0-1,2018-19_be1.txt
14.30,Club Brugge KV,KAS Eupen,5,2,1,3-0,2018-19_be1.txt
18.00,Sporting Charleroi,Royal Antwerp FC,0,1,2,0-1,2018-19_be1.txt
20.00,Sporting Lokeren,KRC Genk,0,4,2,0-2,2018-19_be1.txt
20.30,Waasland-Beveren,Standard Liège,0,0,X,,2018-19_be1.txt
18.00,KAS Eupen,Sporting Charleroi,1,4,2,1-2,2018-19_be1.txt
20.00,Cercle Brugge,Sporting Lokeren,3,2,1,2-1,2018-19_be1.txt
,Royal Antwerp FC,KV Kortrijk,0,0,X,,2018-19_be1.txt
20.30,KAA Gent,SV Zulte Waregem,1,1,X,0-0,2018-19_be1.txt
14.30,RSC Anderlecht,KV Oostende,5,2,1,0-0,2018-19_be1.txt
18.00,KRC Genk,Sint-Truidense VV,1,1,X,0-0,2018-19_be1.txt
20.00,Royal Excel Mouscron,Club Brugge KV,0,1,2,0-0,2018-19_be1.txt
20.30,Club Brugge KV,KV Kortrijk,3,0,1,2-0,2018-19_be1.txt
18.00,Standard Liège,Cercle Brugge,0,0,X,,2018-19_be1.txt
20.00,SV Zulte Waregem,KAS Eupen,4,0,1,2-0,2018-19_be1.txt
,Sint-Truidense VV,Sporting Lokeren,1,1,X,0-0,2018-19_be1.txt
20.30,Royal Excel Mouscron,Royal Antwerp FC,0,1,2,0-0,2018-19_be1.txt
14.30,KV Oostende,KRC Genk,0,2,2,0-0,2018-19_be1.txt
18.00,Sporting Charleroi,RSC Anderlecht,1,2,2,1-1,2018-19_be1.txt
20.00,KAA Gent,Waasland-Beveren,4,1,1,1-0,2018-19_be1.txt
20.30,RSC Anderlecht,Royal Excel Mouscron,2,0,1,1-0,2018-19_be1.txt
18.00,Sporting Lokeren,Standard Liège,0,3,2,0-0,2018-19_be1.txt
20.00,Cercle Brugge,SV Zulte Waregem,3,1,1,1-0,2018-19_be1.txt
,Waasland-Beveren,Sint-Truidense VV,2,2,X,1-1,2018-19_be1.txt
20.30,KV Kortrijk,KV Oostende,1,2,2,0-1,2018-19_be1.txt
14.30,Royal Antwerp FC,Club Brugge KV,1,1,X,0-0,2018-19_be1.txt
18.00,KRC Genk,Sporting Charleroi,3,1,1,1-1,2018-19_be1.txt
20.00,KAS Eupen,KAA Gent,2,3,2,1-2,2018-19_be1.txt
20.30,KV Oostende,SV Zulte Waregem,3,1,1,1-1,2018-19_be1.txt
18.00,Standard Liège,Sint-Truidense VV,3,2,1,1-1,2018-19_be1.txt
