time,home_team,away_team,home_score,away_score,result,ht_score,source_file
,Mostar,Zvijezda 09 Bijeljina,5,0,1,3-0,2023-24_ba1.txt
,K Gabela,FK Tuzla City,1,4,2,1-1,2023-24_ba1.txt
20.30,FK Sarajevo,Sloga Doboj,1,2,2,1-1,2023-24_ba1.txt
,ar Sarajevo,Igman Konjic,1,0,1,0-0,2023-24_ba1.txt
,iroki Brijeg,Borac Banja Luka,0,2,2,0-2,2023-24_ba1.txt
17.00,Zvijezda 09 Bijeljina,Igman Konjic,3,4,2,1-3,2023-24_ba1.txt
15.00,FK Tuzla City,Zrinjski Mostar,2,4,2,0-1,2023-24_ba1.txt
19.00,Borac Banja Luka,FK Sarajevo,1,1,X,0-0,2023-24_ba1.txt
,K Gabela,Zvijezda 09 Bijeljina,2,0,1,1-0,2023-24_ba1.txt
,Igman Konjic,Sloga Doboj,1,0,1,0-0,2023-24_ba1.txt
,ar Sarajevo,Borac Banja Luka,2,0,1,0-0,2023-24_ba1.txt
,iroki Brijeg,FK Tuzla City,1,0,1,1-0,2023-24_ba1.txt
17.00,Zvijezda 09 Bijeljina,Sloga Doboj,1,0,1,0-0,2023-24_ba1.txt
19.30,Borac Banja Luka,Igman Konjic,4,1,1,2-1,2023-24_ba1.txt
17.00,FK Tuzla City,FK Sarajevo,1,2,2,0-2,2023-24_ba1.txt
20.00,Borac Banja Luka,Sloga Doboj,5,0,1,1-0,2023-24_ba1.txt
,ar Sarajevo,FK Tuzla City,3,1,1,1-0,2023-24_ba1.txt
19.45,Zrinjski Mostar,Zvijezda 09 Bijeljina,5,3,1,3-2,2023-24_ba1.txt
19.00,Borac Banja Luka,Zvijezda 09 Bijeljina,4,2,1,1-2,2023-24_ba1.txt
,je,Sloga Doboj,4,0,1,2-0,2023-24_ba1.txt
,K Gabela,FK Sarajevo,2,2,X,1-0,2023-24_ba1.txt
19.45,FK Tuzla City,Igman Konjic,3,1,1,1-1,2023-24_ba1.txt
16.00,Sloga Doboj,FK Tuzla City,2,1,1,1-1,2023-24_ba1.txt
20.45,FK Sarajevo,Zrinjski Mostar,1,0,1,0-0,2023-24_ba1.txt
,iroki Brijeg,Zvijezda 09 Bijeljina,2,1,1,2-0,2023-24_ba1.txt
,iroki Brijeg,FK Sarajevo,1,0,1,0-0,2023-24_ba1.txt
16.00,FK Tuzla City,Borac Banja Luka,1,2,2,0-2,2023-24_ba1.txt
,K Gabela,Igman Konjic,4,0,1,1-0,2023-24_ba1.txt
,Mostar,Sloga Doboj,4,2,1,2-1,2023-24_ba1.txt
,je,FK Tuzla City,1,1,X,1-0,2023-24_ba1.txt
20.45,FK Sarajevo,Zvijezda 09 Bijeljina,2,0,1,2-0,2023-24_ba1.txt
15.00,Igman Konjic,Zrinjski Mostar,0,2,2,0-2,2023-24_ba1.txt
15.00,Zvijezda 09 Bijeljina,FK Tuzla City,1,1,X,0-0,2023-24_ba1.txt
,K Gabela,Borac Banja Luka,0,3,2,0-2,2023-24_ba1.txt
,iroki Brijeg,Igman Konjic,2,0,1,1-0,2023-24_ba1.txt
18.00,Zrinjski Mostar,Sloga Doboj,2,0,1,1-0,2023-24_ba1.txt
,ar Sarajevo,Zvijezda 09 Bijeljina,1,0,1,0-0,2023-24_ba1.txt
13.00,Igman Konjic,FK Sarajevo,1,2,2,1-1,2023-24_ba1.txt
19.45,Borac Banja Luka,Zrinjski Mostar,0,0,X,,2023-24_ba1.txt
13.30,Sloga Doboj,FK Sarajevo,3,0,1,1-0,2023-24_ba1.txt
,je,Zrinjski Mostar,2,2,X,2-2,2023-24_ba1.txt
13.00,Igman Konjic,Zvijezda 09 Bijeljina,3,1,1,2-1,2023-24_ba1.txt
,ar Sarajevo,Sloga Doboj,1,0,1,0-0,2023-24_ba1.txt
,Zrinjski Mostar,FK Tuzla City,3,1,1,1-0,2023-24_ba1.txt
