home_team,away_team,home_score,away_score,result,city,country,source_file
Northern Ireland,Scotland,0,5,2,Belfast,Ireland,1884_british_home_championship.txt
Wales,Northern Ireland,6,0,1,Wrexham,Wales,1884_british_home_championship.txt
Northern Ireland,England,1,8,2,Belfast,Ireland,1884_british_home_championship.txt
Scotland,England,1,0,1,Glasgow,Scotland,1884_british_home_championship.txt
Wales,England,0,4,2,Wrexham,Wales,1884_british_home_championship.txt
Scotland,Wales,4,1,1,Glasgow,Scotland,1884_british_home_championship.txt
England,Northern Ireland,4,0,1,Manchester,England,1885_british_home_championship.txt
England,Wales,1,1,X,Blackburn,England,1885_british_home_championship.txt
Scotland,Northern Ireland,8,2,1,Glasgow,Scotland,1885_british_home_championship.txt
England,Scotland,1,1,X,London,England,1885_british_home_championship.txt
Wales,Scotland,1,8,2,Wrexham,Wales,1885_british_home_championship.txt
Northern Ireland,Wales,2,8,2,Belfast,Ireland,1885_british_home_championship.txt
Wales,Northern Ireland,5,0,1,Wrexham,Wales,1886_british_home_championship.txt
Northern Ireland,England,1,6,2,Belfast,Ireland,1886_british_home_championship.txt
Northern Ireland,Scotland,2,7,2,Belfast,Ireland,1886_british_home_championship.txt
Scotland,England,1,1,X,Glasgow,Scotland,1886_british_home_championship.txt
Wales,England,1,3,2,Wrexham,Wales,1886_british_home_championship.txt
Scotland,Wales,4,1,1,Glasgow,Scotland,1886_british_home_championship.txt
England,Northern Ireland,7,0,1,Sheffield,England,1887_british_home_championship.txt
Scotland,Northern Ireland,4,1,1,Glasgow,Scotland,1887_british_home_championship.txt
England,Wales,4,0,1,London,England,1887_british_home_championship.txt
Northern Ireland,Wales,4,1,1,Belfast,Ireland,1887_british_home_championship.txt
England,Scotland,2,3,2,Blackburn,England,1887_british_home_championship.txt
Wales,Scotland,0,2,2,Wrexham,Wales,1887_british_home_championship.txt
England,Wales,5,1,1,Crewe,England,1888_british_home_championship.txt
Wales,Northern Ireland,11,0,1,Wrexham,Wales,1888_british_home_championship.txt
Scotland,Wales,5,1,1,Edinburgh,Scotland,1888_british_home_championship.txt
Scotland,England,0,5,2,Glasgow,Scotland,1888_british_home_championship.txt
Northern Ireland,Scotland,2,10,2,Belfast,Ireland,1888_british_home_championship.txt
Northern Ireland,England,1,5,2,Belfast,Ireland,1888_british_home_championship.txt
England,Wales,4,1,1,Stoke-on-Trent,England,1889_british_home_championship.txt
England,Northern Ireland,6,1,1,Liverpool,England,1889_british_home_championship.txt
Scotland,Northern Ireland,7,0,1,Glasgow,Scotland,1889_british_home_championship.txt
England,Scotland,2,3,2,London,England,1889_british_home_championship.txt
Wales,Scotland,0,0,X,Wrexham,Wales,1889_british_home_championship.txt
Northern Ireland,Wales,1,3,2,Belfast,Ireland,1889_british_home_championship.txt
Wales,Northern Ireland,5,2,1,Shrewsbury,England,1890_british_home_championship.txt
Northern Ireland,England,1,9,2,Belfast,Ireland,1890_british_home_championship.txt
Wales,England,1,3,2,Wrexham,Wales,1890_british_home_championship.txt
Scotland,Wales,5,0,1,Paisley,Scotland,1890_british_home_championship.txt
Northern Ireland,Scotland,1,4,2,Belfast,Ireland,1890_british_home_championship.txt
Scotland,England,1,1,X,Glasgow,Scotland,1890_british_home_championship.txt
Northern Ireland,Wales,7,2,1,Belfast,Ireland,1891_british_home_championship.txt
England,Wales,4,1,1,Sunderland,England,1891_british_home_championship.txt
England,Northern Ireland,6,1,1,Wolverhampton,England,1891_british_home_championship.txt
Wales,Scotland,3,4,2,Wrexham,Wales,1891_british_home_championship.txt
Scotland,Northern Ireland,2,1,1,Glasgow,Scotland,1891_british_home_championship.txt
England,Scotland,2,1,1,Blackburn,England,1891_british_home_championship.txt
Wales,Northern Ireland,1,1,X,Bangor,Wales,1892_british_home_championship.txt
Northern Ireland,England,0,2,2,Belfast,Ireland,1892_british_home_championship.txt
Wales,England,0,2,2,Wrexham,Wales,1892_british_home_championship.txt
Northern Ireland,Scotland,2,3,2,Belfast,Ireland,1892_british_home_championship.txt
Scotland,Wales,6,1,1,Edinburgh,Scotland,1892_british_home_championship.txt
Scotland,England,1,4,2,Glasgow,Scotland,1892_british_home_championship.txt
England,Northern Ireland,6,1,1,Birmingham,England,1893_british_home_championship.txt
England,Wales,6,0,1,Stoke-on-Trent,England,1893_british_home_championship.txt
Wales,Scotland,0,8,2,Wrexham,Wales,1893_british_home_championship.txt
Scotland,Northern Ireland,6,1,1,Glasgow,Scotland,1893_british_home_championship.txt
England,Scotland,5,2,1,Richmond,England,1893_british_home_championship.txt
Wales,Northern Ireland,4,1,1,Swansea,Wales,1894_british_home_championship.txt
Northern Ireland,England,2,2,X,Belfast,Ireland,1894_british_home_championship.txt
Wales,England,1,5,2,Wrexham,Wales,1894_british_home_championship.txt
Scotland,Wales,5,2,1,Kilmarnock,Scotland,1894_british_home_championship.txt
Northern Ireland,Scotland,1,2,2,Belfast,Ireland,1894_british_home_championship.txt
Scotland,England,2,2,X,Glasgow,Scotland,1894_british_home_championship.txt
England,Northern Ireland,9,0,1,Derby,England,1895_british_home_championship.txt
Northern Ireland,Wales,2,2,X,Belfast,Ireland,1895_british_home_championship.txt
England,Wales,1,1,X,London,England,1895_british_home_championship.txt
Wales,Scotland,2,2,X,Wrexham,Wales,1895_british_home_championship.txt
Scotland,Northern Ireland,3,1,1,Glasgow,Scotland,1895_british_home_championship.txt
England,Scotland,3,0,1,Liverpool,England,1895_british_home_championship.txt
Wales,Northern Ireland,6,1,1,Wrexham,Wales,1896_british_home_championship.txt
