time,home_team,away_team,home_score,away_score,result,ht_score,source_file
18.45,Pirin Blagoevgrad,PFC Beroe,1,2,2,1-1,2023-24_bg1.txt
21.00,FK Krumovgrad,PFC Ludogorets Razgrad,3,1,1,2-1,2023-24_bg1.txt
18.45,Levski Sofia,CSKA 1948 Sofia,1,2,2,1-1,2023-24_bg1.txt
21.00,Arda Kardzhali,Cherno More Varna,3,3,X,0-1,2023-24_bg1.txt
18.30,Lokomotiv Plovdiv,Botev Plovdiv,1,1,X,0-1,2023-24_bg1.txt
21.00,Hebar Pazardzhik,CSKA Sofia,0,0,X,,2023-24_bg1.txt
18.30,Lokomotiv Sofia,Botev Vratsa,1,0,1,0-0,2023-24_bg1.txt
20.45,Etar Veliko Tarnovo,Slavia Sofia,0,1,2,0-1,2023-24_bg1.txt
19.00,CSKA 1948 Sofia,Pirin Blagoevgrad,3,0,1,2-0,2023-24_bg1.txt
21.15,CSKA Sofia,FK Krumovgrad,1,0,1,1-0,2023-24_bg1.txt
19.15,Botev Plovdiv,Levski Sofia,1,3,2,0-0,2023-24_bg1.txt
21.30,PFC Ludogorets Razgrad,Etar Veliko Tarnovo,5,0,1,1-0,2023-24_bg1.txt
19.00,Cherno More Varna,Hebar Pazardzhik,1,0,1,1-0,2023-24_bg1.txt
21.15,Lokomotiv Sofia,Lokomotiv Plovdiv,2,4,2,1-1,2023-24_bg1.txt
19.00,Botev Vratsa,Slavia Sofia,2,0,1,0-0,2023-24_bg1.txt
21.15,PFC Beroe,Arda Kardzhali,1,0,1,1-0,2023-24_bg1.txt
21.15,FK Krumovgrad,Cherno More Varna,1,3,2,1-1,2023-24_bg1.txt
19.00,Hebar Pazardzhik,PFC Beroe,1,0,1,0-0,2023-24_bg1.txt
21.15,Pirin Blagoevgrad,Botev Plovdiv,0,0,X,,2023-24_bg1.txt
21.15,Levski Sofia,Lokomotiv Sofia,6,0,1,2-0,2023-24_bg1.txt
21.15,Lokomotiv Plovdiv,Botev Vratsa,4,0,1,2-0,2023-24_bg1.txt
17.00,Etar Veliko Tarnovo,CSKA Sofia,0,1,2,0-0,2023-24_bg1.txt
18.00,Slavia Sofia,PFC Ludogorets Razgrad,0,2,2,0-0,2023-24_bg1.txt
12.45,Arda Kardzhali,CSKA 1948 Sofia,0,3,2,0-2,2023-24_bg1.txt
