home_team,away_team,home_score,away_score,result,city,country,source_file
Uganda,Somalia,6,1,1,Kampala,Uganda,1973_cecafa_cup.txt
Kenya,Zanzibar,2,0,1,Kampala,Uganda,1973_cecafa_cup.txt
Somalia,Zambia,1,6,2,Kampala,Uganda,1973_cecafa_cup.txt
Tanzania,Zanzibar,1,0,1,Kampala,Uganda,1973_cecafa_cup.txt
Uganda,Zambia,1,1,X,Kampala,Uganda,1973_cecafa_cup.txt
Kenya,Tanzania,1,2,2,Kampala,Uganda,1973_cecafa_cup.txt
Uganda,Zambia,2,1,1,Kampala,Uganda,1973_cecafa_cup.txt
Uganda,Tanzania,2,1,1,Kampala,Uganda,1973_cecafa_cup.txt
Zanzibar,Somalia,2,1,1,Zanzibar,Tanzania,1974_cecafa_cup.txt
Zanzibar,Uganda,1,2,2,Zanzibar,Tanzania,1974_cecafa_cup.txt
Kenya,Zambia,2,3,2,Zanzibar,Tanzania,1974_cecafa_cup.txt
Somalia,Uganda,1,1,X,Zanzibar,Tanzania,1974_cecafa_cup.txt
Tanzania,Uganda,1,1,X,Zanzibar,Tanzania,1974_cecafa_cup.txt
Zambia,Kenya,1,2,2,Lusaka,Zambia,1975_cecafa_cup.txt
Malawi,Tanzania,3,1,1,Ndola,Zambia,1975_cecafa_cup.txt
Zambia,Uganda,0,1,2,Lusaka,Zambia,1975_cecafa_cup.txt
Malawi,Zanzibar,4,2,1,Kitwe,Zambia,1975_cecafa_cup.txt
Kenya,Uganda,1,1,X,Ndola,Zambia,1975_cecafa_cup.txt
Tanzania,Zanzibar,4,0,1,Mufulira,Zambia,1975_cecafa_cup.txt
Kenya,Tanzania,3,2,1,Lusaka,Zambia,1975_cecafa_cup.txt
Malawi,Uganda,2,1,1,Chingola,Zambia,1975_cecafa_cup.txt
Kenya,Malawi,2,2,X,Lusaka,Zambia   [Kenya wins on penalties],1975_cecafa_cup.txt
Zanzibar,Zambia,0,3,2,Zanzibar,Tanzania,1976_cecafa_cup.txt
Somalia,Uganda,0,2,2,Zanzibar,Tanzania,1976_cecafa_cup.txt
Tanzania,Kenya,1,1,X,Zanzibar,Tanzania,1976_cecafa_cup.txt
Tanzania,Malawi,1,1,X,Zanzibar,Tanzania,1976_cecafa_cup.txt
Somalia,Zambia,2,4,2,Zanzibar,Tanzania,1976_cecafa_cup.txt
Zanzibar,Uganda,0,1,2,Zanzibar,Tanzania,1976_cecafa_cup.txt
Kenya,Malawi,2,2,X,Zanzibar,Tanzania,1976_cecafa_cup.txt
Zanzibar,Somalia,1,0,1,Zanzibar,Tanzania,1976_cecafa_cup.txt
Uganda,Zambia,2,3,2,Zanzibar,Tanzania,1976_cecafa_cup.txt
Kenya,Zambia,0,2,2,Zanzibar,Tanzania,1976_cecafa_cup.txt
Malawi,Uganda,1,2,2,Zanzibar,Tanzania,1976_cecafa_cup.txt
Uganda,Zambia,2,0,1,Zanzibar,Tanzania,1976_cecafa_cup.txt
Uganda,Zanzibar,1,0,1,Mogadishu,Somalia,1977_cecafa_cup.txt
Tanzania,Zambia,2,4,2,Mogadishu,Somalia,1977_cecafa_cup.txt
Kenya,Uganda,1,3,2,Mogadishu,Somalia,1977_cecafa_cup.txt
Malawi,Zambia,1,0,1,Mogadishu,Somalia,1977_cecafa_cup.txt
Somalia,Zanzibar,1,0,1,Mogadishu,Somalia,1977_cecafa_cup.txt
Malawi,Tanzania,0,0,X,Mogadishu,Somalia,1977_cecafa_cup.txt
Kenya,Zanzibar,3,0,1,Mogadishu,Somalia,1977_cecafa_cup.txt
Kenya,Zambia,2,4,2,Mogadishu,Somalia,1977_cecafa_cup.txt
Malawi,Uganda,0,1,2,Mogadishu,Somalia,1977_cecafa_cup.txt
Kenya,Malawi,1,2,2,Mogadishu,Somalia,1977_cecafa_cup.txt
Uganda,Zambia,0,0,X,Mogadishu,Somalia,1977_cecafa_cup.txt
Malawi,Kenya,1,0,1,Blantyre,Malawi,1978_cecafa_cup.txt
Malawi,Somalia,3,1,1,Lilongwe,Malawi,1978_cecafa_cup.txt
Malawi,Uganda,0,2,2,Lilongwe,Malawi,1978_cecafa_cup.txt
Uganda,Zambia,1,2,2,Blantyre,Malawi,1978_cecafa_cup.txt
Kenya,Uganda,0,1,2,Blantyre,Malawi,1978_cecafa_cup.txt
Somalia,Zambia,0,4,2,Blantyre,Malawi,1978_cecafa_cup.txt
Kenya,Somalia,1,0,1,Blantyre,Malawi,1978_cecafa_cup.txt
Malawi,Zambia,2,1,1,Blantyre,Malawi,1978_cecafa_cup.txt
Kenya,Zambia,0,9,2,Blantyre,Malawi,1978_cecafa_cup.txt
Somalia,Uganda,2,2,X,Lilongwe,Malawi,1978_cecafa_cup.txt
Malawi,Kenya,2,0,1,Blantyre,Malawi,1978_cecafa_cup.txt
Uganda,Zambia,0,4,2,Blantyre,Malawi,1978_cecafa_cup.txt
Kenya,Uganda,2,0,1,Blantyre,Malawi,1978_cecafa_cup.txt
Malawi,Zambia,3,2,1,Blantyre,Malawi,1978_cecafa_cup.txt
Kenya,Tanzania,0,0,X,Nairobi,Kenya,1979_cecafa_cup.txt
Malawi,Zanzibar,4,0,1,Mombasa,Kenya,1979_cecafa_cup.txt
Uganda,Zambia,1,2,2,Nairobi,Kenya,1979_cecafa_cup.txt
Tanzania,Zambia,2,2,X,Nairobi,Kenya,1979_cecafa_cup.txt
Kenya,Uganda,3,1,1,Nairobi,Kenya,1979_cecafa_cup.txt
Malawi,Sudan,4,0,1,Mombasa,Kenya,1979_cecafa_cup.txt
Sudan,Zanzibar,1,1,X,Nairobi,Kenya,1979_cecafa_cup.txt
Tanzania,Uganda,5,3,1,Nairobi,Kenya,1979_cecafa_cup.txt
Kenya,Zambia,3,1,1,Nairobi,Kenya,1979_cecafa_cup.txt
Malawi,Tanzania,1,1,X,Mombasa,Kenya,1979_cecafa_cup.txt
Kenya,Zanzibar,2,0,1,Nairobi,Kenya,1979_cecafa_cup.txt
Malawi,Tanzania,4,0,1,Nairobi,Kenya,1979_cecafa_cup.txt
Tanzania,Zanzibar,2,1,1,Mombasa,Kenya,1979_cecafa_cup.txt
Kenya,Malawi,2,3,2,Nairobi,Kenya,1979_cecafa_cup.txt
Sudan,Tanzania,0,1,2,Khartoum,Sudan,1980_cecafa_cup.txt
Malawi,Zanzibar,1,0,1,Port Sudan,Sudan,1980_cecafa_cup.txt
Somalia,Tanzania,1,1,X,Khartoum,Sudan,1980_cecafa_cup.txt
Kenya,Malawi,0,1,2,Port Sudan,Sudan,1980_cecafa_cup.txt
Sudan,Somalia,2,0,1,Khartoum,Sudan,1980_cecafa_cup.txt
