home_team,away_team,home_score,away_score,result,city,country,source_file
Czechoslovakia,Austria,2,0,1,Prague,Czechoslovakia,1927_central_european_international_cup.txt
Hungary,Austria,5,3,1,Budapest,Hungary,1927_central_european_international_cup.txt
Czechoslovakia,Italy,2,2,X,Prague,Czechoslovakia,1927_central_european_international_cup.txt
Italy,Austria,0,1,2,Bologna,Italy,1927_central_european_international_cup.txt
Italy,Switzerland,3,2,1,Genoa,Italy,1928_central_european_international_cup.txt
Italy,Hungary,4,3,1,Rome,Italy,1928_central_european_international_cup.txt
Austria,Czechoslovakia,0,1,2,Vienna,Austria,1928_central_european_international_cup.txt
Hungary,Czechoslovakia,2,0,1,Budapest,Hungary,1928_central_european_international_cup.txt
Austria,Hungary,5,1,1,Vienna,Austria,1928_central_european_international_cup.txt
Switzerland,Italy,2,3,2,Zürich,Switzerland,1928_central_european_international_cup.txt
Austria,Switzerland,2,0,1,Vienna,Austria,1928_central_european_international_cup.txt
Hungary,Switzerland,3,1,1,Budapest,Hungary,1928_central_european_international_cup.txt
Italy,Czechoslovakia,4,2,1,Bologna,Italy,1929_central_european_international_cup.txt
Austria,Italy,3,0,1,Vienna,Austria,1929_central_european_international_cup.txt
Switzerland,Hungary,4,5,2,Berne,Switzerland,1929_central_european_international_cup.txt
Switzerland,Czechoslovakia,1,4,2,Lausanne,Switzerland,1929_central_european_international_cup.txt
Czechoslovakia,Hungary,1,1,X,Prague,Czechoslovakia,1929_central_european_international_cup.txt
Czechoslovakia,Switzerland,5,0,1,Prague,Czechoslovakia,1929_central_european_international_cup.txt
Switzerland,Austria,1,3,2,Berne,Switzerland,1929_central_european_international_cup.txt
Hungary,Italy,0,5,2,Budapest,Hungary,1930_central_european_international_cup.txt
Italy,Austria,2,1,1,Milan,Italy,1931_central_european_international_cup.txt
Czechoslovakia,Hungary,3,3,X,Prague,Czechoslovakia,1931_central_european_international_cup.txt
Switzerland,Italy,1,1,X,Berne,Switzerland,1931_central_european_international_cup.txt
Austria,Czechoslovakia,2,1,1,Vienna,Austria,1931_central_european_international_cup.txt
Hungary,Switzerland,6,2,1,Budapest,Hungary,1931_central_european_international_cup.txt
Austria,Hungary,0,0,X,Vienna,Austria,1931_central_european_international_cup.txt
Czechoslovakia,Switzerland,7,3,1,Prague,Czechoslovakia,1931_central_european_international_cup.txt
Hungary,Austria,2,2,X,Budapest,Hungary,1931_central_european_international_cup.txt
Italy,Czechoslovakia,2,2,X,Rome,Italy,1931_central_european_international_cup.txt
Switzerland,Austria,1,8,2,Basel,Switzerland,1931_central_european_international_cup.txt
Italy,Hungary,3,2,1,Turin,Italy,1931_central_european_international_cup.txt
Italy,Switzerland,3,0,1,Naples,Italy,1932_central_european_international_cup.txt
Austria,Italy,2,1,1,Vienna,Austria,1932_central_european_international_cup.txt
Switzerland,Czechoslovakia,5,1,1,Zürich,Switzerland,1932_central_european_international_cup.txt
Hungary,Italy,1,1,X,Budapest,Hungary,1932_central_european_international_cup.txt
Czechoslovakia,Austria,1,1,X,Prague,Czechoslovakia,1932_central_european_international_cup.txt
Switzerland,Hungary,3,1,1,Berne,Switzerland,1932_central_european_international_cup.txt
Hungary,Czechoslovakia,2,1,1,Budapest,Hungary,1932_central_european_international_cup.txt
Austria,Switzerland,3,1,1,Vienna,Austria,1932_central_european_international_cup.txt
Czechoslovakia,Italy,2,1,1,Prague,Czechoslovakia,1932_central_european_international_cup.txt
Switzerland,Italy,0,3,2,Geneva,Switzerland,1933_central_european_international_cup.txt
Italy,Czechoslovakia,2,0,1,Florence,Italy,1933_central_european_international_cup.txt
Hungary,Switzerland,3,0,1,Budapest,Hungary,1933_central_european_international_cup.txt
Hungary,Italy,0,1,2,Budapest,Hungary,1933_central_european_international_cup.txt
Italy,Switzerland,5,2,1,Florence,Italy,1933_central_european_international_cup.txt
Italy,Austria,2,4,2,Turin,Italy,1934_central_european_international_cup.txt
Switzerland,Austria,2,3,2,Geneva,Switzerland,1934_central_european_international_cup.txt
Czechoslovakia,Hungary,2,2,X,Prague,Czechoslovakia,1934_central_european_international_cup.txt
Austria,Czechoslovakia,2,2,X,Vienna,Austria,1934_central_european_international_cup.txt
Hungary,Austria,3,1,1,Budapest,Hungary,1934_central_european_international_cup.txt
Switzerland,Czechoslovakia,2,2,X,Geneva,Switzerland,1934_central_european_international_cup.txt
Austria,Switzerland,3,0,1,Vienna,Austria,1934_central_european_international_cup.txt
Czechoslovakia,Switzerland,3,1,1,Prague,Czechoslovakia,1935_central_european_international_cup.txt
Austria,Italy,0,2,2,Vienna,Austria,1935_central_european_international_cup.txt
Czechoslovakia,Austria,0,0,X,Prague,Czechoslovakia,1935_central_european_international_cup.txt
Switzerland,Hungary,6,2,1,Zürich,Switzerland,1935_central_european_international_cup.txt
Hungary,Czechoslovakia,1,0,1,Budapest,Hungary,1935_central_european_international_cup.txt
Austria,Hungary,4,4,X,Vienna,Austria,1935_central_european_international_cup.txt
Czechoslovakia,Italy,2,1,1,Prague,Czechoslovakia,1935_central_european_international_cup.txt
Italy,Hungary,2,2,X,Milan,Italy,1935_central_european_international_cup.txt
Austria,Czechoslovakia,1,1,X,Vienna,Austria,1936_central_european_international_cup.txt
Hungary,Austria,5,3,1,Budapest,Hungary,1936_central_european_international_cup.txt
Czechoslovakia,Hungary,5,2,1,Prague,Czechoslovakia,1936_central_european_international_cup.txt
Italy,Switzerland,4,2,1,Milan,Italy,1936_central_european_international_cup.txt
Switzerland,Austria,1,3,2,Zürich,Switzerland,1936_central_european_international_cup.txt
Czechoslovakia,Switzerland,5,3,1,Prague,Czechoslovakia,1937_central_european_international_cup.txt
Switzerland,Hungary,1,5,2,Basel,Switzerland,1937_central_european_international_cup.txt
Italy,Hungary,2,0,1,Turin,Italy,1937_central_european_international_cup.txt
Czechoslovakia,Italy,0,1,2,Prague,Czechoslovakia,1937_central_european_international_cup.txt
Austria,Switzerland,4,3,1,Vienna,Austria,1937_central_european_international_cup.txt
Hungary,Czechoslovakia,8,3,1,Budapest,Hungary,1937_central_european_international_cup.txt
Austria,Hungary,1,2,2,Vienna,Austria,1937_central_european_international_cup.txt
Czechoslovakia,Austria,2,1,1,Prague,Czechoslovakia,1937_central_european_international_cup.txt
Switzerland,Italy,2,2,X,Geneva,Switzerland,1937_central_european_international_cup.txt
Hungary,Switzerland,2,0,1,Budapest,Hungary,1937_central_european_international_cup.txt
