home_team,away_team,home_score,away_score,result,city,country,source_file
Haiti,Suriname,0,3,2,Port of Spain,Trinidad and Tobago,1978_cfu_caribbean_cup.txt
Trinidad and Tobago,Antigua and Barbuda,3,1,1,San Fernando,Trinidad and Tobago,1978_cfu_caribbean_cup.txt
Trinidad and Tobago,Suriname,0,1,2,Port of Spain,Trinidad and Tobago,1978_cfu_caribbean_cup.txt
Antigua and Barbuda,Haiti,0,1,2,San Fernando,Trinidad and Tobago,1978_cfu_caribbean_cup.txt
Antigua and Barbuda,Suriname,0,4,2,San Fernando,Trinidad and Tobago,1978_cfu_caribbean_cup.txt
Trinidad and Tobago,Haiti,2,2,X,Port of Spain,Trinidad and Tobago,1978_cfu_caribbean_cup.txt
Haiti,Trinidad and Tobago,1,0,1,Paramaribo,Suriname,1979_cfu_caribbean_cup.txt
Suriname,Saint Vincent and the Grenadines,2,3,2,Paramaribo,Suriname,1979_cfu_caribbean_cup.txt
Haiti,Saint Vincent and the Grenadines,3,1,1,Paramaribo,Suriname,1979_cfu_caribbean_cup.txt
Suriname,Trinidad and Tobago,3,0,1,Paramaribo,Suriname,1979_cfu_caribbean_cup.txt
Suriname,Haiti,0,1,2,Paramaribo,Suriname,1979_cfu_caribbean_cup.txt
Puerto Rico,Guadeloupe,1,1,X,San Juan,Puerto Rico,1981_cfu_caribbean_cup.txt
Saint Vincent and the Grenadines,Trinidad and Tobago,0,2,2,San Juan,Puerto Rico,1981_cfu_caribbean_cup.txt
Guadeloupe,Trinidad and Tobago,0,2,2,San Juan,Puerto Rico,1981_cfu_caribbean_cup.txt
Puerto Rico,Saint Vincent and the Grenadines,0,2,2,San Juan,Puerto Rico,1981_cfu_caribbean_cup.txt
Guadeloupe,Saint Vincent and the Grenadines,1,3,2,San Juan,Puerto Rico,1981_cfu_caribbean_cup.txt
Antigua and Barbuda,Martinique,0,2,2,Cayenne,French Guiana,1983_cfu_caribbean_cup.txt
