home_team,away_team,home_score,away_score,result,city,country,source_file
Barbados,Curaçao,0,0,X,Bridgetown,Barbados,1978_cfu_caribbean_cup_qualification.txt
Guadeloupe,Jamaica,1,0,1,Pointe-à-Pitre,Guadeloupe,1978_cfu_caribbean_cup_qualification.txt
Guyana,Suriname,0,2,2,Linden,Guyana,1978_cfu_caribbean_cup_qualification.txt
Curaçao,Barbados,1,0,1,Oranjestad,Aruba,1978_cfu_caribbean_cup_qualification.txt
Jamaica,Guadeloupe,1,2,2,Kingston,Jamaica,1978_cfu_caribbean_cup_qualification.txt
Suriname,Guyana,2,1,1,Paramaribo,Suriname,1978_cfu_caribbean_cup_qualification.txt
Puerto Rico,Haiti,1,1,X,San Juan,Puerto Rico,1978_cfu_caribbean_cup_qualification.txt
Trinidad and Tobago,French Guiana,2,4,2,Port of Spain,Trinidad and Tobago,1978_cfu_caribbean_cup_qualification.txt
Haiti,Puerto Rico,1,0,1,Port-au-Prince,Haiti,1978_cfu_caribbean_cup_qualification.txt
French Guiana,Trinidad and Tobago,1,4,2,Cayenne,French Guiana,1978_cfu_caribbean_cup_qualification.txt
Haiti,Martinique,0,0,X,Port-au-Prince,Haiti,1978_cfu_caribbean_cup_qualification.txt
Curaçao,Suriname,0,2,2,Oranjestad,Aruba,1978_cfu_caribbean_cup_qualification.txt
Martinique,Haiti,0,0,X,Fort-de-France,Martinique,1978_cfu_caribbean_cup_qualification.txt
Suriname,Curaçao,3,0,1,Paramaribo,Suriname,1978_cfu_caribbean_cup_qualification.txt
Saint Vincent and the Grenadines,Martinique,2,2,X,Kingstown,Saint Vincent and the Grenadines,1979_cfu_caribbean_cup_qualification.txt
Jamaica,Saint Kitts and Nevis,2,1,1,Kingston,Jamaica,1979_cfu_caribbean_cup_qualification.txt
Martinique,Saint Vincent and the Grenadines,0,1,2,Fort-de-France,Martinique,1979_cfu_caribbean_cup_qualification.txt
Saint Kitts and Nevis,Jamaica,1,2,2,Basseterre,Saint Kitts and Nevis,1979_cfu_caribbean_cup_qualification.txt
Grenada,Trinidad and Tobago,0,1,2,St. George's,Grenada,1979_cfu_caribbean_cup_qualification.txt
Trinidad and Tobago,Grenada,2,1,1,San Fernando,Trinidad and Tobago,1979_cfu_caribbean_cup_qualification.txt
Haiti,Antigua and Barbuda,1,0,1,Port-au-Prince,Haiti,1979_cfu_caribbean_cup_qualification.txt
Antigua and Barbuda,Haiti,1,2,2,St. John's,Antigua and Barbuda,1979_cfu_caribbean_cup_qualification.txt
Guadeloupe,Saint Vincent and the Grenadines,1,3,2,Basse-Terre,Guadeloupe,1979_cfu_caribbean_cup_qualification.txt
Saint Vincent and the Grenadines,Guadeloupe,0,0,X,Kingstown,Saint Vincent and the Grenadines,1979_cfu_caribbean_cup_qualification.txt
Haiti,Jamaica,3,0,1,Port-au-Prince,Haiti,1979_cfu_caribbean_cup_qualification.txt
Jamaica,Haiti,0,4,2,Kingston,Jamaica,1979_cfu_caribbean_cup_qualification.txt
Suriname,French Guiana,3,1,1,Paramaribo,Suriname,1981_cfu_caribbean_cup_qualification.txt
French Guiana,Suriname,3,1,1,Cayenne,French Guiana,1981_cfu_caribbean_cup_qualification.txt
Guadeloupe,Dominica,5,0,1,Basse-Terre,Guadeloupe,1981_cfu_caribbean_cup_qualification.txt
Barbados,Trinidad and Tobago,1,1,X,Bridgetown,Barbados,1981_cfu_caribbean_cup_qualification.txt
Dominica,Guadeloupe,2,3,2,Roseau,Dominica,1981_cfu_caribbean_cup_qualification.txt
Saint Vincent and the Grenadines,Martinique,2,1,1,Kingstown,Saint Vincent and the Grenadines,1981_cfu_caribbean_cup_qualification.txt
Trinidad and Tobago,Barbados,1,1,X,Port of Spain,Trinidad and Tobago,1981_cfu_caribbean_cup_qualification.txt
Martinique,Saint Vincent and the Grenadines,1,2,2,Fort-de-France,Martinique,1981_cfu_caribbean_cup_qualification.txt
Suriname,French Guiana,1,0,1,Paramaribo,Suriname,1981_cfu_caribbean_cup_qualification.txt
Guadeloupe,Saint Vincent and the Grenadines,3,0,1,Basse-Terre,Guadeloupe,1981_cfu_caribbean_cup_qualification.txt
Suriname,Trinidad and Tobago,1,1,X,Paramaribo,Suriname,1981_cfu_caribbean_cup_qualification.txt
Trinidad and Tobago,Suriname,3,2,1,San Fernando,Trinidad and Tobago,1981_cfu_caribbean_cup_qualification.txt
Saint Vincent and the Grenadines,Guadeloupe,3,1,1,Kingstown,Saint Vincent and the Grenadines,1981_cfu_caribbean_cup_qualification.txt
