time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.35,Henan Jianye,Tianjin Quanjian FC,0,4,2,0-1,2018_cn1.txt
,Shanghai Shenhua,Changchun Yatai,1,1,X,1-0,2018_cn1.txt
15.30,Chongqing Lifan,Beijing Renhe FC,1,0,1,1-0,2018_cn1.txt
19.35,Shanghai SIPG,Dalian Yifang FC,8,0,1,3-0,2018_cn1.txt
,Tianjin Teda,Hebei China Fortune,1,1,X,1-0,2018_cn1.txt
19.35,Shandong Taishan,Beijing Guoan,3,0,1,2-0,2018_cn1.txt
19.35,Guangzhou Evergrande,Changchun Yatai,5,0,1,0-0,2018_cn1.txt
15.30,Tianjin Quanjian FC,Beijing Renhe FC,1,2,2,0-1,2018_cn1.txt
,F,Dalian Yifang FC,2,0,1,0-0,2018_cn1.txt
,Shandong Taishan,Chongqing Lifan,2,0,1,1-0,2018_cn1.txt
,Shanghai Shenhua,Shanghai SIPG,0,2,2,0-1,2018_cn1.txt
15.30,Guizhou Hengfeng,Hebei China Fortune,2,3,2,0-1,2018_cn1.txt
19.35,Henan Jianye,Tianjin Teda,1,0,1,1-0,2018_cn1.txt
,níng,Beijing Guoan,1,2,2,0-1,2018_cn1.txt
19.35,Dalian Yifang FC,Beijing Guoan,0,3,2,0-2,2018_cn1.txt
15.30,Hebei China Fortune,Shandong Taishan,1,2,2,1-1,2018_cn1.txt
,F,Shanghai SIPG,2,5,2,2-3,2018_cn1.txt
,Changchun Yatai,Beijing Renhe FC,1,1,X,1-1,2018_cn1.txt
19.35,Guangzhou Evergrande,Henan Jianye,1,0,1,1-0,2018_cn1.txt
,Guizhou Hengfeng,Shanghai Shenhua,0,1,2,0-0,2018_cn1.txt
,Tianjin Teda,Tianjin Quanjian FC,3,2,1,1-0,2018_cn1.txt
19.35,Shanghai SIPG,Chongqing Lifan,2,1,1,2-1,2018_cn1.txt
,Tianjin Quanjian FC,Guangzhou Evergrande,0,1,2,0-0,2018_cn1.txt
19.35,Henan Jianye,Dalian Yifang FC,1,1,X,1-1,2018_cn1.txt
,Shanghai Shenhua,Hebei China Fortune,4,2,1,0-0,2018_cn1.txt
,Beijing Guoan,Beijing Renhe FC,4,0,1,1-0,2018_cn1.txt
15.30,Shandong Taishan,Guizhou Hengfeng,0,2,2,0-1,2018_cn1.txt
,níng,Tianjin Teda,2,1,1,0-0,2018_cn1.txt
,Beijing Guoan,Tianjin Teda,1,1,X,1-1,2018_cn1.txt
15.30,Dalian Yifang FC,Chongqing Lifan,2,2,X,1-0,2018_cn1.txt
19.35,Hebei China Fortune,Changchun Yatai,2,1,1,1-0,2018_cn1.txt
15.30,Beijing Renhe FC,Shanghai Shenhua,0,2,2,0-1,2018_cn1.txt
19.35,Guizhou Hengfeng,Tianjin Quanjian FC,0,1,2,0-1,2018_cn1.txt
,Henan Jianye,Shanghai SIPG,1,2,2,1-2,2018_cn1.txt
,Guangzhou Evergrande,Shandong Taishan,1,0,1,1-0,2018_cn1.txt
18.00,Shanghai Shenhua,Guangzhou Evergrande,2,2,X,0-0,2018_cn1.txt
20.00,Shanghai SIPG,Hebei China Fortune,2,0,1,1-0,2018_cn1.txt
,Beijing Renhe FC,Guizhou Hengfeng,2,1,1,1-1,2018_cn1.txt
19.35,Shandong Taishan,Dalian Yifang FC,2,0,1,1-0,2018_cn1.txt
15.30,Changchun Yatai,Henan Jianye,3,0,1,1-0,2018_cn1.txt
19.35,Chongqing Lifan,Beijing Guoan,3,3,X,3-2,2018_cn1.txt
19.35,Henan Jianye,Chongqing Lifan,0,2,2,0-1,2018_cn1.txt
15.30,Hebei China Fortune,Beijing Renhe FC,0,0,X,,2018_cn1.txt
,F,Shandong Taishan,2,4,2,1-0,2018_cn1.txt
,Guizhou Hengfeng,Changchun Yatai,2,5,2,1-3,2018_cn1.txt
15.30,Dalian Yifang FC,Tianjin Quanjian FC,1,1,X,1-1,2018_cn1.txt
,níng,Shanghai Shenhua,5,1,1,3-1,2018_cn1.txt
19.35,Beijing Guoan,Guangzhou Evergrande,2,2,X,0-0,2018_cn1.txt
20.00,Shanghai SIPG,Tianjin Teda,1,1,X,0-1,2018_cn1.txt
15.30,Beijing Renhe FC,Tianjin Teda,1,0,1,1-0,2018_cn1.txt
,Tianjin Quanjian FC,Hebei China Fortune,0,3,2,0-0,2018_cn1.txt
15.30,Changchun Yatai,Shanghai SIPG,2,1,1,1-1,2018_cn1.txt
19.35,Shandong Taishan,Henan Jianye,2,1,1,0-1,2018_cn1.txt
,Shanghai Shenhua,Dalian Yifang FC,1,0,1,0-0,2018_cn1.txt
,Beijing Guoan,Guizhou Hengfeng,4,3,1,3-1,2018_cn1.txt
15.00,Dalian Yifang FC,Guangzhou Evergrande,3,0,1,2-0,2018_cn1.txt
