date,season,confederation,league,stage,home_team,away_team,home_score,away_score
,2011-12,CONCACAF,CONCACAF Champions League,Group A,21.00 Los Angeles Galaxy,Motagua,2,0
,2011-12,CONCACAF,CONCACAF Champions League,Group A,LD Alajuelense,Monarcas Morelia,1,0
,2011-12,CONCACAF,CONCACAF Champions League,Group A,21.00 Los Angeles Galaxy,LD Alajuelense,2,0
,2011-12,CONCACAF,CONCACAF Champions League,Group A,Monarcas Morelia,Motagua,4,0
,2011-12,CONCACAF,CONCACAF Champions League,Group A,19.00 Monarcas Morelia,Los Angeles Galaxy,2,1
,2011-12,CONCACAF,CONCACAF Champions League,Group A,21.00 Motagua,LD Alajuelense,2,4
,2011-12,CONCACAF,CONCACAF Champions League,Group A,21.00 LD Alajuelense,Los Angeles Galaxy,1,0
,2011-12,CONCACAF,CONCACAF Champions League,Group A,21.00 Motagua,Monarcas Morelia,0,2
,2011-12,CONCACAF,CONCACAF Champions League,Group A,21.00 Los Angeles Galaxy,Monarcas Morelia,2,1
,2011-12,CONCACAF,CONCACAF Champions League,Group A,21.00 LD Alajuelense,Motagua,1,0
,2011-12,CONCACAF,CONCACAF Champions League,Group A,19.00 Monarcas Morelia,LD Alajuelense,2,1
,2011-12,CONCACAF,CONCACAF Champions League,Group A,21.00 Motagua,Los Angeles Galaxy,0,1
,2011-12,CONCACAF,CONCACAF Champions League,Group B,19.00 Santos Laguna,Real España,3,2
,2011-12,CONCACAF,CONCACAF Champions League,Group B,21.00 Colorado Rapids,Isidro Metapán,3,2
,2011-12,CONCACAF,CONCACAF Champions League,Group B,21.00 Real España,Colorado Rapids,1,1
,2011-12,CONCACAF,CONCACAF Champions League,Group B,21.00 Isidro Metapán,Santos Laguna,2,0
,2011-12,CONCACAF,CONCACAF Champions League,Group B,21.00 Real España,Isidro Metapán,1,2
,2011-12,CONCACAF,CONCACAF Champions League,Group B,Colorado Rapids,Santos Laguna,1,4
,2011-12,CONCACAF,CONCACAF Champions League,Group B,21.00 Colorado Rapids,Real España,1,2
,2011-12,CONCACAF,CONCACAF Champions League,Group B,19.00 Santos Laguna,Isidro Metapán,6,0
,2011-12,CONCACAF,CONCACAF Champions League,Group B,19.00 Real España,Santos Laguna,1,1
,2011-12,CONCACAF,CONCACAF Champions League,Group B,21.00 Isidro Metapán,Colorado Rapids,1,3
,2011-12,CONCACAF,CONCACAF Champions League,Group B,19.00 Santos Laguna,Colorado Rapids,2,0
,2011-12,CONCACAF,CONCACAF Champions League,Group B,19.00 Isidro Metapán,Real España,3,2
,2011-12,CONCACAF,CONCACAF Champions League,Group C,21.00 Pumas UNAM,FC Dallas,0,1
,2011-12,CONCACAF,CONCACAF Champions League,Group C,19.00 Tauro FC,Toronto FC,1,2
,2011-12,CONCACAF,CONCACAF Champions League,Group C,09.15 Toronto FC,FC Dallas,0,1
,2011-12,CONCACAF,CONCACAF Champions League,Group C,19.00 Tauro FC,Pumas UNAM,0,0
,2011-12,CONCACAF,CONCACAF Champions League,Group C,19.00 FC Dallas,Tauro FC,1,1
,2011-12,CONCACAF,CONCACAF Champions League,Group C,Pumas UNAM,Toronto FC,4,0
,2011-12,CONCACAF,CONCACAF Champions League,Group C,19.00 Toronto FC,Tauro FC,1,0
,2011-12,CONCACAF,CONCACAF Champions League,Group C,19.00 FC Dallas,Pumas UNAM,0,2
,2011-12,CONCACAF,CONCACAF Champions League,Group C,19.00 Toronto FC,Pumas UNAM,1,1
,2011-12,CONCACAF,CONCACAF Champions League,Group C,19.00 Tauro FC,FC Dallas,5,3
,2011-12,CONCACAF,CONCACAF Champions League,Group C,19.00 FC Dallas,Toronto FC,0,3
,2011-12,CONCACAF,CONCACAF Champions League,Group C,21.00 Pumas UNAM,Tauro FC,1,0
,2011-12,CONCACAF,CONCACAF Champions League,Group D,21.00 Seattle Sounders,CSD Comunicaciones,4,1
,2011-12,CONCACAF,CONCACAF Champions League,Group D,19.00 CS Herediano,CF Monterrey,0,5
,2011-12,CONCACAF,CONCACAF Champions League,Group D,19.00 CF Monterrey,Seattle Sounders,0,1
,2011-12,CONCACAF,CONCACAF Champions League,Group D,16.00 CSD Comunicaciones,CS Herediano,2,0
,2011-12,CONCACAF,CONCACAF Champions League,Group D,21.00 CS Herediano,Seattle Sounders,1,2
,2011-12,CONCACAF,CONCACAF Champions League,Group D,CSD Comunicaciones,CF Monterrey,1,0
,2011-12,CONCACAF,CONCACAF Champions League,Group D,19.00 CF Monterrey,CSD Comunicaciones,3,1
,2011-12,CONCACAF,CONCACAF Champions League,Group D,21.00 Seattle Sounders,CS Herediano,0,1
,2011-12,CONCACAF,CONCACAF Champions League,Group D,21.00 CSD Comunicaciones,Seattle Sounders,2,2
,2011-12,CONCACAF,CONCACAF Champions League,Group D,CF Monterrey,CS Herediano,1,0
,2011-12,CONCACAF,CONCACAF Champions League,Group D,21.00 Seattle Sounders,CF Monterrey,1,2
,2011-12,CONCACAF,CONCACAF Champions League,Group D,21.00 CS Herediano,CSD Comunicaciones,4,1
,2011-12,CONCACAF,CONCACAF Champions League,Quarterfinals,21.00 Monarcas Morelia,CF Monterrey,1,3
,2011-12,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 Toronto FC,Los Angeles Galaxy,2,2
,2011-12,CONCACAF,CONCACAF Champions League,Quarterfinals,21.00 Seattle Sounders,Santos Laguna,2,1
,2011-12,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 Isidro Metapán,Pumas UNAM,2,1
,2011-12,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 CF Monterrey,Monarcas Morelia,4,1
,2011-12,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Santos Laguna,Seattle Sounders,6,1
,2011-12,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 Los Angeles Galaxy,Toronto FC,1,2
,2011-12,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 Pumas UNAM,Isidro Metapán,8,0
,2011-12,CONCACAF,CONCACAF Champions League,Semifinals,18.00 Toronto FC,Santos Laguna,1,1
,2011-12,CONCACAF,CONCACAF Champions League,Semifinals,20.00 CF Monterrey,Pumas UNAM,3,0
,2011-12,CONCACAF,CONCACAF Champions League,Semifinals,19.00 Santos Laguna,Toronto FC,6,2
,2011-12,CONCACAF,CONCACAF Champions League,Semifinals,21.00 Pumas UNAM,CF Monterrey,1,1
,2011-12,CONCACAF,CONCACAF Champions League,Final,21.00 CF Monterrey,Santos Laguna,2,0
,2011-12,CONCACAF,CONCACAF Champions League,Final,19.00 Santos Laguna,CF Monterrey,2,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 1,19.00 Toronto FC,CD Águila,5,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 1,19.00 Santos Laguna,CD Águila,5,0
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 1,19.00 Toronto FC,Santos Laguna,1,3
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 1,21.00 CD Águila,Santos Laguna,0,4
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 1,21.00 CD Águila,Toronto FC,0,3
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 1,19.00 Santos Laguna,Toronto FC,1,0
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 2,21.00 CS Herediano,Real Salt Lake,1,0
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 2,21.00 Real Salt Lake,Tauro FC,2,0
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 2,19.00 Tauro FC,CS Herediano,0,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 2,19.00 Tauro FC,Real Salt Lake,0,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 2,21.00 CS Herediano,Tauro FC,2,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 2,21.00 Real Salt Lake,CS Herediano,0,0
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 3,21.00 Olimpia,FAS,3,0
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 3,21.00 FAS,Houston Dynamo,1,3
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 3,21.00 Olimpia,Houston Dynamo,1,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 3,19.00 Houston Dynamo,FAS,4,0
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 3,21.00 FAS,Olimpia,2,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 3,19.00 Houston Dynamo,Olimpia,1,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 4,21.00 Seattle Sounders,Caledonia AIA Fire,3,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 4,19.00 Caledonia AIA Fire,Marathón,0,0
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 4,19.00 Caledonia AIA Fire,Seattle Sounders,1,3
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 4,21.00 Marathón,Seattle Sounders,2,3
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 4,21.00 Marathón,Caledonia AIA Fire,2,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 4,21.00 Seattle Sounders,Marathón,3,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 5,21.00 Isidro Metapán,Puerto Rico Islanders,3,1
,2012-13,CONCACAF,CONCACAF Champions League,Gruppe 5,21.00 Los Angeles Galaxy,Isidro Metapán,5,2
