home_team,away_team,home_score,away_score,result,city,country,source_file
Guatemala,Panama,2,2,X,San Salvador,El Salvador,1963_concacaf_championship.txt
El Salvador,Nicaragua,6,1,1,San Salvador,El Salvador,1963_concacaf_championship.txt
Costa Rica,Jamaica,6,0,1,Santa Ana,El Salvador,1963_concacaf_championship.txt
Mexico,Curaçao,1,2,2,Santa Ana,El Salvador,1963_concacaf_championship.txt
Honduras,Nicaragua,1,0,1,San Salvador,El Salvador,1963_concacaf_championship.txt
El Salvador,Panama,1,1,X,San Salvador,El Salvador,1963_concacaf_championship.txt
Guatemala,Nicaragua,3,1,1,San Salvador,El Salvador,1963_concacaf_championship.txt
El Salvador,Honduras,2,2,X,San Salvador,El Salvador,1963_concacaf_championship.txt
Costa Rica,Curaçao,1,0,1,Santa Ana,El Salvador,1963_concacaf_championship.txt
Jamaica,Mexico,0,8,2,Santa Ana,El Salvador,1963_concacaf_championship.txt
Guatemala,Honduras,1,2,2,San Salvador,El Salvador,1963_concacaf_championship.txt
Nicaragua,Panama,0,5,2,San Salvador,El Salvador,1963_concacaf_championship.txt
Costa Rica,Mexico,0,0,X,Santa Ana,El Salvador,1963_concacaf_championship.txt
Jamaica,Curaçao,1,2,2,Santa Ana,El Salvador,1963_concacaf_championship.txt
Panama,Honduras,0,1,2,San Salvador,El Salvador,1963_concacaf_championship.txt
El Salvador,Guatemala,1,1,X,San Salvador,El Salvador,1963_concacaf_championship.txt
Honduras,Curaçao,1,4,2,San Salvador,El Salvador,1963_concacaf_championship.txt
El Salvador,Costa Rica,1,4,2,San Salvador,El Salvador,1963_concacaf_championship.txt
Costa Rica,Curaçao,1,0,1,San Salvador,El Salvador,1963_concacaf_championship.txt
El Salvador,Honduras,3,0,1,San Salvador,El Salvador,1963_concacaf_championship.txt
El Salvador,Curaçao,3,2,1,San Salvador,El Salvador,1963_concacaf_championship.txt
Costa Rica,Honduras,2,1,1,San Salvador,El Salvador,1963_concacaf_championship.txt
Costa Rica,Curaçao,6,0,1,Guatemala City,Guatemala,1965_concacaf_championship.txt
El Salvador,Mexico,0,2,2,Guatemala City,Guatemala,1965_concacaf_championship.txt
Guatemala,Haiti,3,0,1,Guatemala City,Guatemala,1965_concacaf_championship.txt
El Salvador,Curaçao,1,1,X,Guatemala City,Guatemala,1965_concacaf_championship.txt
Costa Rica,Haiti,3,1,1,Guatemala City,Guatemala,1965_concacaf_championship.txt
Mexico,Curaçao,5,0,1,Guatemala City,Guatemala,1965_concacaf_championship.txt
Guatemala,Costa Rica,0,0,X,Guatemala City,Guatemala,1965_concacaf_championship.txt
Guatemala,El Salvador,4,1,1,Guatemala City,Guatemala,1965_concacaf_championship.txt
Haiti,Mexico,0,3,2,Guatemala City,Guatemala,1965_concacaf_championship.txt
Costa Rica,Mexico,1,1,X,Guatemala City,Guatemala,1965_concacaf_championship.txt
Guatemala,Curaçao,3,2,1,Guatemala City,Guatemala,1965_concacaf_championship.txt
Costa Rica,El Salvador,1,2,2,Guatemala City,Guatemala,1965_concacaf_championship.txt
Haiti,Curaçao,1,1,X,Guatemala City,Guatemala,1965_concacaf_championship.txt
Guatemala,Mexico,1,2,2,Guatemala City,Guatemala,1965_concacaf_championship.txt
El Salvador,Haiti,3,1,1,Guatemala City,Guatemala,1965_concacaf_championship.txt
Honduras,Trinidad and Tobago,1,0,1,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Haiti,Guatemala,1,2,2,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Mexico,Nicaragua,4,0,1,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Haiti,Trinidad and Tobago,2,3,2,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Honduras,Nicaragua,1,1,X,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Guatemala,Mexico,1,0,1,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Haiti,Nicaragua,2,1,1,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Honduras,Guatemala,0,0,X,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Mexico,Trinidad and Tobago,4,0,1,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Haiti,Mexico,0,1,2,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Trinidad and Tobago,Guatemala,0,2,2,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Nicaragua,Trinidad and Tobago,1,3,2,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Honduras,Haiti,2,0,1,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Honduras,Mexico,0,1,2,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Guatemala,Nicaragua,2,0,1,Tegucigalpa,Honduras,1967_concacaf_championship.txt
Costa Rica,Jamaica,3,0,1,San José,Costa Rica,1969_concacaf_championship.txt
Costa Rica,Curaçao,2,1,1,San José,Costa Rica,1969_concacaf_championship.txt
Mexico,Jamaica,2,0,1,San José,Costa Rica,1969_concacaf_championship.txt
Guatemala,Trinidad and Tobago,2,0,1,San José,Costa Rica,1969_concacaf_championship.txt
Guatemala,Curaçao,6,1,1,San José,Costa Rica,1969_concacaf_championship.txt
Jamaica,Trinidad and Tobago,2,3,2,San José,Costa Rica,1969_concacaf_championship.txt
Costa Rica,Mexico,2,0,1,San José,Costa Rica,1969_concacaf_championship.txt
Curaçao,Trinidad and Tobago,3,1,1,San José,Costa Rica,1969_concacaf_championship.txt
Mexico,Guatemala,0,1,2,San José,Costa Rica,1969_concacaf_championship.txt
Costa Rica,Trinidad and Tobago,5,0,1,San José,Costa Rica,1969_concacaf_championship.txt
Jamaica,Guatemala,0,0,X,San José,Costa Rica,1969_concacaf_championship.txt
Mexico,Curaçao,2,2,X,San José,Costa Rica,1969_concacaf_championship.txt
Jamaica,Curaçao,1,2,2,San José,Costa Rica,1969_concacaf_championship.txt
Mexico,Trinidad and Tobago,0,0,X,San José,Costa Rica,1969_concacaf_championship.txt
Costa Rica,Guatemala,1,1,X,San José,Costa Rica,1969_concacaf_championship.txt
Cuba,Costa Rica,0,3,2,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Haiti,Mexico,0,0,X,San Fernando,Trinidad and Tobago,1971_concacaf_championship.txt
Trinidad and Tobago,Honduras,1,1,X,San Fernando,Trinidad and Tobago,1971_concacaf_championship.txt
Cuba,Honduras,3,1,1,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Costa Rica,Haiti,0,0,X,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Trinidad and Tobago,Mexico,0,2,2,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Costa Rica,Honduras,2,1,1,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Cuba,Mexico,0,1,2,San Fernando,Trinidad and Tobago,1971_concacaf_championship.txt
Trinidad and Tobago,Haiti,1,6,2,Arima,Trinidad and Tobago,1971_concacaf_championship.txt
Trinidad and Tobago,Cuba,2,2,X,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Haiti,Honduras,3,1,1,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Costa Rica,Mexico,0,1,2,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Cuba,Haiti,0,0,X,San Fernando,Trinidad and Tobago,1971_concacaf_championship.txt
Honduras,Mexico,1,2,2,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Trinidad and Tobago,Costa Rica,3,1,1,Port of Spain,Trinidad and Tobago,1971_concacaf_championship.txt
Honduras,Trinidad and Tobago,2,1,1,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Guatemala,Mexico,0,0,X,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Haiti,Curaçao,3,0,1,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Honduras,Mexico,1,1,X,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Haiti,Trinidad and Tobago,2,1,1,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Guatemala,Curaçao,2,2,X,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Haiti,Honduras,1,0,1,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Mexico,Curaçao,8,0,1,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Guatemala,Trinidad and Tobago,0,1,2,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Honduras,Curaçao,2,2,X,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Haiti,Guatemala,2,1,1,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Mexico,Trinidad and Tobago,0,4,2,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Guatemala,Honduras,1,1,X,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Curaçao,Trinidad and Tobago,0,4,2,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Haiti,Mexico,0,1,2,Port-au-Prince,Haiti,1973_concacaf_championship.txt
Canada,El Salvador,1,2,2,Monterrey,Mexico,1977_concacaf_championship.txt
Guatemala,Suriname,3,2,1,Monterrey,Mexico,1977_concacaf_championship.txt
Mexico,Haiti,4,1,1,Mexico City,Mexico,1977_concacaf_championship.txt
Canada,Suriname,2,1,1,Mexico City,Mexico,1977_concacaf_championship.txt
Guatemala,Haiti,1,2,2,Monterrey,Mexico,1977_concacaf_championship.txt
Mexico,El Salvador,3,1,1,Mexico City,Mexico,1977_concacaf_championship.txt
Mexico,Suriname,8,1,1,Monterrey,Mexico,1977_concacaf_championship.txt
Canada,Guatemala,2,1,1,Mexico City,Mexico,1977_concacaf_championship.txt
El Salvador,Haiti,0,1,2,Mexico City,Mexico,1977_concacaf_championship.txt
Mexico,Guatemala,2,1,1,Mexico City,Mexico,1977_concacaf_championship.txt
Canada,Haiti,1,1,X,Monterrey,Mexico,1977_concacaf_championship.txt
El Salvador,Suriname,3,2,1,Monterrey,Mexico,1977_concacaf_championship.txt
Mexico,Canada,3,1,1,Monterrey,Mexico,1977_concacaf_championship.txt
El Salvador,Guatemala,2,2,X,Mexico City,Mexico,1977_concacaf_championship.txt
Haiti,Suriname,1,0,1,Mexico City,Mexico,1977_concacaf_championship.txt
Mexico,Cuba,4,0,1,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Canada,El Salvador,1,0,1,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Honduras,Haiti,4,0,1,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Canada,Haiti,1,1,X,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Mexico,El Salvador,0,1,2,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Honduras,Cuba,2,0,1,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Cuba,El Salvador,0,0,X,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Haiti,Mexico,1,1,X,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Honduras,Canada,2,1,1,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Haiti,Cuba,0,2,2,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Mexico,Canada,1,1,X,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Honduras,El Salvador,0,0,X,Tegucigalpa,Honduras,1981_concacaf_championship.txt
El Salvador,Haiti,1,0,1,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Cuba,Canada,2,2,X,Tegucigalpa,Honduras,1981_concacaf_championship.txt
Honduras,Mexico,0,0,X,Tegucigalpa,Honduras,1981_concacaf_championship.txt
El Salvador,Suriname,3,0,1,San Salvador,El Salvador,1985_concacaf_championship.txt
El Salvador,Suriname,3,0,1,San Salvador,El Salvador,1985_concacaf_championship.txt
Honduras,Suriname,1,1,X,Tegucigalpa,Honduras,1985_concacaf_championship.txt
Honduras,Suriname,2,1,1,Tegucigalpa,Honduras,1985_concacaf_championship.txt
El Salvador,Honduras,1,2,2,San Salvador,El Salvador,1985_concacaf_championship.txt
Honduras,El Salvador,0,0,X,Tegucigalpa,Honduras,1985_concacaf_championship.txt
Canada,Haiti,2,0,1,Victoria,Canada,1985_concacaf_championship.txt
Canada,Guatemala,2,1,1,Victoria,Canada,1985_concacaf_championship.txt
Costa Rica,Trinidad and Tobago,3,0,1,San José,Costa Rica,1985_concacaf_championship.txt
Haiti,Guatemala,0,1,2,Port-au-Prince,Haiti,1985_concacaf_championship.txt
Costa Rica,Trinidad and Tobago,1,1,X,San José,Costa Rica,1985_concacaf_championship.txt
Guatemala,Canada,1,1,X,Guatemala City,Guatemala,1985_concacaf_championship.txt
Haiti,Canada,0,2,2,Port-au-Prince,Haiti,1985_concacaf_championship.txt
Guatemala,Haiti,4,0,1,Guatemala City,Guatemala,1985_concacaf_championship.txt
United States,Trinidad and Tobago,2,1,1,St. Louis,United States,1985_concacaf_championship.txt
United States,Trinidad and Tobago,1,0,1,Torrance,United States,1985_concacaf_championship.txt
Costa Rica,United States,1,1,X,Alajuela,Costa Rica,1985_concacaf_championship.txt
United States,Costa Rica,0,1,2,Torrance,United States,1985_concacaf_championship.txt
Costa Rica,Honduras,2,2,X,San José,Costa Rica,1985_concacaf_championship.txt
Canada,Costa Rica,1,1,X,Toronto,Canada,1985_concacaf_championship.txt
Honduras,Canada,0,1,2,Tegucigalpa,Honduras,1985_concacaf_championship.txt
Costa Rica,Canada,0,0,X,San José,Costa Rica,1985_concacaf_championship.txt
Honduras,Costa Rica,3,1,1,Tegucigalpa,Honduras,1985_concacaf_championship.txt
Canada,Honduras,2,1,1,St. John's,Canada,1985_concacaf_championship.txt
Guatemala,Costa Rica,1,0,1,Guatemala City,Guatemala,1989_concacaf_championship.txt
Costa Rica,Guatemala,2,1,1,San José,Costa Rica,1989_concacaf_championship.txt
Costa Rica,United States,1,0,1,San José,Costa Rica,1989_concacaf_championship.txt
United States,Costa Rica,1,0,1,St. Louis,United States,1989_concacaf_championship.txt
United States,Trinidad and Tobago,1,1,X,Torrance,United States,1989_concacaf_championship.txt
Trinidad and Tobago,Costa Rica,1,1,X,Port of Spain,Trinidad and Tobago,1989_concacaf_championship.txt
Costa Rica,Trinidad and Tobago,1,0,1,San José,Costa Rica,1989_concacaf_championship.txt
United States,Guatemala,2,1,1,New Britain,United States,1989_concacaf_championship.txt
El Salvador,Costa Rica,2,4,2,San Salvador,El Salvador,1989_concacaf_championship.txt
Costa Rica,El Salvador,1,0,1,San José,Costa Rica,1989_concacaf_championship.txt
Trinidad and Tobago,El Salvador,2,0,1,Port of Spain,Trinidad and Tobago,1989_concacaf_championship.txt
El Salvador,Trinidad and Tobago,0,0,X,Tegucigalpa,Honduras,1989_concacaf_championship.txt
Guatemala,Trinidad and Tobago,0,1,2,Guatemala City,Guatemala,1989_concacaf_championship.txt
Trinidad and Tobago,Guatemala,2,1,1,Port of Spain,Trinidad and Tobago,1989_concacaf_championship.txt
El Salvador,United States,0,1,2,Tegucigalpa,Honduras,1989_concacaf_championship.txt
Guatemala,United States,0,0,X,Guatemala City,Guatemala,1989_concacaf_championship.txt
United States,El Salvador,0,0,X,St. Louis,United States,1989_concacaf_championship.txt
Trinidad and Tobago,United States,0,1,2,Port of Spain,Trinidad and Tobago,1989_concacaf_championship.txt
