home_team,away_team,home_score,away_score,result,city,country,source_file
El Salvador,Nicaragua,4,0,1,San Salvador,El Salvador,1965_concacaf_championship_qualification.txt
Honduras,Nicaragua,0,2,2,San Salvador,El Salvador,1965_concacaf_championship_qualification.txt
El Salvador,Honduras,3,1,1,San Salvador,El Salvador,1965_concacaf_championship_qualification.txt
Jamaica,Curaçao,1,1,X,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Cuba,Haiti,1,1,X,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Curaçao,Trinidad and Tobago,1,2,2,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Jamaica,Cuba,2,1,1,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Haiti,Trinidad and Tobago,4,2,1,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Curaçao,Cuba,2,2,X,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Jamaica,Trinidad and Tobago,1,1,X,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Curaçao,Haiti,0,1,2,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Cuba,Trinidad and Tobago,1,2,2,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Jamaica,Haiti,0,1,2,Kingston,Jamaica,1967_concacaf_championship_qualification.txt
Nicaragua,Panama,3,1,1,Guatemala City,Guatemala,1967_concacaf_championship_qualification.txt
Guatemala,Panama,3,1,1,Guatemala City,Guatemala,1967_concacaf_championship_qualification.txt
Guatemala,Nicaragua,3,1,1,Guatemala City,Guatemala,1967_concacaf_championship_qualification.txt
Mexico,Bermuda,3,0,1,Mexico City,Mexico,1969_concacaf_championship_qualification.txt
Bermuda,Mexico,2,1,1,Hamilton,Bermuda,1969_concacaf_championship_qualification.txt
Jamaica,Panama,1,1,X,Kingston,Jamaica,1969_concacaf_championship_qualification.txt
Jamaica,Panama,2,1,1,Kingston,Jamaica,1969_concacaf_championship_qualification.txt
Honduras,Guatemala,1,0,1,Tegucigalpa,Honduras,1971_concacaf_championship_qualification.txt
El Salvador,Nicaragua,3,2,1,San Salvador,El Salvador,1971_concacaf_championship_qualification.txt
Guatemala,Honduras,1,1,X,Guatemala City,Guatemala,1971_concacaf_championship_qualification.txt
El Salvador,Nicaragua,1,0,1,San Salvador,El Salvador,1971_concacaf_championship_qualification.txt
Suriname,Guyana,4,1,1,Paramaribo,Dutch Guyana,1971_concacaf_championship_qualification.txt
Guyana,Suriname,2,3,2,Georgetown,Guyana,1971_concacaf_championship_qualification.txt
Jamaica,Cuba,0,1,2,Kingston,Jamaica,1971_concacaf_championship_qualification.txt
Cuba,Jamaica,0,0,X,Havana,Cuba,1971_concacaf_championship_qualification.txt
Bermuda,Mexico,0,2,2,Hamilton,Bermuda,1971_concacaf_championship_qualification.txt
Mexico,Bermuda,4,0,1,Mexico City,Mexico,1971_concacaf_championship_qualification.txt
Haiti,Puerto Rico,7,0,1,Port-au-Prince,Haiti,1972_concacaf_championship_qualification.txt
Puerto Rico,Haiti,0,5,2,San Juan,Puerto Rico,1972_concacaf_championship_qualification.txt
Canada,United States,3,2,1,St. John's,Canada,1972_concacaf_championship_qualification.txt
Canada,Mexico,0,1,2,Toronto,Canada,1972_concacaf_championship_qualification.txt
United States,Canada,2,2,X,Baltimore,United States,1972_concacaf_championship_qualification.txt
Mexico,United States,3,1,1,Mexico City,Mexico,1972_concacaf_championship_qualification.txt
Mexico,Canada,2,1,1,Mexico City,Mexico,1972_concacaf_championship_qualification.txt
United States,Mexico,1,2,2,Los Angeles,United States,1972_concacaf_championship_qualification.txt
Trinidad and Tobago,Antigua and Barbuda,11,1,1,Port of Spain,Trinidad and Tobago,1972_concacaf_championship_qualification.txt
Antigua and Barbuda,Trinidad and Tobago,1,2,2,St. John's,Antigua and Barbuda,1972_concacaf_championship_qualification.txt
Trinidad and Tobago,Suriname,2,1,1,Port of Spain,Trinidad and Tobago,1972_concacaf_championship_qualification.txt
Trinidad and Tobago,Suriname,1,1,X,San Fernando,Trinidad and Tobago,1972_concacaf_championship_qualification.txt
Antigua and Barbuda,Suriname,0,6,2,St. John's,Antigua and Barbuda,1972_concacaf_championship_qualification.txt
Guatemala,El Salvador,1,0,1,Guatemala City,Guatemala,1972_concacaf_championship_qualification.txt
Honduras,Costa Rica,2,1,1,Tegucigalpa,Honduras,1972_concacaf_championship_qualification.txt
Antigua and Barbuda,Suriname,1,3,2,St. John's,Antigua and Barbuda,1972_concacaf_championship_qualification.txt
Costa Rica,Honduras,3,3,X,San José,Costa Rica,1972_concacaf_championship_qualification.txt
El Salvador,Guatemala,0,1,2,San Salvador,El Salvador,1972_concacaf_championship_qualification.txt
Dominican Republic,Haiti,0,3,2,Santo Domingo,Dominican Republic,1976_concacaf_championship_qualification.txt
Panama,Costa Rica,3,2,1,Panama City,Panama,1976_concacaf_championship_qualification.txt
Haiti,Dominican Republic,3,0,1,Port-au-Prince,Haiti,1976_concacaf_championship_qualification.txt
Panama,El Salvador,1,1,X,Panama City,Panama,1976_concacaf_championship_qualification.txt
Guyana,Suriname,2,0,1,Georgetown,Guyana,1976_concacaf_championship_qualification.txt
Costa Rica,Panama,3,0,1,San José,Costa Rica,1976_concacaf_championship_qualification.txt
Curaçao,Haiti,1,2,2,Oranjestad,Aruba,1976_concacaf_championship_qualification.txt
El Salvador,Panama,4,1,1,San Salvador,El Salvador,1976_concacaf_championship_qualification.txt
Haiti,Curaçao,7,0,1,Port-au-Prince,Haiti,1976_concacaf_championship_qualification.txt
Barbados,Trinidad and Tobago,2,1,1,Bridgetown,Barbados,1976_concacaf_championship_qualification.txt
Jamaica,Cuba,1,3,2,Kingston,Jamaica,1976_concacaf_championship_qualification.txt
Cuba,Jamaica,2,0,1,Havana,Cuba,1976_concacaf_championship_qualification.txt
Suriname,Guyana,3,0,1,Paramaribo,Suriname,1976_concacaf_championship_qualification.txt
Trinidad and Tobago,Barbados,1,0,1,Port of Spain,Trinidad and Tobago,1976_concacaf_championship_qualification.txt
Barbados,Trinidad and Tobago,1,3,2,Bridgetown,Barbados,1976_concacaf_championship_qualification.txt
Panama,Guatemala,2,4,2,Panama City,Panama,1976_concacaf_championship_qualification.txt
Canada,United States,1,1,X,Vancouver,Canada,1976_concacaf_championship_qualification.txt
Guatemala,Panama,7,0,1,Guatemala City,Guatemala,1976_concacaf_championship_qualification.txt
United States,Mexico,0,0,X,Los Angeles,United States,1976_concacaf_championship_qualification.txt
Canada,Mexico,1,0,1,Vancouver,Canada,1976_concacaf_championship_qualification.txt
Mexico,United States,3,0,1,Puebla,Mexico,1976_concacaf_championship_qualification.txt
United States,Canada,2,0,1,Seattle,United States,1976_concacaf_championship_qualification.txt
Mexico,Canada,0,0,X,Toluca,Mexico,1976_concacaf_championship_qualification.txt
Suriname,Trinidad and Tobago,1,1,X,Paramaribo,Suriname,1976_concacaf_championship_qualification.txt
Cuba,Haiti,1,1,X,Havana,Cuba,1976_concacaf_championship_qualification.txt
Trinidad and Tobago,Suriname,2,2,X,Port of Spain,Trinidad and Tobago,1976_concacaf_championship_qualification.txt
El Salvador,Costa Rica,1,1,X,San Salvador,El Salvador,1976_concacaf_championship_qualification.txt
Costa Rica,Guatemala,0,0,X,San José,Costa Rica,1976_concacaf_championship_qualification.txt
Guatemala,El Salvador,3,1,1,Guatemala City,Guatemala,1976_concacaf_championship_qualification.txt
Haiti,Cuba,1,1,X,Port-au-Prince,Haiti,1976_concacaf_championship_qualification.txt
Guatemala,Costa Rica,1,1,X,Guatemala City,Guatemala,1976_concacaf_championship_qualification.txt
Costa Rica,El Salvador,1,1,X,San José,Costa Rica,1976_concacaf_championship_qualification.txt
Suriname,Trinidad and Tobago,3,2,1,Cayenne,French Guiana,1976_concacaf_championship_qualification.txt
El Salvador,Guatemala,2,0,1,San Salvador,El Salvador,1976_concacaf_championship_qualification.txt
Canada,United States,3,0,1,Port-au-Prince,Haiti,1976_concacaf_championship_qualification.txt
Cuba,Haiti,0,2,2,Panama City,Panama,1976_concacaf_championship_qualification.txt
Guyana,Grenada,5,2,1,Georgetown,Guyana,1980_concacaf_championship_qualification.txt
Grenada,Guyana,2,3,2,St. George's,Grenada,1980_concacaf_championship_qualification.txt
Panama,Guatemala,0,2,2,Panama City,Panama,1980_concacaf_championship_qualification.txt
Panama,Honduras,0,2,2,Panama City,Panama,1980_concacaf_championship_qualification.txt
Haiti,Trinidad and Tobago,2,0,1,Port-au-Prince,Haiti,1980_concacaf_championship_qualification.txt
Panama,Costa Rica,1,1,X,Panama City,Panama,1980_concacaf_championship_qualification.txt
Cuba,Suriname,3,0,1,Havana,Cuba,1980_concacaf_championship_qualification.txt
Trinidad and Tobago,Haiti,1,0,1,San Fernando,Trinidad and Tobago,1980_concacaf_championship_qualification.txt
Panama,El Salvador,1,3,2,Panama City,Panama,1980_concacaf_championship_qualification.txt
Suriname,Cuba,0,0,X,Paramaribo,Suriname,1980_concacaf_championship_qualification.txt
Haiti,Curaçao,1,0,1,Port-au-Prince,Haiti,1980_concacaf_championship_qualification.txt
Guyana,Suriname,0,1,2,Georgetown,Guyana,1980_concacaf_championship_qualification.txt
Costa Rica,Honduras,2,3,2,San José,Costa Rica,1980_concacaf_championship_qualification.txt
El Salvador,Panama,4,1,1,San Salvador,El Salvador,1980_concacaf_championship_qualification.txt
Guatemala,Costa Rica,0,0,X,Guatemala City,Guatemala,1980_concacaf_championship_qualification.txt
Suriname,Guyana,4,0,1,Paramaribo,Suriname,1980_concacaf_championship_qualification.txt
Canada,Mexico,1,1,X,Toronto,Canada,1980_concacaf_championship_qualification.txt
United States,Canada,0,0,X,Fort Lauderdale,United States,1980_concacaf_championship_qualification.txt
Honduras,Guatemala,0,0,X,Tegucigalpa,Honduras,1980_concacaf_championship_qualification.txt
Canada,United States,2,1,1,Vancouver,Canada,1980_concacaf_championship_qualification.txt
Costa Rica,Panama,2,0,1,San José,Costa Rica,1980_concacaf_championship_qualification.txt
Cuba,Guyana,1,0,1,Havana,Cuba,1980_concacaf_championship_qualification.txt
Guatemala,El Salvador,0,0,X,Guatemala City,Guatemala,1980_concacaf_championship_qualification.txt
Mexico,United States,5,1,1,Mexico City,Mexico,1980_concacaf_championship_qualification.txt
Trinidad and Tobago,Curaçao,0,0,X,Port of Spain,Trinidad and Tobago,1980_concacaf_championship_qualification.txt
Guatemala,Panama,5,0,1,Guatemala City,Guatemala,1980_concacaf_championship_qualification.txt
Honduras,Costa Rica,1,1,X,Tegucigalpa,Honduras,1980_concacaf_championship_qualification.txt
Mexico,Canada,1,1,X,Mexico City,Mexico,1980_concacaf_championship_qualification.txt
