home_team,away_team,home_score,away_score,result,city,country,source_file
Bermuda,Panama,1,4,2,Hamilton,Bermuda,2019_concacaf_nations_league.txt
Grenada,Saint Kitts and Nevis,2,1,1,St. George's,Grenada,2019_concacaf_nations_league.txt
French Guiana,Belize,3,0,1,Cayenne,French Guiana,2019_concacaf_nations_league.txt
Dominica,Suriname,1,2,2,Roseau,Dominica,2019_concacaf_nations_league.txt
United States Virgin Islands,Cayman Islands,0,2,2,Saint Croix,United States Virgin Islands,2019_concacaf_nations_league.txt
Barbados,Saint Martin,4,0,1,Bridgetown,Barbados,2019_concacaf_nations_league.txt
Guatemala,Anguilla,10,0,1,Guatemala City,Guatemala,2019_concacaf_nations_league.txt
Martinique,Trinidad and Tobago,1,1,X,Fort-de-France,Martinique,2019_concacaf_nations_league.txt
Aruba,Guyana,0,1,2,Willemstad,Curaçao,2019_concacaf_nations_league.txt
Jamaica,Antigua and Barbuda,6,0,1,Montego Bay,Jamaica,2019_concacaf_nations_league.txt
Nicaragua,Saint Vincent and the Grenadines,1,1,X,Managua,Nicaragua,2019_concacaf_nations_league.txt
Bonaire,British Virgin Islands,4,2,1,Willemstad,Curaçao,2019_concacaf_nations_league.txt
Canada,Cuba,6,0,1,Toronto,Canada,2019_concacaf_nations_league.txt
Curaçao,Haiti,1,0,1,Willemstad,Curaçao,2019_concacaf_nations_league.txt
Montserrat,Dominican Republic,2,1,1,Lookout,Montserrat,2019_concacaf_nations_league.txt
El Salvador,Saint Lucia,3,0,1,San Salvador,El Salvador,2019_concacaf_nations_league.txt
Guadeloupe,Sint Maarten,5,1,1,Les Abymes,Guadeloupe,2019_concacaf_nations_league.txt
Panama,Bermuda,0,2,2,Panama City,Panama,2019_concacaf_nations_league.txt
Belize,Grenada,1,2,2,Belmopan,Belize,2019_concacaf_nations_league.txt
Saint Kitts and Nevis,French Guiana,2,2,X,Basseterre,Saint Kitts and Nevis,2019_concacaf_nations_league.txt
