home_team,away_team,home_score,away_score,result,city,country,source_file
Dominica,Suriname,0,0,X,Les Abymes,Guadeloupe,2018_concacaf_nations_league_qualification.txt
Guyana,Barbados,3,0,1,Leonora,Guyana,2018_concacaf_nations_league_qualification.txt
Anguilla,French Guiana,0,5,2,The Valley,Anguilla,2018_concacaf_nations_league_qualification.txt
Antigua and Barbuda,Saint Lucia,0,3,2,North Sound,Antigua and Barbuda,2018_concacaf_nations_league_qualification.txt
Belize,Bahamas,4,0,1,Belmopan,Belize,2018_concacaf_nations_league_qualification.txt
Saint Vincent and the Grenadines,Nicaragua,0,2,2,Kingstown,Saint Vincent and the Grenadines,2018_concacaf_nations_league_qualification.txt
Cuba,Turks and Caicos Islands,11,0,1,Havana,Cuba,2018_concacaf_nations_league_qualification.txt
Montserrat,El Salvador,1,2,2,Lookout,Montserrat,2018_concacaf_nations_league_qualification.txt
Bonaire,Dominican Republic,0,5,2,Willemstad,Curaçao,2018_concacaf_nations_league_qualification.txt
United States Virgin Islands,Canada,0,8,2,Bradenton,United States,2018_concacaf_nations_league_qualification.txt
Aruba,Bermuda,3,1,1,Willemstad,Curaçao,2018_concacaf_nations_league_qualification.txt
Jamaica,Cayman Islands,4,0,1,Kingston,Jamaica,2018_concacaf_nations_league_qualification.txt
Saint Kitts and Nevis,Puerto Rico,1,0,1,Basseterre,Saint Kitts and Nevis,2018_concacaf_nations_league_qualification.txt
Haiti,Sint Maarten,13,0,1,Port-au-Prince,Haiti,2018_concacaf_nations_league_qualification.txt
Curaçao,Grenada,10,0,1,Willemstad,Curaçao,2018_concacaf_nations_league_qualification.txt
Saint Martin,Guadeloupe,0,3,2,The Valley,Anguilla,2018_concacaf_nations_league_qualification.txt
French Guiana,Saint Vincent and the Grenadines,0,1,2,Cayenne,French Guiana,2018_concacaf_nations_league_qualification.txt
United States Virgin Islands,Curaçao,0,5,2,Bradenton,United States,2018_concacaf_nations_league_qualification.txt
Bahamas,Antigua and Barbuda,0,6,2,Nassau,Bahamas,2018_concacaf_nations_league_qualification.txt
Dominican Republic,Cayman Islands,3,0,1,Santiago de los Caballeros,Dominican Republic,2018_concacaf_nations_league_qualification.txt
Bermuda,Sint Maarten,12,0,1,Hamilton,Bermuda,2018_concacaf_nations_league_qualification.txt
Grenada,Cuba,0,2,2,St. George's,Grenada,2018_concacaf_nations_league_qualification.txt
Puerto Rico,Martinique,0,1,2,Bayamón,Puerto Rico,2018_concacaf_nations_league_qualification.txt
