home_team,away_team,home_score,away_score,result,city,country,source_file
Chile,Uruguay,0,4,2,Buenos Aires,Argentina,1916_copa_america.txt
Argentina,Chile,6,1,1,Buenos Aires,Argentina,1916_copa_america.txt
Brazil,Chile,1,1,X,Buenos Aires,Argentina,1916_copa_america.txt
Argentina,Brazil,1,1,X,Buenos Aires,Argentina,1916_copa_america.txt
Brazil,Uruguay,1,2,2,Buenos Aires,Argentina,1916_copa_america.txt
Argentina,Uruguay,0,0,X,Avellaneda,Argentina,1916_copa_america.txt
Uruguay,Chile,4,0,1,Montevideo,Uruguay,1917_copa_america.txt
Argentina,Brazil,4,2,1,Montevideo,Uruguay,1917_copa_america.txt
Argentina,Chile,1,0,1,Montevideo,Uruguay,1917_copa_america.txt
Uruguay,Brazil,4,0,1,Montevideo,Uruguay,1917_copa_america.txt
Brazil,Chile,5,0,1,Montevideo,Uruguay,1917_copa_america.txt
Uruguay,Argentina,1,0,1,Montevideo,Uruguay,1917_copa_america.txt
Brazil,Chile,6,0,1,Rio de Janeiro,Brazil,1919_copa_america.txt
Argentina,Uruguay,2,3,2,Rio de Janeiro,Brazil,1919_copa_america.txt
Chile,Uruguay,0,2,2,Rio de Janeiro,Brazil,1919_copa_america.txt
Brazil,Argentina,3,1,1,Rio de Janeiro,Brazil,1919_copa_america.txt
Argentina,Chile,4,1,1,Rio de Janeiro,Brazil,1919_copa_america.txt
Brazil,Uruguay,2,2,X,Rio de Janeiro,Brazil,1919_copa_america.txt
Brazil,Uruguay,1,0,1,Rio de Janeiro,Brazil,1919_copa_america.txt
Chile,Brazil,0,1,2,Viña del Mar,Chile,1920_copa_america.txt
Uruguay,Argentina,1,1,X,Viña del Mar,Chile,1920_copa_america.txt
Brazil,Uruguay,0,6,2,Viña del Mar,Chile,1920_copa_america.txt
Chile,Argentina,1,1,X,Viña del Mar,Chile,1920_copa_america.txt
Argentina,Brazil,2,0,1,Viña del Mar,Chile,1920_copa_america.txt
Chile,Uruguay,1,2,2,Viña del Mar,Chile,1920_copa_america.txt
Argentina,Brazil,1,0,1,Buenos Aires,Argentina,1921_copa_america.txt
Paraguay,Uruguay,2,1,1,Buenos Aires,Argentina,1921_copa_america.txt
Brazil,Paraguay,3,0,1,Buenos Aires,Argentina,1921_copa_america.txt
Argentina,Paraguay,3,0,1,Buenos Aires,Argentina,1921_copa_america.txt
Brazil,Uruguay,1,2,2,Buenos Aires,Argentina,1921_copa_america.txt
Argentina,Uruguay,1,0,1,Buenos Aires,Argentina,1921_copa_america.txt
Brazil,Chile,1,1,X,Rio de Janeiro,Brazil,1922_copa_america.txt
Chile,Uruguay,0,2,2,Rio de Janeiro,Brazil,1922_copa_america.txt
Brazil,Paraguay,1,1,X,Rio de Janeiro,Brazil,1922_copa_america.txt
Argentina,Chile,4,0,1,Rio de Janeiro,Brazil,1922_copa_america.txt
Brazil,Uruguay,0,0,X,Rio de Janeiro,Brazil,1922_copa_america.txt
Chile,Paraguay,0,3,2,Rio de Janeiro,Brazil,1922_copa_america.txt
Argentina,Uruguay,0,1,2,Rio de Janeiro,Brazil,1922_copa_america.txt
Paraguay,Uruguay,1,0,1,Rio de Janeiro,Brazil,1922_copa_america.txt
Brazil,Argentina,2,0,1,Rio de Janeiro,Brazil,1922_copa_america.txt
Argentina,Paraguay,2,0,1,Rio de Janeiro,Brazil,1922_copa_america.txt
Brazil,Paraguay,3,0,1,Rio de Janeiro,Brazil,1922_copa_america.txt
Argentina,Paraguay,4,3,1,Montevideo,Uruguay,1923_copa_america.txt
Uruguay,Paraguay,2,0,1,Montevideo,Uruguay,1923_copa_america.txt
Brazil,Paraguay,0,1,2,Montevideo,Uruguay,1923_copa_america.txt
Argentina,Brazil,2,1,1,Montevideo,Uruguay,1923_copa_america.txt
Uruguay,Brazil,2,1,1,Montevideo,Uruguay,1923_copa_america.txt
Uruguay,Argentina,2,0,1,Montevideo,Uruguay,1923_copa_america.txt
Argentina,Paraguay,0,0,X,Montevideo,Uruguay,1924_copa_america.txt
Uruguay,Chile,5,0,1,Montevideo,Uruguay,1924_copa_america.txt
Argentina,Chile,2,0,1,Montevideo,Uruguay,1924_copa_america.txt
Uruguay,Paraguay,3,1,1,Montevideo,Uruguay,1924_copa_america.txt
Chile,Paraguay,1,3,2,Montevideo,Uruguay,1924_copa_america.txt
Uruguay,Argentina,0,0,X,Montevideo,Uruguay,1924_copa_america.txt
Argentina,Paraguay,2,0,1,Buenos Aires,Argentina,1925_copa_america.txt
Brazil,Paraguay,5,2,1,Buenos Aires,Argentina,1925_copa_america.txt
Argentina,Brazil,4,1,1,Buenos Aires,Argentina,1925_copa_america.txt
Brazil,Paraguay,3,1,1,Buenos Aires,Argentina,1925_copa_america.txt
Argentina,Paraguay,3,1,1,Buenos Aires,Argentina,1925_copa_america.txt
Argentina,Brazil,2,2,X,Buenos Aires,Argentina,1925_copa_america.txt
Chile,Bolivia,7,1,1,Santiago,Chile,1926_copa_america.txt
Argentina,Bolivia,5,0,1,Santiago,Chile,1926_copa_america.txt
Chile,Uruguay,1,3,2,Santiago,Chile,1926_copa_america.txt
Argentina,Paraguay,8,0,1,Santiago,Chile,1926_copa_america.txt
Bolivia,Paraguay,1,6,2,Santiago,Chile,1926_copa_america.txt
Argentina,Uruguay,0,2,2,Santiago,Chile,1926_copa_america.txt
Bolivia,Uruguay,0,6,2,Santiago,Chile,1926_copa_america.txt
Chile,Argentina,1,1,X,Santiago,Chile,1926_copa_america.txt
Paraguay,Uruguay,1,6,2,Santiago,Chile,1926_copa_america.txt
Chile,Paraguay,5,1,1,Santiago,Chile,1926_copa_america.txt
Argentina,Bolivia,7,1,1,Lima,Peru,1927_copa_america.txt
Peru,Uruguay,0,4,2,Lima,Peru,1927_copa_america.txt
Bolivia,Uruguay,0,9,2,Lima,Peru,1927_copa_america.txt
Peru,Bolivia,3,2,1,Lima,Peru,1927_copa_america.txt
Argentina,Uruguay,3,2,1,Lima,Peru,1927_copa_america.txt
Peru,Argentina,1,5,2,Lima,Peru,1927_copa_america.txt
Paraguay,Uruguay,3,0,1,Buenos Aires,Argentina,1929_copa_america.txt
Argentina,Peru,3,0,1,Buenos Aires,Argentina,1929_copa_america.txt
Argentina,Paraguay,4,1,1,Buenos Aires,Argentina,1929_copa_america.txt
Peru,Uruguay,1,4,2,Buenos Aires,Argentina,1929_copa_america.txt
Paraguay,Peru,5,0,1,Avellaneda,Argentina,1929_copa_america.txt
Argentina,Uruguay,2,0,1,Buenos Aires,Argentina,1929_copa_america.txt
Argentina,Chile,4,1,1,Lima,Peru,1935_copa_america.txt
Peru,Uruguay,0,1,2,Lima,Peru,1935_copa_america.txt
Chile,Uruguay,1,2,2,Lima,Peru,1935_copa_america.txt
Peru,Argentina,1,4,2,Lima,Peru,1935_copa_america.txt
Peru,Chile,1,0,1,Lima,Peru,1935_copa_america.txt
