home_team,away_team,home_score,away_score,result,city,country,source_file
Paraguay,Uruguay,2,1,1,Asunción,Paraguay,1965_copa_artigas.txt
Uruguay,Paraguay,4,0,1,Montevideo,Uruguay,1965_copa_artigas.txt
Paraguay,Uruguay,2,2,X,Asunción,Paraguay,1966_copa_artigas.txt
Uruguay,Paraguay,3,1,1,Montevideo,Uruguay,1966_copa_artigas.txt
Paraguay,Uruguay,0,0,X,Asunción,Paraguay,1968_copa_artigas.txt
Paraguay,Uruguay,0,1,2,Asunción,Paraguay,1975_copa_artigas.txt
Uruguay,Paraguay,0,1,2,Montevideo,Uruguay,1975_copa_artigas.txt
Paraguay,Uruguay,1,1,X,Asunción,Paraguay,1977_copa_artigas.txt
Uruguay,Paraguay,2,1,1,Montevideo,Uruguay,1977_copa_artigas.txt
Paraguay,Uruguay,0,0,X,Asunción,Paraguay,1983_copa_artigas.txt
Uruguay,Paraguay,3,0,1,Montevideo,Uruguay,1983_copa_artigas.txt
Uruguay,Paraguay,1,0,1,Montevideo,Uruguay,1985_copa_artigas.txt
Paraguay,Uruguay,1,3,2,Asunción,Paraguay,1985_copa_artigas.txt
