home_team,away_team,home_score,away_score,result,city,country,source_file
Brazil,Uruguay,2,0,1,Rio de Janeiro,Brazil,1931_copa_rio_branco.txt
Uruguay,Brazil,1,2,2,Montevideo,Uruguay,1932_copa_rio_branco.txt
Brazil,Uruguay,3,4,2,Rio de Janeiro,Brazil,1940_copa_rio_branco.txt
Brazil,Uruguay,1,1,X,Rio de Janeiro,Brazil,1940_copa_rio_branco.txt
Uruguay,Brazil,4,3,1,Montevideo,Uruguay,1946_copa_rio_branco.txt
Uruguay,Brazil,0,0,X,Montevideo,Uruguay,1947_copa_rio_branco.txt
Brazil,Uruguay,3,2,1,Rio de Janeiro,Brazil,1947_copa_rio_branco.txt
Uruguay,Brazil,1,1,X,Montevideo,Uruguay,1948_copa_rio_branco.txt
Uruguay,Brazil,4,2,1,Montevideo,Uruguay,1948_copa_rio_branco.txt
Brazil,Uruguay,3,4,2,São Paulo,Brazil,1950_copa_rio_branco.txt
Brazil,Uruguay,3,2,1,Rio de Janeiro,Brazil,1950_copa_rio_branco.txt
Uruguay,Brazil,0,0,X,Montevideo,Uruguay,1967_copa_rio_branco.txt
Uruguay,Brazil,2,2,X,Montevideo,Uruguay,1967_copa_rio_branco.txt
Uruguay,Brazil,1,1,X,Montevideo,Uruguay,1967_copa_rio_branco.txt
Brazil,Uruguay,2,0,1,São Paulo,Brazil,1968_copa_rio_branco.txt
Brazil,Uruguay,4,0,1,Rio de Janeiro,Brazil,1968_copa_rio_branco.txt
Uruguay,Brazil,1,2,2,Montevideo,Uruguay,1976_copa_rio_branco.txt
Brazil,Uruguay,2,1,1,Rio de Janeiro,Brazil,1976_copa_rio_branco.txt
