home_team,away_team,home_score,away_score,result,city,country,source_file
Malawi,Mozambique,2,2,X,Lilongwe,Malawi,1997_cosafa_cup.txt
Zambia,Malawi,4,0,1,Lusaka,Zambia,1997_cosafa_cup.txt
Tanzania,Namibia,0,0,X,Mwanza,Tanzania,1997_cosafa_cup.txt
Mozambique,Tanzania,3,0,1,Maputo,Mozambique,1997_cosafa_cup.txt
Namibia,Malawi,4,1,1,Windhoek,Namibia,1997_cosafa_cup.txt
Tanzania,Zambia,2,2,X,Arusha,Tanzania,1997_cosafa_cup.txt
Mozambique,Namibia,1,1,X,Maputo,Mozambique,1997_cosafa_cup.txt
Zambia,Mozambique,2,1,1,Lusaka,Zambia,1997_cosafa_cup.txt
Malawi,Tanzania,2,2,X,Lilongwe,Malawi,1997_cosafa_cup.txt
Namibia,Zambia,1,1,X,Windhoek,Namibia,1997_cosafa_cup.txt
Zimbabwe,Namibia,5,2,1,Harare,Zimbabwe,1998_cosafa_cup.txt
Angola,Zambia,1,1,X,Luanda,Angola,1998_cosafa_cup.txt
Zambia,Mozambique,1,0,1,Lusaka,Zambia,1998_cosafa_cup.txt
Mozambique,Zimbabwe,0,2,2,Maputo,Mozambique,1998_cosafa_cup.txt
Namibia,Angola,1,1,X,Windhoek,Namibia,1998_cosafa_cup.txt
Mozambique,Angola,1,1,X,Maputo,Mozambique,1998_cosafa_cup.txt
Zambia,Namibia,1,1,X,Lusaka,Zambia,1998_cosafa_cup.txt
Angola,Zimbabwe,2,1,1,Luanda,Angola,1998_cosafa_cup.txt
Namibia,Mozambique,2,1,1,Windhoek,Namibia,1998_cosafa_cup.txt
Zimbabwe,Zambia,0,1,2,Harare,Zimbabwe,1998_cosafa_cup.txt
Lesotho,Angola,0,1,2,Maseru,Lesotho,1999_cosafa_cup.txt
Eswatini,Zimbabwe,1,1,X,Lobamba,Swaziland   [Eswatini wins on penalties],1999_cosafa_cup.txt
Namibia,South Africa,1,1,X,Windhoek,Namibia   [Namibia wins on penalties],1999_cosafa_cup.txt
Zambia,Mozambique,1,1,X,Lusaka,Zambia   [Zambia wins on penalties],1999_cosafa_cup.txt
Zambia,Angola,0,1,2,Lusaka,Zambia,1999_cosafa_cup.txt
Namibia,Eswatini,1,1,X,Windhoek,Namibia   [Namibia wins on penalties],1999_cosafa_cup.txt
Angola,Namibia,1,0,1,Luanda,Angola,1999_cosafa_cup.txt
Namibia,Angola,1,1,X,Windhoek,Namibia,1999_cosafa_cup.txt
