time,home_team,away_team,home_score,away_score,result,ht_score,source_file
16.03,AD Guanacasteca,AD San Carlos,0,3,2,,2024-25_cr1.txt
20.00,Puntarenas FC,Municipal Liberia,0,0,X,,2024-25_cr1.txt
17.00,CS Cartaginés,Santa Ana,4,0,1,2-0,2024-25_cr1.txt
18.00,Sporting FC,Deportivo Saprissa,3,1,1,2-1,2024-25_cr1.txt
20.00,Municipal Pérez Zeledón,CS Herediano,0,0,X,,2024-25_cr1.txt
18.00,LD Alajuelense,Santos de Guápiles,2,1,1,1-1,2024-25_cr1.txt
17.00,Santa Ana,Sporting FC,0,2,2,0-0,2024-25_cr1.txt
20.00,CS Herediano,Puntarenas FC,2,0,1,2-0,2024-25_cr1.txt
18.00,Municipal Liberia,LD Alajuelense,1,2,2,0-2,2024-25_cr1.txt
,AD San Carlos,CS Cartaginés,0,0,X,,2024-25_cr1.txt
20.30,Deportivo Saprissa,AD Guanacasteca,3,1,1,0-0,2024-25_cr1.txt
18.00,Santos de Guápiles,Municipal Pérez Zeledón,3,3,X,2-1,2024-25_cr1.txt
19.00,AD Guanacasteca,CS Herediano,2,1,1,1-0,2024-25_cr1.txt
20.00,AD San Carlos,Municipal Liberia,1,2,2,0-2,2024-25_cr1.txt
11.00,CS Cartaginés,Santos de Guápiles,2,1,1,1-0,2024-25_cr1.txt
15.00,Puntarenas FC,Deportivo Saprissa,2,3,2,1-1,2024-25_cr1.txt
18.00,LD Alajuelense,Santa Ana,1,1,X,1-0,2024-25_cr1.txt
19.00,Municipal Pérez Zeledón,Sporting FC,0,2,2,0-1,2024-25_cr1.txt
19.00,Santos de Guápiles,Puntarenas FC,0,0,X,,2024-25_cr1.txt
15.00,Sporting FC,AD Guanacasteca,2,2,X,1-0,2024-25_cr1.txt
17.00,Deportivo Saprissa,Municipal Liberia,2,2,X,2-1,2024-25_cr1.txt
20.00,Santa Ana,CS Herediano,1,1,X,0-0,2024-25_cr1.txt
11.00,CS Cartaginés,LD Alajuelense,0,1,2,0-0,2024-25_cr1.txt
16.00,Municipal Pérez Zeledón,AD San Carlos,0,0,X,,2024-25_cr1.txt
20.00,Municipal Liberia,Santos de Guápiles,4,0,1,2-0,2024-25_cr1.txt
17.00,AD Guanacasteca,CS Cartaginés,1,3,2,1-1,2024-25_cr1.txt
18.00,AD San Carlos,Santa Ana,5,1,1,3-0,2024-25_cr1.txt
20.00,LD Alajuelense,Municipal Pérez Zeledón,2,1,1,1-0,2024-25_cr1.txt
16.00,Puntarenas FC,Sporting FC,1,2,2,0-1,2024-25_cr1.txt
18.00,CS Herediano,Deportivo Saprissa,2,0,1,0-0,2024-25_cr1.txt
20.00,Santa Ana,Deportivo Saprissa,0,3,2,0-0,2024-25_cr1.txt
18.00,Santos de Guápiles,AD San Carlos,0,4,2,0-1,2024-25_cr1.txt
11.00,CS Cartaginés,CS Herediano,3,1,1,1-0,2024-25_cr1.txt
16.00,Municipal Pérez Zeledón,Puntarenas FC,1,0,1,1-0,2024-25_cr1.txt
18.00,Sporting FC,Municipal Liberia,1,0,1,0-0,2024-25_cr1.txt
19.00,LD Alajuelense,AD Guanacasteca,4,0,1,3-0,2024-25_cr1.txt
19.00,AD San Carlos,LD Alajuelense,0,0,X,,2024-25_cr1.txt
20.00,Deportivo Saprissa,CS Cartaginés,1,0,1,1-0,2024-25_cr1.txt
15.00,Municipal Liberia,Municipal Pérez Zeledón,1,0,1,1-0,2024-25_cr1.txt
