time,home_team,away_team,home_score,away_score,result,ht_score,source_file
20.00,Paphos FC,Karmiotissa Polemidion,3,0,1,1-0,2023-24_cy1.txt
20.00,Anorthosis Famagusta,Ethnikos Achna,3,1,1,0-0,2023-24_cy1.txt
,Apollon Limassol,Othellos Athienou,1,1,X,1-1,2023-24_cy1.txt
20.00,AE Zakakiou,APOEL Nikosia,0,2,2,0-0,2023-24_cy1.txt
20.00,Aris Limassol,AEK Larnaca,2,0,1,1-0,2023-24_cy1.txt
,Doxa Katokopias,AEL Limassol,0,1,2,0-1,2023-24_cy1.txt
,Omonia Nikosia,Nea Salamina,4,0,1,1-0,2023-24_cy1.txt
20.00,Karmiotissa Polemidion,Omonia Nikosia,3,3,X,1-1,2023-24_cy1.txt
,Othellos Athienou,Anorthosis Famagusta,0,2,2,0-1,2023-24_cy1.txt
20.00,AEL Limassol,AE Zakakiou,4,3,1,1-2,2023-24_cy1.txt
,Nea Salamina,Apollon Limassol,1,1,X,0-1,2023-24_cy1.txt
20.00,AEK Larnaca,Ethnikos Achna,5,5,X,4-4,2023-24_cy1.txt
,Aris Limassol,Doxa Katokopias,2,1,1,0-0,2023-24_cy1.txt
19.00,APOEL Nikosia,Paphos FC,1,0,1,0-0,2023-24_cy1.txt
20.00,Anorthosis Famagusta,Nea Salamina,2,2,X,1-0,2023-24_cy1.txt
20.00,Ethnikos Achna,Othellos Athienou,1,1,X,1-0,2023-24_cy1.txt
,Doxa Katokopias,AEK Larnaca,0,2,2,0-1,2023-24_cy1.txt
,Paphos FC,AEL Limassol,3,1,1,0-1,2023-24_cy1.txt
20.00,Apollon Limassol,Karmiotissa Polemidion,1,0,1,1-0,2023-24_cy1.txt
,AE Zakakiou,Aris Limassol,0,5,2,0-3,2023-24_cy1.txt
21.00,Omonia Nikosia,APOEL Nikosia,2,1,1,2-1,2023-24_cy1.txt
19.00,AEK Larnaca,Othellos Athienou,3,2,1,3-1,2023-24_cy1.txt
,Doxa Katokopias,AE Zakakiou,1,3,2,0-2,2023-24_cy1.txt
20.00,AEL Limassol,Omonia Nikosia,0,0,X,,2023-24_cy1.txt
18.00,Karmiotissa Polemidion,Anorthosis Famagusta,1,3,2,0-1,2023-24_cy1.txt
19.00,Aris Limassol,Paphos FC,1,1,X,0-0,2023-24_cy1.txt
20.30,APOEL Nikosia,Apollon Limassol,1,1,X,1-1,2023-24_cy1.txt
19.00,Nea Salamina,Ethnikos Achna,4,0,1,2-0,2023-24_cy1.txt
19.00,AE Zakakiou,AEK Larnaca,3,1,1,1-1,2023-24_cy1.txt
18.00,Paphos FC,Doxa Katokopias,4,0,1,3-0,2023-24_cy1.txt
19.00,Ethnikos Achna,Karmiotissa Polemidion,3,0,1,1-0,2023-24_cy1.txt
20.30,Anorthosis Famagusta,APOEL Nikosia,1,1,X,1-1,2023-24_cy1.txt
19.00,Apollon Limassol,AEL Limassol,2,0,1,0-0,2023-24_cy1.txt
,Othellos Athienou,Nea Salamina,2,3,2,1-2,2023-24_cy1.txt
19.00,Omonia Nikosia,Aris Limassol,2,2,X,1-1,2023-24_cy1.txt
18.00,AEK Larnaca,Nea Salamina,1,1,X,1-1,2023-24_cy1.txt
19.00,Aris Limassol,Apollon Limassol,0,1,2,0-1,2023-24_cy1.txt
,Karmiotissa Polemidion,Othellos Athienou,0,0,X,,2023-24_cy1.txt
19.00,AEL Limassol,Anorthosis Famagusta,1,3,2,0-2,2023-24_cy1.txt
,Doxa Katokopias,Omonia Nikosia,1,3,2,1-0,2023-24_cy1.txt
19.00,APOEL Nikosia,Ethnikos Achna,5,1,1,2-1,2023-24_cy1.txt
,AE Zakakiou,Paphos FC,1,4,2,1-3,2023-24_cy1.txt
19.00,Nea Salamina,Karmiotissa Polemidion,2,0,1,0-0,2023-24_cy1.txt
19.00,Omonia Nikosia,AE Zakakiou,3,3,X,1-1,2023-24_cy1.txt
,Othellos Athienou,APOEL Nikosia,0,1,2,0-0,2023-24_cy1.txt
,Paphos FC,AEK Larnaca,0,0,X,,2023-24_cy1.txt
19.00,Ethnikos Achna,AEL Limassol,1,0,1,1-0,2023-24_cy1.txt
,Anorthosis Famagusta,Aris Limassol,2,3,2,1-2,2023-24_cy1.txt
,Apollon Limassol,Doxa Katokopias,4,0,1,1-0,2023-24_cy1.txt
19.00,AEK Larnaca,Karmiotissa Polemidion,5,0,1,2-0,2023-24_cy1.txt
,APOEL Nikosia,Nea Salamina,1,0,1,1-0,2023-24_cy1.txt
,Aris Limassol,Ethnikos Achna,2,0,1,2-0,2023-24_cy1.txt
17.00,AEL Limassol,Othellos Athienou,2,1,1,1-0,2023-24_cy1.txt
19.00,Doxa Katokopias,Anorthosis Famagusta,0,2,2,0-2,2023-24_cy1.txt
,AE Zakakiou,Apollon Limassol,0,5,2,0-1,2023-24_cy1.txt
19.00,Paphos FC,Omonia Nikosia,0,2,2,0-2,2023-24_cy1.txt
18.00,Ethnikos Achna,Doxa Katokopias,2,0,1,1-0,2023-24_cy1.txt
19.00,Karmiotissa Polemidion,APOEL Nikosia,1,2,2,0-1,2023-24_cy1.txt
,Nea Salamina,AEL Limassol,2,1,1,1-0,2023-24_cy1.txt
18.00,Omonia Nikosia,AEK Larnaca,0,0,X,,2023-24_cy1.txt
19.00,Anorthosis Famagusta,AE Zakakiou,1,1,X,0-0,2023-24_cy1.txt
,Apollon Limassol,Paphos FC,0,3,2,0-2,2023-24_cy1.txt
19.00,Othellos Athienou,Aris Limassol,0,1,2,0-1,2023-24_cy1.txt
19.00,AE Zakakiou,Ethnikos Achna,1,1,X,0-0,2023-24_cy1.txt
18.00,Doxa Katokopias,Othellos Athienou,0,2,2,0-0,2023-24_cy1.txt
19.00,Aris Limassol,Nea Salamina,2,1,1,0-0,2023-24_cy1.txt
,Omonia Nikosia,Apollon Limassol,2,0,1,1-0,2023-24_cy1.txt
18.00,AEK Larnaca,APOEL Nikosia,0,3,2,0-1,2023-24_cy1.txt
,Paphos FC,Anorthosis Famagusta,1,0,1,1-0,2023-24_cy1.txt
19.00,AEL Limassol,Karmiotissa Polemidion,2,1,1,2-0,2023-24_cy1.txt
20.00,Anorthosis Famagusta,Omonia Nikosia,2,0,1,0-0,2023-24_cy1.txt
18.00,Nea Salamina,Doxa Katokopias,2,0,1,0-0,2023-24_cy1.txt
19.00,Ethnikos Achna,Paphos FC,1,4,2,1-2,2023-24_cy1.txt
,APOEL Nikosia,AEL Limassol,1,0,1,1-0,2023-24_cy1.txt
17.00,Othellos Athienou,AE Zakakiou,2,1,1,0-1,2023-24_cy1.txt
19.00,Apollon Limassol,AEK Larnaca,0,1,2,0-1,2023-24_cy1.txt
,Karmiotissa Polemidion,Aris Limassol,4,1,1,0-0,2023-24_cy1.txt
19.00,Aris Limassol,APOEL Nikosia,1,0,1,0-0,2023-24_cy1.txt
,Paphos FC,Othellos Athienou,3,0,1,0-0,2023-24_cy1.txt
18.00,Omonia Nikosia,Ethnikos Achna,4,1,1,2-1,2023-24_cy1.txt
,AE Zakakiou,Nea Salamina,2,2,X,1-1,2023-24_cy1.txt
19.00,Apollon Limassol,Anorthosis Famagusta,0,1,2,0-0,2023-24_cy1.txt
19.00,AEK Larnaca,AEL Limassol,3,0,1,1-0,2023-24_cy1.txt
,Doxa Katokopias,Karmiotissa Polemidion,2,2,X,2-2,2023-24_cy1.txt
19.00,Othellos Athienou,Omonia Nikosia,1,2,2,1-1,2023-24_cy1.txt
