time,home_team,away_team,home_score,away_score,result,ht_score,source_file
17.00,FC Fastav Zlín,FK Mladá Boleslav,3,2,1,0-1,2018-19_cz1.txt
,Slovan Liberec,MFK Karviná,1,0,1,0-0,2018-19_cz1.txt
,íbram,FK Teplice,1,1,X,1-0,2018-19_cz1.txt
19.00,AC Sparta Praha,SFC Opava,2,0,1,0-0,2018-19_cz1.txt
15.00,Bohemians Praha 1905,1. FC Slovácko,2,1,1,2-0,2018-19_cz1.txt
18.00,Sigma Olomouc,Slavia Praha,0,3,2,0-2,2018-19_cz1.txt
18.00,Baník Ostrava,FK Jablonec,1,0,1,0-0,2018-19_cz1.txt
18.30,FK Mladá Boleslav,Sigma Olomouc,0,4,2,0-1,2018-19_cz1.txt
,íbram,Bohemians Praha 1905,4,2,1,2-0,2018-19_cz1.txt
,SFC Opava,FC Fastav Zlín,1,2,2,1-1,2018-19_cz1.txt
,1. FC Slovácko,Baník Ostrava,2,1,1,1-1,2018-19_cz1.txt
19.00,Slavia Praha,MFK Karviná,4,0,1,2-0,2018-19_cz1.txt
15.00,FK Teplice,FK Dukla Praha,5,2,1,2-0,2018-19_cz1.txt
18.00,FK Jablonec,AC Sparta Praha,1,2,2,0-0,2018-19_cz1.txt
,,Slovan Liberec,1,0,1,0-0,2018-19_cz1.txt
18.30,Slavia Praha,SFC Opava,3,1,1,1-0,2018-19_cz1.txt
,FC Fastav Zlín,FK Jablonec,1,1,X,0-0,2018-19_cz1.txt
,Slovan Liberec,FK Teplice,2,2,X,1-1,2018-19_cz1.txt
15.00,MFK Karviná,FK Mladá Boleslav,3,4,2,1-1,2018-19_cz1.txt
18.00,AC Sparta Praha,1. FC Slovácko,1,0,1,1-0,2018-19_cz1.txt
18.00,FK Dukla Praha,Bohemians Praha 1905,0,1,2,0-1,2018-19_cz1.txt
18.30,FK Mladá Boleslav,Slavia Praha,0,1,2,0-1,2018-19_cz1.txt
,íbram,FK Dukla Praha,4,0,1,0-0,2018-19_cz1.txt
,SFC Opava,Slovan Liberec,1,1,X,0-0,2018-19_cz1.txt
,FK Jablonec,MFK Karviná,4,1,1,2-0,2018-19_cz1.txt
,,FC Fastav Zlín,1,0,1,0-0,2018-19_cz1.txt
15.00,1. FC Slovácko,Sigma Olomouc,3,1,1,1-0,2018-19_cz1.txt
18.00,FK Teplice,AC Sparta Praha,0,4,2,0-4,2018-19_cz1.txt
18.00,Bohemians Praha 1905,Baník Ostrava,0,1,2,0-0,2018-19_cz1.txt
18.30,FK Dukla Praha,1. FC Slovácko,1,2,2,1-1,2018-19_cz1.txt
17.00,Slovan Liberec,Bohemians Praha 1905,1,1,X,0-1,2018-19_cz1.txt
,FC Fastav Zlín,FK Teplice,1,0,1,0-0,2018-19_cz1.txt
,FK Mladá Boleslav,SFC Opava,6,1,1,3-1,2018-19_cz1.txt
19.00,Slavia Praha,FK Jablonec,0,2,2,0-1,2018-19_cz1.txt
18.00,Sigma Olomouc,Baník Ostrava,1,4,2,0-2,2018-19_cz1.txt
18.30,Bohemians Praha 1905,AC Sparta Praha,1,1,X,0-0,2018-19_cz1.txt
,íbram,Slovan Liberec,1,3,2,0-1,2018-19_cz1.txt
,SFC Opava,MFK Karviná,1,3,2,0-1,2018-19_cz1.txt
,Baník Ostrava,FK Dukla Praha,2,0,1,2-0,2018-19_cz1.txt
19.00,FK Teplice,Slavia Praha,0,3,2,0-2,2018-19_cz1.txt
,,FK Mladá Boleslav,6,1,1,2-1,2018-19_cz1.txt
18.00,FK Jablonec,Sigma Olomouc,3,0,1,0-0,2018-19_cz1.txt
18.00,1. FC Slovácko,FC Fastav Zlín,0,4,2,0-2,2018-19_cz1.txt
18.30,AC Sparta Praha,FK Dukla Praha,2,0,1,1-0,2018-19_cz1.txt
15.00,Slovan Liberec,Baník Ostrava,0,0,X,,2018-19_cz1.txt
,FK Mladá Boleslav,FK Teplice,1,1,X,0-0,2018-19_cz1.txt
,SFC Opava,FK Jablonec,2,0,1,1-0,2018-19_cz1.txt
15.00,MFK Karviná,1. FC Slovácko,2,1,1,0-0,2018-19_cz1.txt
18.00,Sigma Olomouc,Bohemians Praha 1905,2,3,2,2-0,2018-19_cz1.txt
18.00,Bohemians Praha 1905,FC Fastav Zlín,0,1,2,0-0,2018-19_cz1.txt
,íbram,Sigma Olomouc,1,0,1,0-0,2018-19_cz1.txt
,,SFC Opava,1,0,1,0-0,2018-19_cz1.txt
15.00,FK Dukla Praha,Slovan Liberec,2,0,1,0-0,2018-19_cz1.txt
,FK Jablonec,FK Mladá Boleslav,0,3,2,0-2,2018-19_cz1.txt
,FK Teplice,MFK Karviná,2,1,1,2-0,2018-19_cz1.txt
18.00,1. FC Slovácko,Slavia Praha,1,3,2,0-2,2018-19_cz1.txt
18.00,Baník Ostrava,AC Sparta Praha,0,1,2,0-0,2018-19_cz1.txt
18.00,FC Fastav Zlín,Baník Ostrava,1,2,2,0-0,2018-19_cz1.txt
15.00,Sigma Olomouc,FK Dukla Praha,1,0,1,1-0,2018-19_cz1.txt
,FK Mladá Boleslav,1. FC Slovácko,5,1,1,1-0,2018-19_cz1.txt
,SFC Opava,FK Teplice,2,0,1,1-0,2018-19_cz1.txt
19.00,AC Sparta Praha,Slovan Liberec,4,1,1,3-0,2018-19_cz1.txt
18.00,Slavia Praha,Bohemians Praha 1905,1,0,1,1-0,2018-19_cz1.txt
17.00,Bohemians Praha 1905,MFK Karviná,0,0,X,,2018-19_cz1.txt
,,AC Sparta Praha,1,0,1,0-0,2018-19_cz1.txt
15.00,FK Dukla Praha,FC Fastav Zlín,1,1,X,1-0,2018-19_cz1.txt
,íbram,FK Mladá Boleslav,3,0,1,1-0,2018-19_cz1.txt
,1. FC Slovácko,SFC Opava,0,2,2,0-1,2018-19_cz1.txt
19.00,Slovan Liberec,Sigma Olomouc,3,0,1,1-0,2018-19_cz1.txt
15.00,Baník Ostrava,Slavia Praha,2,1,1,2-1,2018-19_cz1.txt
18.00,FK Teplice,FK Jablonec,1,2,2,1-1,2018-19_cz1.txt
18.00,FC Fastav Zlín,Slovan Liberec,0,1,2,0-0,2018-19_cz1.txt
17.00,FK Mladá Boleslav,Baník Ostrava,2,2,X,1-0,2018-19_cz1.txt
19.00,Sigma Olomouc,AC Sparta Praha,1,0,1,1-0,2018-19_cz1.txt
15.00,MFK Karviná,FK Dukla Praha,0,2,2,0-0,2018-19_cz1.txt
,SFC Opava,Bohemians Praha 1905,0,1,2,0-0,2018-19_cz1.txt
,FK Jablonec,1. FC Slovácko,2,0,1,2-0,2018-19_cz1.txt
,,FK Teplice,1,0,1,0-0,2018-19_cz1.txt
15.00,Sigma Olomouc,FC Fastav Zlín,1,1,X,0-0,2018-19_cz1.txt
,íbram,FK Jablonec,0,6,2,0-2,2018-19_cz1.txt
,Baník Ostrava,MFK Karviná,1,1,X,0-1,2018-19_cz1.txt
,1. FC Slovácko,FK Teplice,0,2,2,0-2,2018-19_cz1.txt
15.00,FK Dukla Praha,SFC Opava,1,0,1,0-0,2018-19_cz1.txt
17.00,Slovan Liberec,Slavia Praha,0,1,2,0-1,2018-19_cz1.txt
18.00,AC Sparta Praha,FK Mladá Boleslav,4,1,1,3-0,2018-19_cz1.txt
18.00,FK Teplice,Baník Ostrava,0,1,2,0-1,2018-19_cz1.txt
15.00,MFK Karviná,Sigma Olomouc,2,3,2,0-0,2018-19_cz1.txt
,FK Mladá Boleslav,Bohemians Praha 1905,3,0,1,2-0,2018-19_cz1.txt
17.00,FC Fastav Zlín,AC Sparta Praha,1,0,1,0-0,2018-19_cz1.txt
,,1. FC Slovácko,2,1,1,1-0,2018-19_cz1.txt
