time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.00,FC Midtjylland,Hvidovre IF,1,0,1,0-0,2023-24_dk1.txt
16.00,Lyngby BK,FC København,1,2,2,0-1,2023-24_dk1.txt
14.00,Aarhus GF,Vejle BK,1,0,1,1-0,2023-24_dk1.txt
16.00,Odense BK,Randers FC,2,2,X,2-1,2023-24_dk1.txt
18.00,Silkeborg IF,Brøndby IF,1,2,2,1-1,2023-24_dk1.txt
19.00,FC Nordsjælland,Viborg FF,4,1,1,2-1,2023-24_dk1.txt
19.00,Viborg FF,Lyngby BK,2,2,X,1-2,2023-24_dk1.txt
16.00,Vejle BK,FC København,2,3,2,1-2,2023-24_dk1.txt
14.00,FC Midtjylland,Silkeborg IF,2,0,1,2-0,2023-24_dk1.txt
16.00,Randers FC,Hvidovre IF,2,2,X,2-1,2023-24_dk1.txt
18.00,Brøndby IF,Odense BK,1,2,2,0-0,2023-24_dk1.txt
19.00,Aarhus GF,FC Nordsjælland,1,3,2,1-1,2023-24_dk1.txt
19.00,Silkeborg IF,Vejle BK,2,1,1,0-0,2023-24_dk1.txt
16.00,FC København,Randers FC,4,0,1,3-0,2023-24_dk1.txt
14.00,Hvidovre IF,Aarhus GF,0,2,2,0-1,2023-24_dk1.txt
16.00,Lyngby BK,FC Midtjylland,4,1,1,2-0,2023-24_dk1.txt
18.00,FC Nordsjælland,Brøndby IF,3,1,1,0-1,2023-24_dk1.txt
19.00,Odense BK,Viborg FF,1,2,2,0-1,2023-24_dk1.txt
19.00,FC København,Odense BK,2,1,1,0-0,2023-24_dk1.txt
14.00,Randers FC,FC Nordsjælland,0,5,2,0-1,2023-24_dk1.txt
,Vejle BK,FC Midtjylland,1,2,2,0-0,2023-24_dk1.txt
16.00,Brøndby IF,Lyngby BK,3,0,1,1-0,2023-24_dk1.txt
18.00,Aarhus GF,Silkeborg IF,2,2,X,1-0,2023-24_dk1.txt
19.00,Viborg FF,Hvidovre IF,0,0,X,,2023-24_dk1.txt
19.00,Hvidovre IF,FC København,0,2,2,0-1,2023-24_dk1.txt
14.00,Silkeborg IF,FC Nordsjælland,2,0,1,0-0,2023-24_dk1.txt
16.00,Lyngby BK,Randers FC,1,0,1,0-0,2023-24_dk1.txt
18.00,FC Midtjylland,Brøndby IF,0,1,2,0-0,2023-24_dk1.txt
20.00,Odense BK,Aarhus GF,1,1,X,1-1,2023-24_dk1.txt
