home_team,away_team,home_score,away_score,result,city,country,source_file
Hong Kong,Taiwan,2,0,1,So Kon Po,Hong Kong,2003_eaff_championship.txt
Macau,Mongolia,2,0,1,So Kon Po,Hong Kong,2003_eaff_championship.txt
Hong Kong,Macau,3,0,1,So Kon Po,Hong Kong,2003_eaff_championship.txt
Mongolia,Guam,2,0,1,So Kon Po,Hong Kong,2003_eaff_championship.txt
Guam,Macau,0,2,2,So Kon Po,Hong Kong,2003_eaff_championship.txt
Guam,Taiwan,0,7,2,So Kon Po,Hong Kong,2003_eaff_championship.txt
Hong Kong,Mongolia,10,0,1,So Kon Po,Hong Kong,2003_eaff_championship.txt
Hong Kong,Guam,11,0,1,So Kon Po,Hong Kong,2003_eaff_championship.txt
Macau,Taiwan,1,2,2,So Kon Po,Hong Kong,2003_eaff_championship.txt
Hong Kong,South Korea,1,3,2,Tokyo,Japan,2003_eaff_championship.txt
Japan,China PR,2,0,1,Tokyo,Japan,2003_eaff_championship.txt
South Korea,China PR,1,0,1,Saitama,Japan,2003_eaff_championship.txt
China PR,Hong Kong,3,1,1,Yokohama,Japan,2003_eaff_championship.txt
Japan,South Korea,0,0,X,Yokohama,Japan,2003_eaff_championship.txt
Hong Kong,Mongolia,6,0,1,Taipei,Taiwan,2005_eaff_championship.txt
Guam,Hong Kong,0,15,2,Taipei,Taiwan,2005_eaff_championship.txt
North Korea,Mongolia,6,0,1,Taipei,Taiwan,2005_eaff_championship.txt
Mongolia,Guam,4,1,1,Taipei,Taiwan,2005_eaff_championship.txt
Guam,North Korea,0,21,2,Taipei,Taiwan,2005_eaff_championship.txt
Hong Kong,North Korea,0,2,2,Taipei,Taiwan,2005_eaff_championship.txt
North Korea,Japan,1,0,1,Daejeon,South Korea,2005_eaff_championship.txt
South Korea,China PR,1,1,X,Daejeon,South Korea,2005_eaff_championship.txt
Japan,China PR,2,2,X,Daejeon,South Korea,2005_eaff_championship.txt
South Korea,North Korea,0,0,X,Jeonju,South Korea,2005_eaff_championship.txt
China PR,North Korea,2,0,1,Daegu,South Korea,2005_eaff_championship.txt
South Korea,Japan,0,1,2,Daegu,South Korea,2005_eaff_championship.txt
