time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.00,Tala'ea El Gaish SC,National Bank SC,2,0,1,0-0,2023-24_eg1.txt
16.00,ZED FC,Ismaily,1,0,1,1-0,2023-24_eg1.txt
19.00,Al Ahly SC,Al Masry Club,4,0,1,1-0,2023-24_eg1.txt
16.00,El Daklyeh,ENPPI,1,0,1,1-0,2023-24_eg1.txt
19.00,Al Mokawloon,Baladeyet Al Mahalla,0,2,2,0-1,2023-24_eg1.txt
,Smouha Sporting Club,El Gouna,1,1,X,1-0,2023-24_eg1.txt
16.00,Pharco FC,Future FC,0,2,2,0-1,2023-24_eg1.txt
19.00,Ittihad El Iskandary,Ceramica Cleopatra,1,0,1,1-0,2023-24_eg1.txt
,Pyramids FC,Zamalek,2,2,X,1-0,2023-24_eg1.txt
16.00,National Bank SC,Pyramids FC,0,1,2,0-0,2023-24_eg1.txt
19.00,Zamalek,Al Mokawloon,1,1,X,0-0,2023-24_eg1.txt
16.00,Baladeyet Al Mahalla,Smouha Sporting Club,0,2,2,0-1,2023-24_eg1.txt
19.00,Future FC,El Daklyeh,2,1,1,0-1,2023-24_eg1.txt
16.00,ENPPI,Tala'ea El Gaish SC,0,0,X,,2023-24_eg1.txt
19.00,El Gouna,ZED FC,0,1,2,0-0,2023-24_eg1.txt
16.00,Al Masry Club,Pharco FC,1,0,1,0-0,2023-24_eg1.txt
19.00,Ismaily,Ittihad El Iskandary,3,1,1,2-1,2023-24_eg1.txt
16.00,Ceramica Cleopatra,Al Ahly SC,1,2,2,0-1,2023-24_eg1.txt
16.00,ZED FC,Baladeyet Al Mahalla,3,3,X,3-2,2023-24_eg1.txt
19.00,Smouha Sporting Club,Al Mokawloon,2,1,1,2-1,2023-24_eg1.txt
16.00,Ittihad El Iskandary,El Gouna,2,2,X,0-1,2023-24_eg1.txt
19.00,Pharco FC,Ceramica Cleopatra,2,2,X,2-2,2023-24_eg1.txt
16.00,El Daklyeh,Al Masry Club,1,3,2,0-1,2023-24_eg1.txt
19.00,Tala'ea El Gaish SC,Future FC,0,2,2,0-1,2023-24_eg1.txt
,National Bank SC,Zamalek,1,2,2,1-0,2023-24_eg1.txt
19.00,Al Ahly SC,Ismaily,3,1,1,2-0,2023-24_eg1.txt
,Pyramids FC,ENPPI,1,0,1,1-0,2023-24_eg1.txt
16.00,Al Masry Club,Tala'ea El Gaish SC,1,0,1,0-0,2023-24_eg1.txt
20.00,Ceramica Cleopatra,El Daklyeh,4,0,1,4-0,2023-24_eg1.txt
16.00,Baladeyet Al Mahalla,Ittihad El Iskandary,2,2,X,2-1,2023-24_eg1.txt
19.00,ENPPI,National Bank SC,3,1,1,1-0,2023-24_eg1.txt
,Zamalek,Smouha Sporting Club,5,1,1,3-0,2023-24_eg1.txt
16.00,Al Mokawloon,ZED FC,3,3,X,2-1,2023-24_eg1.txt
19.00,Future FC,Pyramids FC,0,1,2,0-0,2023-24_eg1.txt
,Ismaily,Pharco FC,0,1,2,0-0,2023-24_eg1.txt
17.00,El Gouna,Al Ahly SC,1,1,X,1-1,2023-24_eg1.txt
16.00,Al Masry Club,Pyramids FC,2,3,2,0-1,2023-24_eg1.txt
19.00,ENPPI,Zamalek,2,1,1,1-1,2023-24_eg1.txt
16.00,Pharco FC,El Gouna,0,1,2,0-1,2023-24_eg1.txt
19.00,Ittihad El Iskandary,Al Mokawloon,3,2,1,2-2,2023-24_eg1.txt
,ZED FC,Smouha Sporting Club,1,1,X,0-0,2023-24_eg1.txt
19.00,Tala'ea El Gaish SC,Ceramica Cleopatra,1,0,1,1-0,2023-24_eg1.txt
16.00,El Daklyeh,Ismaily,0,0,X,,2023-24_eg1.txt
19.00,National Bank SC,Future FC,1,2,2,1-1,2023-24_eg1.txt
19.00,Al Ahly SC,Baladeyet Al Mahalla,5,1,1,3-0,2023-24_eg1.txt
16.00,Smouha Sporting Club,Ittihad El Iskandary,0,1,2,0-0,2023-24_eg1.txt
19.00,Ceramica Cleopatra,Pyramids FC,2,0,1,1-0,2023-24_eg1.txt
,Zamalek,ZED FC,1,2,2,1-1,2023-24_eg1.txt
16.00,El Gouna,El Daklyeh,2,0,1,2-0,2023-24_eg1.txt
19.00,Al Mokawloon,Al Ahly SC,1,2,2,0-1,2023-24_eg1.txt
,Baladeyet Al Mahalla,Pharco FC,3,2,1,3-0,2023-24_eg1.txt
16.00,Ismaily,Tala'ea El Gaish SC,2,3,2,1-1,2023-24_eg1.txt
,Future FC,ENPPI,0,1,2,0-1,2023-24_eg1.txt
19.00,Al Masry Club,National Bank SC,0,4,2,0-2,2023-24_eg1.txt
16.00,Pyramids FC,Ismaily,2,1,1,0-1,2023-24_eg1.txt
19.00,Al Ahly SC,Smouha Sporting Club,0,0,X,,2023-24_eg1.txt
19.00,Future FC,Zamalek,0,2,2,0-2,2023-24_eg1.txt
16.00,Ittihad El Iskandary,ZED FC,0,0,X,,2023-24_eg1.txt
19.00,Tala'ea El Gaish SC,El Gouna,1,1,X,0-1,2023-24_eg1.txt
,Pharco FC,Al Mokawloon,1,1,X,1-0,2023-24_eg1.txt
16.00,El Daklyeh,Baladeyet Al Mahalla,0,0,X,,2023-24_eg1.txt
,ENPPI,Al Masry Club,1,2,2,0-1,2023-24_eg1.txt
19.00,National Bank SC,Ceramica Cleopatra,0,1,2,0-0,2023-24_eg1.txt
19.00,Smouha Sporting Club,Pharco FC,2,1,1,0-1,2023-24_eg1.txt
16.00,Baladeyet Al Mahalla,Tala'ea El Gaish SC,0,2,2,0-2,2023-24_eg1.txt
19.00,Ceramica Cleopatra,ENPPI,4,2,1,1-0,2023-24_eg1.txt
,Ismaily,National Bank SC,2,1,1,1-0,2023-24_eg1.txt
19.00,Al Mokawloon,El Daklyeh,0,0,X,,2023-24_eg1.txt
22.00,El Gouna,Pyramids FC,0,4,2,0-1,2023-24_eg1.txt
16.00,Al Masry Club,Future FC,1,2,2,0-1,2023-24_eg1.txt
19.00,ZED FC,Al Ahly SC,0,1,2,0-0,2023-24_eg1.txt
,Zamalek,Ittihad El Iskandary,3,0,1,2-0,2023-24_eg1.txt
16.00,National Bank SC,El Gouna,2,3,2,0-0,2023-24_eg1.txt
,Future FC,Ceramica Cleopatra,1,1,X,1-0,2023-24_eg1.txt
19.00,Pyramids FC,Baladeyet Al Mahalla,2,2,X,1-1,2023-24_eg1.txt
,Al Masry Club,Zamalek,1,0,1,1-0,2023-24_eg1.txt
16.00,El Daklyeh,Smouha Sporting Club,0,0,X,,2023-24_eg1.txt
18.00,Tala'ea El Gaish SC,Al Mokawloon,1,2,2,1-1,2023-24_eg1.txt
,Pharco FC,ZED FC,1,2,2,1-0,2023-24_eg1.txt
19.00,ENPPI,Ismaily,1,0,1,1-0,2023-24_eg1.txt
19.00,Al Ahly SC,Ittihad El Iskandary,4,1,1,3-0,2023-24_eg1.txt
16.00,El Gouna,ENPPI,1,2,2,0-1,2023-24_eg1.txt
19.00,Baladeyet Al Mahalla,National Bank SC,0,2,2,0-0,2023-24_eg1.txt
19.00,Ittihad El Iskandary,Pharco FC,3,1,1,2-0,2023-24_eg1.txt
