time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.00,FC Flora,Harju JK,4,0,1,2-0,2023_ee1.txt
17.00,JK Tallinna Kalev,JK Nõmme Kalju,0,0,X,,2023_ee1.txt
14.00,Paide Linnameeskond,JK Narva Trans,2,1,1,1-1,2023_ee1.txt
16.00,FCI Levadia,Pärnu JK Vaprus,0,0,X,,2023_ee1.txt
19.45,FC Kuressaare,JK Tammeka,3,1,1,1-1,2023_ee1.txt
18.00,FC Kuressaare,Harju JK,1,1,X,0-0,2023_ee1.txt
18.00,Paide Linnameeskond,FCI Levadia,1,1,X,0-0,2023_ee1.txt
18.00,JK Tammeka,JK Tallinna Kalev,1,2,2,0-1,2023_ee1.txt
,Pärnu JK Vaprus,JK Narva Trans,1,0,1,1-0,2023_ee1.txt
19.00,JK Nõmme Kalju,FC Flora,2,2,X,2-0,2023_ee1.txt
18.00,FC Flora,JK Narva Trans,5,0,1,2-0,2023_ee1.txt
18.00,Harju JK,JK Tallinna Kalev,0,2,2,0-1,2023_ee1.txt
,FCI Levadia,JK Tammeka,3,0,1,2-0,2023_ee1.txt
19.00,Paide Linnameeskond,FC Kuressaare,0,1,2,0-0,2023_ee1.txt
18.00,Pärnu JK Vaprus,JK Nõmme Kalju,1,1,X,0-1,2023_ee1.txt
17.00,JK Narva Trans,FCI Levadia,0,2,2,0-1,2023_ee1.txt
19.30,JK Tallinna Kalev,FC Flora,0,2,2,0-0,2023_ee1.txt
12.30,FC Kuressaare,Pärnu JK Vaprus,1,2,2,0-0,2023_ee1.txt
14.30,Harju JK,JK Nõmme Kalju,1,2,2,0-0,2023_ee1.txt
17.00,JK Tammeka,Paide Linnameeskond,0,0,X,,2023_ee1.txt
14.30,FC Flora,JK Tammeka,1,1,X,0-1,2023_ee1.txt
17.00,Paide Linnameeskond,Harju JK,1,0,1,1-0,2023_ee1.txt
19.30,JK Nõmme Kalju,JK Narva Trans,2,0,1,2-0,2023_ee1.txt
14.30,Pärnu JK Vaprus,JK Tallinna Kalev,0,2,2,0-1,2023_ee1.txt
19.00,FCI Levadia,FC Kuressaare,4,1,1,3-1,2023_ee1.txt
14.30,Harju JK,JK Narva Trans,1,2,2,1-1,2023_ee1.txt
17.00,FC Kuressaare,FC Flora,1,4,2,1-3,2023_ee1.txt
19.30,Pärnu JK Vaprus,JK Tammeka,1,0,1,0-0,2023_ee1.txt
14.30,JK Nõmme Kalju,Paide Linnameeskond,1,1,X,0-0,2023_ee1.txt
19.00,JK Tallinna Kalev,FCI Levadia,0,2,2,0-2,2023_ee1.txt
14.30,Paide Linnameeskond,JK Tallinna Kalev,0,1,2,0-1,2023_ee1.txt
17.00,FCI Levadia,Harju JK,6,1,1,3-1,2023_ee1.txt
12.30,JK Tammeka,JK Nõmme Kalju,0,2,2,0-1,2023_ee1.txt
14.30,FC Flora,Pärnu JK Vaprus,4,0,1,4-0,2023_ee1.txt
17.00,JK Narva Trans,FC Kuressaare,0,1,2,0-0,2023_ee1.txt
19.30,JK Narva Trans,JK Tallinna Kalev,2,1,1,0-1,2023_ee1.txt
12.30,Harju JK,JK Tammeka,2,3,2,2-2,2023_ee1.txt
14.30,FC Flora,FCI Levadia,0,2,2,0-0,2023_ee1.txt
17.00,FC Kuressaare,JK Nõmme Kalju,2,0,1,1-0,2023_ee1.txt
19.00,Pärnu JK Vaprus,Paide Linnameeskond,2,2,X,2-1,2023_ee1.txt
18.00,JK Tammeka,JK Narva Trans,1,1,X,0-1,2023_ee1.txt
,Harju JK,Pärnu JK Vaprus,1,2,2,1-0,2023_ee1.txt
14.00,JK Tallinna Kalev,FC Kuressaare,0,3,2,0-1,2023_ee1.txt
17.00,Paide Linnameeskond,FC Flora,1,3,2,0-2,2023_ee1.txt
19.30,JK Nõmme Kalju,FCI Levadia,0,1,2,0-0,2023_ee1.txt
18.00,JK Narva Trans,Harju JK,2,0,1,0-0,2023_ee1.txt
20.00,JK Nõmme Kalju,JK Tallinna Kalev,1,2,2,0-0,2023_ee1.txt
18.00,JK Tammeka,FC Flora,0,3,2,0-3,2023_ee1.txt
19.00,FCI Levadia,Paide Linnameeskond,2,0,1,2-0,2023_ee1.txt
20.00,Pärnu JK Vaprus,FC Kuressaare,1,2,2,0-0,2023_ee1.txt
17.00,Harju JK,FCI Levadia,2,1,1,0-1,2023_ee1.txt
12.30,FC Kuressaare,Paide Linnameeskond,1,4,2,0-2,2023_ee1.txt
14.30,FC Flora,JK Nõmme Kalju,3,1,1,1-1,2023_ee1.txt
17.00,Pärnu JK Vaprus,JK Narva Trans,2,0,1,2-0,2023_ee1.txt
19.00,JK Tallinna Kalev,JK Tammeka,1,1,X,0-0,2023_ee1.txt
19.00,JK Nõmme Kalju,Harju JK,1,1,X,1-0,2023_ee1.txt
17.00,Pärnu JK Vaprus,JK Tallinna Kalev,0,2,2,0-0,2023_ee1.txt
19.30,Paide Linnameeskond,JK Tammeka,0,0,X,,2023_ee1.txt
14.30,FC Kuressaare,FC Flora,0,3,2,0-2,2023_ee1.txt
17.00,JK Narva Trans,FCI Levadia,0,1,2,0-1,2023_ee1.txt
19.00,Harju JK,FC Flora,0,1,2,0-1,2023_ee1.txt
17.00,JK Narva Trans,JK Nõmme Kalju,0,2,2,0-1,2023_ee1.txt
19.30,FC Kuressaare,JK Tallinna Kalev,1,2,2,1-0,2023_ee1.txt
14.30,JK Tammeka,FCI Levadia,2,2,X,2-1,2023_ee1.txt
17.00,Paide Linnameeskond,Pärnu JK Vaprus,0,1,2,0-0,2023_ee1.txt
18.00,JK Narva Trans,FC Flora,0,1,2,0-1,2023_ee1.txt
20.00,Harju JK,FC Kuressaare,1,1,X,1-1,2023_ee1.txt
18.00,JK Tallinna Kalev,Paide Linnameeskond,1,1,X,0-0,2023_ee1.txt
,JK Nõmme Kalju,JK Tammeka,1,2,2,1-0,2023_ee1.txt
19.00,Pärnu JK Vaprus,FCI Levadia,0,0,X,,2023_ee1.txt
17.00,JK Tammeka,FC Kuressaare,0,0,X,,2023_ee1.txt
19.30,FC Flora,JK Tallinna Kalev,3,0,1,2-0,2023_ee1.txt
14.30,FCI Levadia,JK Nõmme Kalju,2,1,1,2-0,2023_ee1.txt
17.00,Pärnu JK Vaprus,Harju JK,0,1,2,0-1,2023_ee1.txt
19.00,Paide Linnameeskond,JK Narva Trans,1,2,2,1-1,2023_ee1.txt
