time,home_team,away_team,home_score,away_score,result,ht_score,source_file
17.00,07 Vestur,ÍF Fuglafjørður,1,0,1,0-0,2023_fo1.txt
,Streymur,AB Argir,2,0,1,2-0,2023_fo1.txt
,HB Tórshavn,B68 Toftir,4,1,1,3-1,2023_fo1.txt
,KÍ Klaksvík,TB Tvøroyri,7,1,1,3-0,2023_fo1.txt
,Víkingur,B36 Tórshavn,0,3,2,0-1,2023_fo1.txt
16.30,TB Tvøroyri,HB Tórshavn,0,0,X,,2023_fo1.txt
17.00,AB Argir,KÍ Klaksvík,0,2,2,0-2,2023_fo1.txt
,B36 Tórshavn,07 Vestur,3,2,1,0-1,2023_fo1.txt
,B68 Toftir,Víkingur,3,3,X,2-1,2023_fo1.txt
18.00,HB Tórshavn,Víkingur,1,1,X,1-0,2023_fo1.txt
16.30,TB Tvøroyri,ÍF Fuglafjørður,0,1,2,0-1,2023_fo1.txt
17.00,AB Argir,07 Vestur,1,2,2,0-0,2023_fo1.txt
,Streymur,B36 Tórshavn,1,2,2,1-1,2023_fo1.txt
18.00,B68 Toftir,KÍ Klaksvík,0,5,2,0-2,2023_fo1.txt
17.00,Víkingur,TB Tvøroyri,7,0,1,1-0,2023_fo1.txt
15.00,07 Vestur,B68 Toftir,1,1,X,0-1,2023_fo1.txt
,ÍF Fuglafjørður,AB Argir,2,0,1,1-0,2023_fo1.txt
18.00,B36 Tórshavn,HB Tórshavn,0,2,2,0-1,2023_fo1.txt
13.00,B36 Tórshavn,B68 Toftir,2,0,1,1-0,2023_fo1.txt
15.00,ÍF Fuglafjørður,Víkingur,0,1,2,0-0,2023_fo1.txt
,Streymur,TB Tvøroyri,2,1,1,2-1,2023_fo1.txt
17.00,07 Vestur,KÍ Klaksvík,1,3,2,0-2,2023_fo1.txt
18.00,HB Tórshavn,AB Argir,4,0,1,3-0,2023_fo1.txt
15.00,AB Argir,B36 Tórshavn,0,2,2,0-1,2023_fo1.txt
,HB Tórshavn,ÍF Fuglafjørður,4,1,1,2-1,2023_fo1.txt
,KÍ Klaksvík,Víkingur,2,0,1,0-0,2023_fo1.txt
,TB Tvøroyri,07 Vestur,2,1,1,1-0,2023_fo1.txt
14.00,B36 Tórshavn,KÍ Klaksvík,2,3,2,1-2,2023_fo1.txt
15.00,07 Vestur,HB Tórshavn,1,3,2,1-1,2023_fo1.txt
,AB Argir,TB Tvøroyri,0,0,X,,2023_fo1.txt
17.00,ÍF Fuglafjørður,B68 Toftir,1,3,2,0-1,2023_fo1.txt
15.00,07 Vestur,Víkingur,1,2,2,1-0,2023_fo1.txt
,Streymur,HB Tórshavn,0,3,2,0-2,2023_fo1.txt
16.00,B68 Toftir,AB Argir,1,0,1,0-0,2023_fo1.txt
18.00,TB Tvøroyri,B36 Tórshavn,0,4,2,0-2,2023_fo1.txt
18.00,KÍ Klaksvík,ÍF Fuglafjørður,1,0,1,0-0,2023_fo1.txt
,Streymur,07 Vestur,0,5,2,0-1,2023_fo1.txt
,HB Tórshavn,KÍ Klaksvík,0,1,2,0-0,2023_fo1.txt
16.00,B68 Toftir,TB Tvøroyri,1,1,X,1-1,2023_fo1.txt
18.00,B36 Tórshavn,ÍF Fuglafjørður,5,1,1,2-0,2023_fo1.txt
19.00,Víkingur,AB Argir,5,0,1,4-0,2023_fo1.txt
,Streymur,ÍF Fuglafjørður,2,1,1,2-0,2023_fo1.txt
15.00,07 Vestur,KÍ Klaksvík,0,3,2,0-2,2023_fo1.txt
,AB Argir,Víkingur,0,4,2,0-2,2023_fo1.txt
,HB Tórshavn,TB Tvøroyri,4,0,1,0-0,2023_fo1.txt
16.00,B68 Toftir,B36 Tórshavn,0,1,2,0-0,2023_fo1.txt
15.00,ÍF Fuglafjørður,KÍ Klaksvík,1,7,2,0-4,2023_fo1.txt
,Víkingur,B68 Toftir,1,1,X,1-1,2023_fo1.txt
15.30,B36 Tórshavn,AB Argir,2,1,1,1-1,2023_fo1.txt
16.00,07 Vestur,TB Tvøroyri,2,0,1,0-0,2023_fo1.txt
19.00,KÍ Klaksvík,AB Argir,2,1,1,1-0,2023_fo1.txt
15.00,B68 Toftir,HB Tórshavn,0,2,2,0-0,2023_fo1.txt
,ÍF Fuglafjørður,07 Vestur,1,2,2,0-1,2023_fo1.txt
,Streymur,TB Tvøroyri,0,1,2,0-0,2023_fo1.txt
16.00,B36 Tórshavn,Víkingur,2,1,1,1-1,2023_fo1.txt
13.00,07 Vestur,Víkingur,3,2,1,2-1,2023_fo1.txt
,Streymur,B68 Toftir,2,0,1,2-0,2023_fo1.txt
,KÍ Klaksvík,TB Tvøroyri,1,0,1,1-0,2023_fo1.txt
18.00,HB Tórshavn,B36 Tórshavn,1,0,1,0-0,2023_fo1.txt
