home_team,away_team,home_score,away_score,result,city,country,source_file
Belgium,United States,0,3,2,Montevideo,Uruguay,1930_fifa_world_cup.txt
France,Mexico,4,1,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Brazil,Yugoslavia,1,2,2,Montevideo,Uruguay,1930_fifa_world_cup.txt
Peru,Romania,1,3,2,Montevideo,Uruguay,1930_fifa_world_cup.txt
Argentina,France,1,0,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Chile,Mexico,3,0,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Bolivia,Yugoslavia,0,4,2,Montevideo,Uruguay,1930_fifa_world_cup.txt
Paraguay,United States,0,3,2,Montevideo,Uruguay,1930_fifa_world_cup.txt
Uruguay,Peru,1,0,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Argentina,Mexico,6,3,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Chile,France,1,0,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Belgium,Paraguay,0,1,2,Montevideo,Uruguay,1930_fifa_world_cup.txt
Bolivia,Brazil,0,4,2,Montevideo,Uruguay,1930_fifa_world_cup.txt
Uruguay,Romania,4,0,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Argentina,Chile,3,1,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Argentina,United States,6,1,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Uruguay,Yugoslavia,6,1,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Uruguay,Argentina,4,2,1,Montevideo,Uruguay,1930_fifa_world_cup.txt
Argentina,Sweden,2,3,2,Bologna,Italy,1934_fifa_world_cup.txt
Austria,France,3,2,1,Turin,Italy,1934_fifa_world_cup.txt
Belgium,Germany,2,5,2,Florence,Italy,1934_fifa_world_cup.txt
Brazil,Spain,1,3,2,Genoa,Italy,1934_fifa_world_cup.txt
Czechoslovakia,Romania,2,1,1,Trieste,Italy,1934_fifa_world_cup.txt
Egypt,Hungary,2,4,2,Naples,Italy,1934_fifa_world_cup.txt
Italy,United States,7,1,1,Rome,Italy,1934_fifa_world_cup.txt
Netherlands,Switzerland,2,3,2,Milan,Italy,1934_fifa_world_cup.txt
Austria,Hungary,2,1,1,Bologna,Italy,1934_fifa_world_cup.txt
Czechoslovakia,Switzerland,3,2,1,Turin,Italy,1934_fifa_world_cup.txt
Germany,Sweden,2,1,1,Milan,Italy,1934_fifa_world_cup.txt
Italy,Spain,1,1,X,Florence,Italy,1934_fifa_world_cup.txt
Italy,Spain,1,0,1,Florence,Italy,1934_fifa_world_cup.txt
Czechoslovakia,Germany,3,1,1,Rome,Italy,1934_fifa_world_cup.txt
Italy,Austria,1,0,1,Milan,Italy,1934_fifa_world_cup.txt
Austria,Germany,2,3,2,Naples,Italy,1934_fifa_world_cup.txt
Italy,Czechoslovakia,2,1,1,Rome,Italy,1934_fifa_world_cup.txt
Germany,Switzerland,1,1,X,Paris,France,1938_fifa_world_cup.txt
Brazil,Poland,6,5,1,Strasbourg,France,1938_fifa_world_cup.txt
Cuba,Romania,3,3,X,Toulouse,France,1938_fifa_world_cup.txt
Czechoslovakia,Netherlands,3,0,1,Le Havre,France,1938_fifa_world_cup.txt
France,Belgium,3,1,1,Colombes,France,1938_fifa_world_cup.txt
Hungary,Indonesia,6,0,1,Reims,France,1938_fifa_world_cup.txt
Italy,Norway,2,1,1,Marseille,France,1938_fifa_world_cup.txt
Cuba,Romania,2,1,1,Toulouse,France,1938_fifa_world_cup.txt
