time,home_team,away_team,home_score,away_score,result,ht_score,source_file
18.00,IFK Mariehamn,Ilves Tampere,1,1,X,1-0,2023_fi1.txt
,KTP,AC Oulu,0,2,2,0-1,2023_fi1.txt
,Kuopion PS,Inter Turku,1,2,2,1-1,2023_fi1.txt
,SJK Seinäjoki,Haka Valkeakoski,2,1,1,1-0,2023_fi1.txt
,Vaasan PS,FC Lahti,0,0,X,,2023_fi1.txt
18.15,HJK Helsinki,FC Honka,2,0,1,1-0,2023_fi1.txt
18.00,Haka Valkeakoski,AC Oulu,2,2,X,2-0,2023_fi1.txt
,KTP,Kuopion PS,0,0,X,,2023_fi1.txt
13.00,Ilves Tampere,Inter Turku,2,1,1,2-1,2023_fi1.txt
17.00,FC Honka,SJK Seinäjoki,0,0,X,,2023_fi1.txt
18.30,Vaasan PS,HJK Helsinki,0,1,2,0-0,2023_fi1.txt
18.30,IFK Mariehamn,FC Lahti,2,3,2,1-0,2023_fi1.txt
17.00,KTP,IFK Mariehamn,2,1,1,1-0,2023_fi1.txt
,SJK Seinäjoki,FC Lahti,0,0,X,,2023_fi1.txt
16.00,Kuopion PS,Ilves Tampere,1,0,1,0-0,2023_fi1.txt
18.30,HJK Helsinki,AC Oulu,1,1,X,0-0,2023_fi1.txt
18.00,Haka Valkeakoski,FC Honka,1,1,X,0-0,2023_fi1.txt
18.00,Inter Turku,Vaasan PS,0,2,2,0-1,2023_fi1.txt
15.00,HJK Helsinki,Haka Valkeakoski,2,0,1,2-0,2023_fi1.txt
17.00,AC Oulu,SJK Seinäjoki,0,3,2,0-2,2023_fi1.txt
,Ilves Tampere,KTP,1,0,1,1-0,2023_fi1.txt
,Vaasan PS,FC Honka,0,0,X,,2023_fi1.txt
16.00,IFK Mariehamn,Kuopion PS,0,2,2,0-0,2023_fi1.txt
18.00,FC Lahti,Inter Turku,1,2,2,0-1,2023_fi1.txt
18.00,FC Honka,FC Lahti,3,0,1,2-0,2023_fi1.txt
,Ilves Tampere,AC Oulu,1,2,2,1-0,2023_fi1.txt
,Haka Valkeakoski,KTP,4,2,1,1-2,2023_fi1.txt
,SJK Seinäjoki,Inter Turku,2,1,1,1-0,2023_fi1.txt
,Vaasan PS,IFK Mariehamn,2,1,1,1-0,2023_fi1.txt
18.15,Kuopion PS,HJK Helsinki,2,1,1,1-1,2023_fi1.txt
