time,home_team,away_team,home_score,away_score,result,ht_score,source_file
20.30,Stade de Reims,Paris Saint-Germain,2,2,X,2-1,2014-15_fr1.txt
21.00,SC Bastia,Olympique Marseille,3,3,X,1-2,2014-15_fr1.txt
,Évian Thonon Gaillard,SM Caen,0,3,2,0-3,2014-15_fr1.txt
,EA Guingamp,AS Saint-Étienne,0,2,2,0-1,2014-15_fr1.txt
,Lille OSC,FC Metz,0,0,X,,2014-15_fr1.txt
,Montpellier HSC,Girondins Bordeaux,0,1,2,0-1,2014-15_fr1.txt
,FC Nantes,RC Lens,1,0,1,0-0,2014-15_fr1.txt
,OGC Nice,Toulouse FC,3,2,1,1-2,2014-15_fr1.txt
17.00,Olympique Lyonnais,Stade Rennais,2,0,1,0-0,2014-15_fr1.txt
21.00,AS Monaco,FC Lorient,1,2,2,0-1,2014-15_fr1.txt
20.30,SM Caen,Lille OSC,0,1,2,0-0,2014-15_fr1.txt
17.00,Paris Saint-Germain,SC Bastia,2,0,1,1-0,2014-15_fr1.txt
20.00,RC Lens,EA Guingamp,0,1,2,0-0,2014-15_fr1.txt
,FC Lorient,OGC Nice,0,0,X,,2014-15_fr1.txt
,FC Metz,FC Nantes,1,1,X,1-1,2014-15_fr1.txt
,Stade Rennais,Évian Thonon Gaillard,6,2,1,3-1,2014-15_fr1.txt
,Toulouse FC,Olympique Lyonnais,2,1,1,2-0,2014-15_fr1.txt
17.00,Olympique Marseille,Montpellier HSC,0,2,2,0-1,2014-15_fr1.txt
,AS Saint-Étienne,Stade de Reims,3,1,1,0-1,2014-15_fr1.txt
21.00,Girondins Bordeaux,AS Monaco,4,1,1,0-1,2014-15_fr1.txt
20.30,Évian Thonon Gaillard,Paris Saint-Germain,0,0,X,,2014-15_fr1.txt
17.00,EA Guingamp,Olympique Marseille,0,1,2,0-0,2014-15_fr1.txt
20.00,SC Bastia,Toulouse FC,1,0,1,1-0,2014-15_fr1.txt
,Lille OSC,FC Lorient,2,0,1,0-0,2014-15_fr1.txt
,Montpellier HSC,FC Metz,2,0,1,1-0,2014-15_fr1.txt
,OGC Nice,Girondins Bordeaux,1,3,2,1-1,2014-15_fr1.txt
,Stade de Reims,SM Caen,0,2,2,0-0,2014-15_fr1.txt
14.00,Olympique Lyonnais,RC Lens,0,1,2,0-1,2014-15_fr1.txt
17.00,AS Saint-Étienne,Stade Rennais,0,0,X,,2014-15_fr1.txt
21.00,FC Nantes,AS Monaco,0,1,2,0-1,2014-15_fr1.txt
20.30,Olympique Marseille,OGC Nice,4,0,1,2-0,2014-15_fr1.txt
17.00,AS Monaco,Lille OSC,1,1,X,0-1,2014-15_fr1.txt
20.00,SM Caen,Stade Rennais,0,1,2,0-0,2014-15_fr1.txt
,RC Lens,Stade de Reims,4,2,1,1-1,2014-15_fr1.txt
,FC Lorient,EA Guingamp,4,0,1,0-0,2014-15_fr1.txt
,FC Nantes,Montpellier HSC,1,0,1,0-0,2014-15_fr1.txt
,Toulouse FC,Évian Thonon Gaillard,1,0,1,0-0,2014-15_fr1.txt
14.00,Girondins Bordeaux,SC Bastia,1,1,X,0-1,2014-15_fr1.txt
17.00,FC Metz,Olympique Lyonnais,2,1,1,0-0,2014-15_fr1.txt
21.00,Paris Saint-Germain,AS Saint-Étienne,5,0,1,2-0,2014-15_fr1.txt
20.30,Olympique Lyonnais,AS Monaco,2,1,1,1-1,2014-15_fr1.txt
17.00,Stade Rennais,Paris Saint-Germain,1,1,X,0-1,2014-15_fr1.txt
20.00,SC Bastia,RC Lens,1,1,X,0-1,2014-15_fr1.txt
,Montpellier HSC,FC Lorient,1,0,1,1-0,2014-15_fr1.txt
,OGC Nice,FC Metz,1,0,1,0-0,2014-15_fr1.txt
,Stade de Reims,Toulouse FC,2,0,1,1-0,2014-15_fr1.txt
,AS Saint-Étienne,SM Caen,1,0,1,0-0,2014-15_fr1.txt
14.00,Lille OSC,FC Nantes,2,0,1,0-0,2014-15_fr1.txt
17.00,EA Guingamp,Girondins Bordeaux,2,1,1,2-0,2014-15_fr1.txt
21.00,Évian Thonon Gaillard,Olympique Marseille,1,3,2,0-2,2014-15_fr1.txt
20.30,Girondins Bordeaux,Évian Thonon Gaillard,2,1,1,1-0,2014-15_fr1.txt
17.00,Olympique Marseille,Stade Rennais,3,0,1,0-0,2014-15_fr1.txt
20.00,FC Lorient,Stade de Reims,0,1,2,0-0,2014-15_fr1.txt
,FC Metz,SC Bastia,3,1,1,1-1,2014-15_fr1.txt
,FC Nantes,OGC Nice,2,1,1,2-0,2014-15_fr1.txt
,Toulouse FC,SM Caen,3,3,X,1-1,2014-15_fr1.txt
14.00,Lille OSC,Montpellier HSC,0,0,X,,2014-15_fr1.txt
17.00,RC Lens,AS Saint-Étienne,0,1,2,0-0,2014-15_fr1.txt
