home_team,away_team,home_score,away_score,result,city,country,source_file
Scotland,England,0,0,X,Glasgow,Scotland,1872_friendly.txt
England,Scotland,4,2,1,London,England,1873_friendly.txt
Scotland,England,2,1,1,Glasgow,Scotland,1874_friendly.txt
England,Scotland,2,2,X,London,England,1875_friendly.txt
Scotland,England,3,0,1,Glasgow,Scotland,1876_friendly.txt
Scotland,Wales,4,0,1,Glasgow,Scotland,1876_friendly.txt
England,Scotland,1,3,2,London,England,1877_friendly.txt
Wales,Scotland,0,2,2,Wrexham,Wales,1877_friendly.txt
Scotland,England,7,2,1,Glasgow,Scotland,1878_friendly.txt
Scotland,Wales,9,0,1,Glasgow,Scotland,1878_friendly.txt
England,Wales,2,1,1,London,England,1879_friendly.txt
England,Scotland,5,4,1,London,England,1879_friendly.txt
Wales,Scotland,0,3,2,Wrexham,Wales,1879_friendly.txt
Scotland,England,5,4,1,Glasgow,Scotland,1880_friendly.txt
Wales,England,2,3,2,Wrexham,Wales,1880_friendly.txt
Scotland,Wales,5,1,1,Glasgow,Scotland,1880_friendly.txt
England,Wales,0,1,2,Blackburn,England,1881_friendly.txt
England,Scotland,1,6,2,London,England,1881_friendly.txt
Wales,Scotland,1,5,2,Wrexham,Wales,1881_friendly.txt
Northern Ireland,England,0,13,2,Belfast,Ireland,1882_friendly.txt
Wales,Northern Ireland,7,1,1,Wrexham,Wales,1882_friendly.txt
Scotland,England,5,1,1,Glasgow,Scotland,1882_friendly.txt
Wales,England,5,3,1,Wrexham,Wales,1882_friendly.txt
Scotland,Wales,5,0,1,Glasgow,Scotland,1882_friendly.txt
England,Wales,5,0,1,London,England,1883_friendly.txt
England,Northern Ireland,7,0,1,Liverpool,England,1883_friendly.txt
England,Scotland,2,3,2,Sheffield,England,1883_friendly.txt
Wales,Scotland,0,3,2,Wrexham,Wales,1883_friendly.txt
Northern Ireland,Wales,1,1,X,Belfast,Ireland,1883_friendly.txt
United States,Canada,0,1,2,Newark,United States,1885_friendly.txt
United States,Canada,3,2,1,Newark,United States,1886_friendly.txt
Scotland,Canada,4,0,1,Glasgow,Scotland,1888_friendly.txt
Uruguay,Argentina,0,6,2,Montevideo,Uruguay,1902_friendly.txt
Austria,Hungary,5,0,1,Vienna,Austria,1902_friendly.txt
Hungary,Czechoslovakia,2,1,1,Budapest,Hungary,1903_friendly.txt
Hungary,Austria,3,2,1,Budapest,Hungary,1903_friendly.txt
Argentina,Uruguay,2,3,2,Buenos Aires,Argentina,1903_friendly.txt
Austria,Hungary,4,2,1,Vienna,Austria,1903_friendly.txt
Hungary,Austria,3,0,1,Budapest,Hungary,1904_friendly.txt
Austria,Hungary,5,4,1,Vienna,Austria,1904_friendly.txt
France,Switzerland,1,0,1,Paris,France,1905_friendly.txt
Hungary,Austria,0,0,X,Budapest,Hungary,1905_friendly.txt
Belgium,Netherlands,1,4,2,Antwerp,Belgium,1905_friendly.txt
Belgium,France,7,0,1,Brussels,Belgium,1905_friendly.txt
Netherlands,Belgium,4,0,1,Rotterdam,Netherlands,1905_friendly.txt
Guyana,Trinidad and Tobago,1,4,2,Georgetown,British Guiana,1905_friendly.txt
