time,home_team,away_team,home_score,away_score,result,ht_score,source_file
15.00,FC Samtredia,FC Telavi,1,0,1,0-0,2023_ge1.txt
19.00,Dila Gori,Dinamo Tbilisi,1,2,2,1-1,2023_ge1.txt
15.00,FC Gagra,Samgurali Tskhaltubo,3,4,2,1-2,2023_ge1.txt
17.00,FC Saburtalo,Torpedo Kutaisi,0,0,X,,2023_ge1.txt
20.00,Dinamo Batumi,Shukura Kobuleti,2,1,1,1-0,2023_ge1.txt
20.00,Dinamo Batumi,FC Saburtalo,3,1,1,0-1,2023_ge1.txt
14.30,Shukura Kobuleti,Samgurali Tskhaltubo,2,1,1,1-0,2023_ge1.txt
15.30,Torpedo Kutaisi,Dila Gori,0,0,X,,2023_ge1.txt
17.00,FC Telavi,FC Gagra,0,0,X,,2023_ge1.txt
19.00,Dinamo Tbilisi,FC Samtredia,4,0,1,2-0,2023_ge1.txt
14.30,FC Gagra,Dinamo Tbilisi,3,5,2,1-2,2023_ge1.txt
15.00,Samgurali Tskhaltubo,FC Telavi,1,0,1,1-0,2023_ge1.txt
15.30,FC Samtredia,Torpedo Kutaisi,0,2,2,0-1,2023_ge1.txt
17.00,FC Saburtalo,Shukura Kobuleti,2,1,1,2-1,2023_ge1.txt
20.00,Dila Gori,Dinamo Batumi,1,1,X,1-0,2023_ge1.txt
15.00,Shukura Kobuleti,FC Telavi,1,2,2,1-1,2023_ge1.txt
15.30,Torpedo Kutaisi,FC Gagra,3,1,1,2-1,2023_ge1.txt
17.00,FC Saburtalo,Dila Gori,0,0,X,,2023_ge1.txt
20.00,Dinamo Batumi,FC Samtredia,3,2,1,1-1,2023_ge1.txt
19.00,Dinamo Tbilisi,Samgurali Tskhaltubo,2,0,1,0-0,2023_ge1.txt
15.00,FC Gagra,Dinamo Batumi,1,4,2,0-3,2023_ge1.txt
15.30,FC Samtredia,FC Saburtalo,3,3,X,2-2,2023_ge1.txt
18.00,FC Telavi,Dinamo Tbilisi,2,2,X,1-2,2023_ge1.txt
20.00,Dila Gori,Shukura Kobuleti,2,0,1,1-0,2023_ge1.txt
15.30,Samgurali Tskhaltubo,Torpedo Kutaisi,0,0,X,,2023_ge1.txt
15.30,Torpedo Kutaisi,FC Telavi,2,1,1,0-0,2023_ge1.txt
18.00,FC Saburtalo,FC Gagra,3,0,1,2-0,2023_ge1.txt
