time,home_team,away_team,home_score,away_score,result,ht_score,source_file
16.30,Europa Point FC,Manchester 62 FC,1,5,2,0-3,2023-24_gi1.txt
19.30,St. Joseph's FC,Europa FC,3,0,1,0-0,2023-24_gi1.txt
16.30,Lynx FC,Lions Gibraltar,4,1,1,2-0,2023-24_gi1.txt
19.30,Glacis United FC,Mons Calpe S.C.,2,1,1,2-0,2023-24_gi1.txt
21.00,FCB Magpies,Lincoln Red Imps,0,0,X,,2023-24_gi1.txt
21.00,Europa FC,College 1975 FC,0,3,2,0-1,2023-24_gi1.txt
16.30,Lions Gibraltar,St. Joseph's FC,1,5,2,1-3,2023-24_gi1.txt
19.30,Manchester 62 FC,Glacis United FC,5,0,1,3-0,2023-24_gi1.txt
16.30,Lincoln Red Imps,Lynx FC,3,2,1,3-0,2023-24_gi1.txt
19.30,Mons Calpe S.C.,FCB Magpies,2,4,2,1-1,2023-24_gi1.txt
21.00,College 1975 FC,Lions Gibraltar,2,1,1,2-1,2023-24_gi1.txt
21.00,St. Joseph's FC,Lincoln Red Imps,1,0,1,0-0,2023-24_gi1.txt
21.00,Glacis United FC,Europa Point FC,3,1,1,2-1,2023-24_gi1.txt
16.30,Lynx FC,Mons Calpe S.C.,2,1,1,1-1,2023-24_gi1.txt
19.30,FCB Magpies,Manchester 62 FC,2,0,1,1-0,2023-24_gi1.txt
21.00,College 1975 FC,St. Joseph's FC,0,3,2,0-1,2023-24_gi1.txt
21.00,Lincoln Red Imps,Glacis United FC,3,1,1,1-0,2023-24_gi1.txt
21.00,Lions Gibraltar,FCB Magpies,0,2,2,0-1,2023-24_gi1.txt
21.00,Europa FC,Lynx FC,1,3,2,0-1,2023-24_gi1.txt
19.30,Mons Calpe S.C.,Europa Point FC,3,1,1,1-1,2023-24_gi1.txt
21.00,Manchester 62 FC,Mons Calpe S.C.,1,2,2,1-2,2023-24_gi1.txt
16.30,FCB Magpies,Europa FC,3,1,1,1-1,2023-24_gi1.txt
19.30,Europa Point FC,Lincoln Red Imps,1,2,2,1-1,2023-24_gi1.txt
16.30,Glacis United FC,Lions Gibraltar,3,1,1,0-1,2023-24_gi1.txt
19.30,Lynx FC,College 1975 FC,2,3,2,1-1,2023-24_gi1.txt
21.00,St. Joseph's FC,Lynx FC,2,0,1,1-0,2023-24_gi1.txt
16.30,Europa FC,Glacis United FC,3,2,1,0-1,2023-24_gi1.txt
19.30,Lions Gibraltar,Europa Point FC,1,3,2,0-1,2023-24_gi1.txt
16.30,College 1975 FC,FCB Magpies,2,6,2,0-2,2023-24_gi1.txt
