home_team,away_team,home_score,away_score,result,city,country,source_file
Canada,Honduras,2,4,2,Los Angeles,United States,1991_gold_cup.txt
Mexico,Jamaica,4,1,1,Los Angeles,United States,1991_gold_cup.txt
Costa Rica,Guatemala,2,0,1,Pasadena,United States,1991_gold_cup.txt
United States,Trinidad and Tobago,2,1,1,Pasadena,United States,1991_gold_cup.txt
Canada,Mexico,1,3,2,Los Angeles,United States,1991_gold_cup.txt
Jamaica,Honduras,0,5,2,Los Angeles,United States,1991_gold_cup.txt
Trinidad and Tobago,Costa Rica,2,1,1,Pasadena,United States,1991_gold_cup.txt
United States,Guatemala,3,0,1,Pasadena,United States,1991_gold_cup.txt
Jamaica,Canada,2,3,2,Los Angeles,United States,1991_gold_cup.txt
Mexico,Honduras,1,1,X,Los Angeles,United States,1991_gold_cup.txt
Trinidad and Tobago,Guatemala,0,1,2,Los Angeles,United States,1991_gold_cup.txt
United States,Costa Rica,3,2,1,Los Angeles,United States,1991_gold_cup.txt
Honduras,Costa Rica,2,0,1,Los Angeles,United States,1991_gold_cup.txt
United States,Mexico,2,0,1,Los Angeles,United States,1991_gold_cup.txt
Mexico,Costa Rica,2,0,1,Los Angeles,United States,1991_gold_cup.txt
United States,Honduras,0,0,X,Los Angeles,United States   [United States wins on penalties],1991_gold_cup.txt
Honduras,Panama,5,1,1,Dallas,United States,1993_gold_cup.txt
United States,Jamaica,1,0,1,Dallas,United States,1993_gold_cup.txt
Canada,Costa Rica,1,1,X,Mexico City,Mexico,1993_gold_cup.txt
Mexico,Martinique,9,0,1,Mexico City,Mexico,1993_gold_cup.txt
Honduras,Jamaica,1,3,2,Dallas,United States,1993_gold_cup.txt
United States,Panama,2,1,1,Dallas,United States,1993_gold_cup.txt
Canada,Martinique,2,2,X,Mexico City,Mexico,1993_gold_cup.txt
Mexico,Costa Rica,1,1,X,Mexico City,Mexico,1993_gold_cup.txt
Jamaica,Panama,1,1,X,Dallas,United States,1993_gold_cup.txt
United States,Honduras,1,0,1,Dallas,United States,1993_gold_cup.txt
Costa Rica,Martinique,3,1,1,Mexico City,Mexico,1993_gold_cup.txt
