home_team,away_team,home_score,away_score,result,city,country,source_file
Saint Kitts and Nevis,Cuba,0,2,2,Basseterre,Saint Kitts and Nevis,1997_gold_cup_qualification.txt
Canada,Cuba,0,0,X,Los Angeles,United States,1999_gold_cup_qualification.txt
El Salvador,Haiti,1,1,X,Los Angeles,United States,1999_gold_cup_qualification.txt
Canada,El Salvador,2,1,1,Los Angeles,United States,1999_gold_cup_qualification.txt
Cuba,Haiti,0,1,2,Los Angeles,United States,1999_gold_cup_qualification.txt
Canada,Haiti,2,1,1,Los Angeles,United States,1999_gold_cup_qualification.txt
Cuba,El Salvador,3,1,1,Los Angeles,United States,1999_gold_cup_qualification.txt
Panama,Cuba,0,0,X,Panama City,Panama,2001_gold_cup_qualification.txt
Cuba,Panama,1,0,1,Havana,Cuba,2001_gold_cup_qualification.txt
Grenada,Saint Martin,8,3,1,St. George's,Grenada,2002_gold_cup_qualification.txt
Guadeloupe,Puerto Rico,4,0,1,Baie-Mahault,Guadeloupe,2002_gold_cup_qualification.txt
British Virgin Islands,Saint Lucia,1,3,2,Road Town,British Virgin Islands,2002_gold_cup_qualification.txt
Puerto Rico,Guadeloupe,0,2,2,San Juan,Puerto Rico,2002_gold_cup_qualification.txt
Aruba,Suriname,0,2,2,Oranjestad,Aruba,2002_gold_cup_qualification.txt
Guyana,Curaçao,2,1,1,Georgetown,Guyana,2002_gold_cup_qualification.txt
Saint Lucia,British Virgin Islands,8,1,1,Vieux Fort,Saint Lucia,2002_gold_cup_qualification.txt
Saint Martin,Grenada,1,7,2,Marigot,Saint Martin,2002_gold_cup_qualification.txt
Curaçao,Guyana,1,0,1,Willemstad,Curaçao,2002_gold_cup_qualification.txt
Suriname,Aruba,6,0,1,Paramaribo,Suriname,2002_gold_cup_qualification.txt
Dominican Republic,United States Virgin Islands,6,1,1,San Cristóbal,Dominican Republic,2002_gold_cup_qualification.txt
Dominican Republic,United States Virgin Islands,5,1,1,San Cristóbal,Dominican Republic,2002_gold_cup_qualification.txt
Barbados,Jamaica,1,1,X,St. George's,Grenada,2002_gold_cup_qualification.txt
Grenada,Guadeloupe,4,5,2,St. George's,Grenada,2002_gold_cup_qualification.txt
Grenada,Barbados,0,2,2,St. George's,Grenada,2002_gold_cup_qualification.txt
Jamaica,Guadeloupe,2,0,1,St. George's,Grenada,2002_gold_cup_qualification.txt
Barbados,Guadeloupe,0,1,2,St. George's,Grenada,2002_gold_cup_qualification.txt
Grenada,Jamaica,1,4,2,St. George's,Grenada,2002_gold_cup_qualification.txt
Saint Kitts and Nevis,Saint Lucia,2,1,1,Macoya,Trinidad and Tobago,2002_gold_cup_qualification.txt
Trinidad and Tobago,Saint Kitts and Nevis,2,0,1,Port of Spain,Trinidad and Tobago,2002_gold_cup_qualification.txt
Trinidad and Tobago,Saint Lucia,0,1,2,Macoya,Trinidad and Tobago,2002_gold_cup_qualification.txt
Haiti,Antigua and Barbuda,1,0,1,Port-au-Prince,Haiti,2002_gold_cup_qualification.txt
Antigua and Barbuda,Curaçao,1,1,X,Port-au-Prince,Haiti,2002_gold_cup_qualification.txt
Haiti,Curaçao,3,0,1,Port-au-Prince,Haiti,2002_gold_cup_qualification.txt
Cayman Islands,Cuba,0,5,2,George Town,Cayman Islands,2002_gold_cup_qualification.txt
Martinique,Dominican Republic,4,0,1,George Town,Cayman Islands,2002_gold_cup_qualification.txt
Cayman Islands,Dominican Republic,1,0,1,George Town,Cayman Islands,2002_gold_cup_qualification.txt
Martinique,Cuba,1,2,2,George Town,Cayman Islands,2002_gold_cup_qualification.txt
Cayman Islands,Martinique,0,3,2,George Town,Cayman Islands,2002_gold_cup_qualification.txt
Dominican Republic,Cuba,1,2,2,George Town,Cayman Islands,2002_gold_cup_qualification.txt
