time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.15,Panetolikos,Atromitos,1,2,2,1-1,2018-19_gr1.txt
,PAOK Saloniki,Asteras Tripolis,1,0,1,0-0,2018-19_gr1.txt
21.30,AEK Athen,PAS Giannina,2,0,1,1-0,2018-19_gr1.txt
,Apollon Smyrnis,AE Lárissa,0,1,2,0-1,2018-19_gr1.txt
19.15,Xanthi FC,Panathinaikos,0,1,2,0-0,2018-19_gr1.txt
,Panionios GSS,OFI Heraklion,2,2,X,2-2,2018-19_gr1.txt
21.30,Olympiakos Piraeus,Levadiakos,1,0,1,0-0,2018-19_gr1.txt
21.30,Lamia,Aris Saloniki,0,3,2,0-0,2018-19_gr1.txt
19.15,Panathinaikos,Lamia,3,1,1,1-1,2018-19_gr1.txt
21.30,Asteras Tripolis,AEK Athen,0,1,2,0-1,2018-19_gr1.txt
,Atromitos,Xanthi FC,0,0,X,,2018-19_gr1.txt
19.15,Aris Saloniki,AE Lárissa,2,0,1,0-0,2018-19_gr1.txt
,Panionios GSS,PAOK Saloniki,0,1,2,0-0,2018-19_gr1.txt
21.30,Olympiakos Piraeus,PAS Giannina,5,0,1,2-0,2018-19_gr1.txt
21.30,Levadiakos,Apollon Smyrnis,1,0,1,0-0,2018-19_gr1.txt
,Panetolikos,OFI Heraklion,2,1,1,1-0,2018-19_gr1.txt
18.15,OFI Heraklion,PAOK Saloniki,1,3,2,1-2,2018-19_gr1.txt
19.00,Apollon Smyrnis,PAS Giannina,1,2,2,0-1,2018-19_gr1.txt
20.30,AEK Athen,Panionios GSS,4,0,1,1-0,2018-19_gr1.txt
17.00,Xanthi FC,Panetolikos,1,1,X,1-1,2018-19_gr1.txt
18.15,AE Lárissa,Panathinaikos,1,3,2,0-1,2018-19_gr1.txt
20.00,Atromitos,Lamia,1,0,1,1-0,2018-19_gr1.txt
20.30,Olympiakos Piraeus,Asteras Tripolis,2,1,1,1-0,2018-19_gr1.txt
19.00,Aris Saloniki,Levadiakos,2,0,1,1-0,2018-19_gr1.txt
18.15,Asteras Tripolis,Apollon Smyrnis,2,0,1,2-0,2018-19_gr1.txt
19.00,Atromitos,AE Lárissa,2,0,1,0-0,2018-19_gr1.txt
20.30,PAS Giannina,Aris Saloniki,1,0,1,0-0,2018-19_gr1.txt
16.00,Xanthi FC,OFI Heraklion,3,0,1,2-0,2018-19_gr1.txt
19.00,Panathinaikos,Levadiakos,3,0,1,2-0,2018-19_gr1.txt
20.30,PAOK Saloniki,AEK Athen,2,0,1,1-0,2018-19_gr1.txt
19.00,Panetolikos,Lamia,2,2,X,1-0,2018-19_gr1.txt
19.30,Panionios GSS,Olympiakos Piraeus,0,1,2,0-0,2018-19_gr1.txt
18.15,AE Lárissa,Panetolikos,1,0,1,1-0,2018-19_gr1.txt
19.00,Panathinaikos,PAS Giannina,2,1,1,1-1,2018-19_gr1.txt
20.30,OFI Heraklion,AEK Athen,0,3,2,0-2,2018-19_gr1.txt
16.00,Apollon Smyrnis,Panionios GSS,0,2,2,0-1,2018-19_gr1.txt
18.15,Levadiakos,Atromitos,0,2,2,0-0,2018-19_gr1.txt
19.00,Aris Saloniki,Asteras Tripolis,2,0,1,0-0,2018-19_gr1.txt
20.30,Olympiakos Piraeus,PAOK Saloniki,0,1,2,0-0,2018-19_gr1.txt
19.00,Lamia,Xanthi FC,0,0,X,,2018-19_gr1.txt
18.15,Panionios GSS,Aris Saloniki,1,0,1,1-0,2018-19_gr1.txt
19.00,Panetolikos,Levadiakos,2,1,1,0-0,2018-19_gr1.txt
20.30,Asteras Tripolis,Panathinaikos,1,1,X,0-0,2018-19_gr1.txt
16.00,Lamia,OFI Heraklion,1,1,X,0-0,2018-19_gr1.txt
18.15,PAOK Saloniki,Apollon Smyrnis,2,0,1,1-0,2018-19_gr1.txt
19.00,Atromitos,PAS Giannina,1,0,1,1-0,2018-19_gr1.txt
20.30,AEK Athen,Olympiakos Piraeus,1,1,X,0-0,2018-19_gr1.txt
19.00,Xanthi FC,AE Lárissa,1,0,1,0-0,2018-19_gr1.txt
16.00,Panathinaikos,Panionios GSS,1,0,1,0-0,2018-19_gr1.txt
18.15,PAS Giannina,Panetolikos,0,2,2,0-1,2018-19_gr1.txt
19.00,Apollon Smyrnis,AEK Athen,0,2,2,0-1,2018-19_gr1.txt
20.30,AE Lárissa,Lamia,1,2,2,1-0,2018-19_gr1.txt
18.15,Levadiakos,Xanthi FC,1,2,2,0-1,2018-19_gr1.txt
19.00,Aris Saloniki,PAOK Saloniki,1,2,2,1-1,2018-19_gr1.txt
20.30,OFI Heraklion,Olympiakos Piraeus,1,0,1,1-0,2018-19_gr1.txt
19.00,Atromitos,Asteras Tripolis,3,2,1,1-0,2018-19_gr1.txt
17.15,AE Lárissa,OFI Heraklion,0,0,X,,2018-19_gr1.txt
19.00,Lamia,Levadiakos,3,2,1,2-0,2018-19_gr1.txt
17.15,Panionios GSS,Atromitos,2,2,X,1-1,2018-19_gr1.txt
19.00,Panetolikos,Asteras Tripolis,1,1,X,0-0,2018-19_gr1.txt
19.30,AEK Athen,Aris Saloniki,4,0,1,1-0,2018-19_gr1.txt
19.00,Xanthi FC,PAS Giannina,2,1,1,0-1,2018-19_gr1.txt
19.30,Olympiakos Piraeus,Apollon Smyrnis,1,0,1,0-0,2018-19_gr1.txt
21.30,PAOK Saloniki,Panathinaikos,2,0,1,0-0,2018-19_gr1.txt
16.00,Atromitos,PAOK Saloniki,1,1,X,0-1,2018-19_gr1.txt
17.15,Panionios GSS,Panetolikos,3,0,1,3-0,2018-19_gr1.txt
19.00,Panathinaikos,AEK Athen,0,0,X,,2018-19_gr1.txt
19.30,Levadiakos,AE Lárissa,1,1,X,0-1,2018-19_gr1.txt
17.15,PAS Giannina,Lamia,0,0,X,,2018-19_gr1.txt
19.00,Aris Saloniki,Olympiakos Piraeus,0,1,2,0-0,2018-19_gr1.txt
19.30,OFI Heraklion,Apollon Smyrnis,0,0,X,,2018-19_gr1.txt
19.30,Asteras Tripolis,Xanthi FC,0,1,2,0-0,2018-19_gr1.txt
17.15,AE Lárissa,PAS Giannina,2,0,1,0-0,2018-19_gr1.txt
19.00,Xanthi FC,Panionios GSS,0,1,2,0-1,2018-19_gr1.txt
19.30,Levadiakos,OFI Heraklion,2,1,1,2-1,2018-19_gr1.txt
15.00,AEK Athen,Atromitos,0,2,2,0-0,2018-19_gr1.txt
17.15,PAOK Saloniki,Panetolikos,2,1,1,0-0,2018-19_gr1.txt
19.00,Lamia,Asteras Tripolis,0,0,X,,2018-19_gr1.txt
19.30,Olympiakos Piraeus,Panathinaikos,1,1,X,0-0,2018-19_gr1.txt
19.00,Apollon Smyrnis,Aris Saloniki,1,2,2,1-1,2018-19_gr1.txt
16.00,Panathinaikos,Apollon Smyrnis,5,1,1,2-0,2018-19_gr1.txt
17.15,Asteras Tripolis,AE Lárissa,2,0,1,0-0,2018-19_gr1.txt
19.00,Panetolikos,AEK Athen,2,1,1,1-0,2018-19_gr1.txt
19.30,PAOK Saloniki,Xanthi FC,2,0,1,0-0,2018-19_gr1.txt
17.15,PAS Giannina,Levadiakos,2,0,1,1-0,2018-19_gr1.txt
19.00,Atromitos,Olympiakos Piraeus,1,2,2,1-0,2018-19_gr1.txt
19.30,OFI Heraklion,Aris Saloniki,1,2,2,0-0,2018-19_gr1.txt
19.30,Panionios GSS,Lamia,1,0,1,0-0,2018-19_gr1.txt
17.15,AE Lárissa,Panionios GSS,4,2,1,1-1,2018-19_gr1.txt
19.00,Apollon Smyrnis,Atromitos,1,1,X,1-1,2018-19_gr1.txt
19.30,PAS Giannina,OFI Heraklion,1,1,X,0-0,2018-19_gr1.txt
17.15,Levadiakos,Asteras Tripolis,0,2,2,0-0,2018-19_gr1.txt
19.00,Aris Saloniki,Panathinaikos,1,1,X,1-0,2018-19_gr1.txt
19.30,AEK Athen,Xanthi FC,2,0,1,1-0,2018-19_gr1.txt
19.00,Lamia,PAOK Saloniki,0,1,2,0-0,2018-19_gr1.txt
19.30,Olympiakos Piraeus,Panetolikos,2,1,1,2-0,2018-19_gr1.txt
17.15,Asteras Tripolis,PAS Giannina,1,0,1,0-0,2018-19_gr1.txt
19.30,AEK Athen,Lamia,2,0,1,1-0,2018-19_gr1.txt
15.30,Xanthi FC,Olympiakos Piraeus,1,1,X,0-0,2018-19_gr1.txt
17.15,OFI Heraklion,Panathinaikos,3,1,1,2-1,2018-19_gr1.txt
19.00,Atromitos,Aris Saloniki,4,2,1,1-0,2018-19_gr1.txt
19.30,PAOK Saloniki,AE Lárissa,2,1,1,1-1,2018-19_gr1.txt
19.00,Panetolikos,Apollon Smyrnis,2,1,1,2-0,2018-19_gr1.txt
19.30,Panionios GSS,Levadiakos,1,1,X,0-1,2018-19_gr1.txt
17.15,PAS Giannina,Panionios GSS,3,1,1,0-0,2018-19_gr1.txt
19.00,Aris Saloniki,Panetolikos,1,2,2,0-0,2018-19_gr1.txt
19.30,Asteras Tripolis,OFI Heraklion,2,1,1,0-1,2018-19_gr1.txt
16.00,Apollon Smyrnis,Xanthi FC,1,0,1,0-0,2018-19_gr1.txt
17.15,AE Lárissa,AEK Athen,0,0,X,,2018-19_gr1.txt
19.00,Panathinaikos,Atromitos,1,0,1,1-0,2018-19_gr1.txt
19.30,Olympiakos Piraeus,Lamia,3,0,1,1-0,2018-19_gr1.txt
19.30,Levadiakos,PAOK Saloniki,1,2,2,0-1,2018-19_gr1.txt
15.00,Panionios GSS,Asteras Tripolis,1,0,1,1-0,2018-19_gr1.txt
16.00,Lamia,Apollon Smyrnis,2,1,1,2-1,2018-19_gr1.txt
17.15,AEK Athen,Levadiakos,1,0,1,1-0,2018-19_gr1.txt
,PAOK Saloniki,PAS Giannina,2,1,1,1-0,2018-19_gr1.txt
19.00,Panetolikos,Panathinaikos,0,1,2,0-1,2018-19_gr1.txt
19.30,Olympiakos Piraeus,AE Lárissa,4,0,1,3-0,2018-19_gr1.txt
17.15,OFI Heraklion,Atromitos,1,1,X,1-1,2018-19_gr1.txt
19.00,Xanthi FC,Aris Saloniki,0,1,2,0-1,2018-19_gr1.txt
