home_team,away_team,home_score,away_score,result,city,country,source_file
Bahrain,Qatar,2,1,1,Isa Town,Bahrain,1970_gulf_cup.txt
Saudi Arabia,Kuwait,1,3,2,Isa Town,Bahrain,1970_gulf_cup.txt
Bahrain,Saudi Arabia,0,0,X,Isa Town,Bahrain,1970_gulf_cup.txt
Kuwait,Qatar,4,2,1,Isa Town,Bahrain,1970_gulf_cup.txt
Saudi Arabia,Qatar,1,1,X,Isa Town,Bahrain,1970_gulf_cup.txt
Bahrain,Kuwait,1,3,2,Isa Town,Bahrain,1970_gulf_cup.txt
Saudi Arabia,Kuwait,2,2,X,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Qatar,United Arab Emirates,0,1,2,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Bahrain,Kuwait,0,2,2,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Saudi Arabia,United Arab Emirates,4,0,1,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Bahrain,Qatar,6,2,1,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Kuwait,United Arab Emirates,7,0,1,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Saudi Arabia,Qatar,4,0,1,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Bahrain,United Arab Emirates,2,0,1,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Kuwait,Qatar,5,0,1,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Saudi Arabia,Bahrain,2,1,1,Riyadh,Saudi Arabia,1972_gulf_cup.txt
Kuwait,United Arab Emirates,2,0,1,Kuwait City,Kuwait,1974_gulf_cup.txt
Bahrain,Oman,4,0,1,Kuwait City,Kuwait,1974_gulf_cup.txt
Qatar,Saudi Arabia,0,2,2,Kuwait City,Kuwait,1974_gulf_cup.txt
Bahrain,United Arab Emirates,0,4,2,Kuwait City,Kuwait,1974_gulf_cup.txt
Kuwait,Oman,5,0,1,Kuwait City,Kuwait,1974_gulf_cup.txt
Bahrain,Saudi Arabia,1,4,2,Kuwait City,Kuwait,1974_gulf_cup.txt
Oman,Qatar,0,4,2,Kuwait City,Kuwait,1974_gulf_cup.txt
Saudi Arabia,United Arab Emirates,2,0,1,Kuwait City,Kuwait,1974_gulf_cup.txt
Kuwait,Qatar,1,0,1,Kuwait City,Kuwait,1974_gulf_cup.txt
Kuwait,United Arab Emirates,6,0,1,Kuwait City,Kuwait,1974_gulf_cup.txt
Qatar,Saudi Arabia,1,3,2,Kuwait City,Kuwait,1974_gulf_cup.txt
Qatar,United Arab Emirates,1,1,X,Kuwait City,Kuwait   [Qatar wins on penalties],1974_gulf_cup.txt
Kuwait,Saudi Arabia,4,0,1,Kuwait City,Kuwait,1974_gulf_cup.txt
Qatar,Saudi Arabia,1,0,1,Doha,Qatar,1976_gulf_cup.txt
Bahrain,United Arab Emirates,3,2,1,Doha,Qatar,1976_gulf_cup.txt
Iraq,Oman,4,0,1,Doha,Qatar,1976_gulf_cup.txt
Qatar,Kuwait,0,4,2,Doha,Qatar,1976_gulf_cup.txt
Bahrain,Iraq,1,4,2,Doha,Qatar,1976_gulf_cup.txt
Saudi Arabia,United Arab Emirates,2,0,1,Doha,Qatar,1976_gulf_cup.txt
Kuwait,Oman,8,0,1,Doha,Qatar,1976_gulf_cup.txt
Iraq,Saudi Arabia,7,1,1,Doha,Qatar,1976_gulf_cup.txt
