time,home_team,away_team,home_score,away_score,result,ht_score,source_file
17.00,Puskás FC,Debreceni VSC,0,1,2,0-0,2018-19_hu1.txt
20.15,Budapest Honvéd,Szombathelyi Haladás,3,2,1,1-1,2018-19_hu1.txt
,MOL Vidi FC,Kisvárda FC,4,0,1,3-0,2018-19_hu1.txt
,kövesdi SE,Paksi SE,3,1,1,2-1,2018-19_hu1.txt
17.30,Ferencvárosi TC,Diósgyöri VTK,4,1,1,3-1,2018-19_hu1.txt
19.30,Újpest FC,MTK Budapest,0,2,2,0-1,2018-19_hu1.txt
17.00,Diósgyöri VTK,Puskás FC,2,2,X,1-2,2018-19_hu1.txt
19.30,MOL Vidi FC,Paksi SE,1,1,X,1-1,2018-19_hu1.txt
18.00,Budapest Honvéd,Kisvárda FC,4,0,1,1-0,2018-19_hu1.txt
,Szombathelyi Haladás,Újpest FC,2,2,X,1-2,2018-19_hu1.txt
,MTK Budapest,Ferencvárosi TC,1,4,2,0-3,2018-19_hu1.txt
17.00,Puskás FC,MTK Budapest,1,2,2,0-1,2018-19_hu1.txt
18.00,Debreceni VSC,Diósgyöri VTK,2,0,1,0-0,2018-19_hu1.txt
20.15,Ferencvárosi TC,Szombathelyi Haladás,3,1,1,1-0,2018-19_hu1.txt
18.00,Újpest FC,Kisvárda FC,1,0,1,0-0,2018-19_hu1.txt
,Budapest Honvéd,Paksi SE,1,0,1,0-0,2018-19_hu1.txt
20.00,MOL Vidi FC,Debreceni VSC,1,1,X,0-1,2018-19_hu1.txt
19.30,Kisvárda FC,Ferencvárosi TC,0,2,2,0-0,2018-19_hu1.txt
,Szombathelyi Haladás,Puskás FC,2,1,1,0-0,2018-19_hu1.txt
,MTK Budapest,Diósgyöri VTK,1,0,1,0-0,2018-19_hu1.txt
17.00,Paksi SE,Újpest FC,1,1,X,1-1,2018-19_hu1.txt
,kövesdi SE,Budapest Honvéd,0,1,2,0-0,2018-19_hu1.txt
20.00,Debreceni VSC,MTK Budapest,3,3,X,1-2,2018-19_hu1.txt
17.00,Ferencvárosi TC,Paksi SE,1,1,X,1-1,2018-19_hu1.txt
19.30,Puskás FC,Kisvárda FC,1,1,X,0-0,2018-19_hu1.txt
,Budapest Honvéd,MOL Vidi FC,0,3,2,0-2,2018-19_hu1.txt
,Diósgyöri VTK,Szombathelyi Haladás,1,0,1,1-0,2018-19_hu1.txt
17.00,Budapest Honvéd,Debreceni VSC,3,0,1,1-0,2018-19_hu1.txt
,kövesdi SE,Ferencvárosi TC,0,1,2,0-0,2018-19_hu1.txt
,Paksi SE,Puskás FC,3,2,1,1-0,2018-19_hu1.txt
,Kisvárda FC,Diósgyöri VTK,1,1,X,0-1,2018-19_hu1.txt
20.45,Szombathelyi Haladás,MTK Budapest,1,2,2,0-1,2018-19_hu1.txt
19.00,MOL Vidi FC,Újpest FC,1,0,1,0-0,2018-19_hu1.txt
17.00,Debreceni VSC,Szombathelyi Haladás,1,1,X,1-1,2018-19_hu1.txt
,kövesdi SE,Puskás FC,2,0,1,1-0,2018-19_hu1.txt
,Újpest FC,Budapest Honvéd,0,0,X,,2018-19_hu1.txt
,MTK Budapest,Kisvárda FC,0,1,2,0-1,2018-19_hu1.txt
,Diósgyöri VTK,Paksi SE,0,0,X,,2018-19_hu1.txt
18.00,Ferencvárosi TC,MOL Vidi FC,2,2,X,2-1,2018-19_hu1.txt
17.00,Újpest FC,Debreceni VSC,1,0,1,1-0,2018-19_hu1.txt
,Puskás FC,MOL Vidi FC,2,1,1,1-1,2018-19_hu1.txt
,kövesdi SE,Diósgyöri VTK,4,2,1,3-0,2018-19_hu1.txt
,Paksi SE,MTK Budapest,3,0,1,1-0,2018-19_hu1.txt
,Kisvárda FC,Szombathelyi Haladás,4,1,1,2-0,2018-19_hu1.txt
19.30,Budapest Honvéd,Ferencvárosi TC,0,1,2,0-1,2018-19_hu1.txt
17.00,Puskás FC,Budapest Honvéd,1,0,1,1-0,2018-19_hu1.txt
,Szombathelyi Haladás,Paksi SE,1,2,2,0-0,2018-19_hu1.txt
,Debreceni VSC,Kisvárda FC,3,1,1,0-1,2018-19_hu1.txt
19.30,Ferencvárosi TC,Újpest FC,1,0,1,0-0,2018-19_hu1.txt
18.00,Diósgyöri VTK,MOL Vidi FC,0,1,2,0-0,2018-19_hu1.txt
14.45,Budapest Honvéd,Diósgyöri VTK,1,0,1,0-0,2018-19_hu1.txt
17.00,Újpest FC,Puskás FC,2,0,1,0-0,2018-19_hu1.txt
,kövesdi SE,Szombathelyi Haladás,2,0,1,1-0,2018-19_hu1.txt
,Paksi SE,Kisvárda FC,4,1,1,3-1,2018-19_hu1.txt
19.30,Ferencvárosi TC,Debreceni VSC,2,2,X,0-1,2018-19_hu1.txt
18.00,MOL Vidi FC,MTK Budapest,0,3,2,0-2,2018-19_hu1.txt
,Szombathelyi Haladás,MOL Vidi FC,0,2,2,0-0,2018-19_hu1.txt
,MTK Budapest,Budapest Honvéd,1,1,X,0-1,2018-19_hu1.txt
,Diósgyöri VTK,Újpest FC,1,2,2,0-0,2018-19_hu1.txt
,Debreceni VSC,Paksi SE,2,1,1,1-0,2018-19_hu1.txt
19.30,Puskás FC,Ferencvárosi TC,1,0,1,1-0,2018-19_hu1.txt
14.30,MTK Budapest,Újpest FC,1,0,1,1-0,2018-19_hu1.txt
17.00,Debreceni VSC,Puskás FC,2,1,1,1-0,2018-19_hu1.txt
