time,home_team,away_team,home_score,away_score,result,ht_score,source_file
14.00,KA Akureyri,KR Reykjavík,1,1,X,0-0,2023_is1.txt
,Fylkir Reykjavík,Keflavík ÍF,1,2,2,1-0,2023_is1.txt
19.15,Valur Reykjavík,ÍBV Vestmannaeyjar,2,1,1,0-1,2023_is1.txt
,Fram Reykjavík,FH Hafnarfjörður,2,2,X,1-1,2023_is1.txt
,UMF Stjarnan,Víkingur Reykjavík,0,2,2,0-1,2023_is1.txt
20.00,Breiðablik,HK Kópavogur,3,4,2,0-2,2023_is1.txt
14.00,Keflavík ÍF,KR Reykjavík,0,2,2,0-0,2023_is1.txt
16.00,KA Akureyri,ÍBV Vestmannaeyjar,3,0,1,1-0,2023_is1.txt
,FH Hafnarfjörður,UMF Stjarnan,1,0,1,0-0,2023_is1.txt
17.00,Víkingur Reykjavík,Fylkir Reykjavík,2,0,1,2-0,2023_is1.txt
19.15,HK Kópavogur,Fram Reykjavík,1,1,X,0-0,2023_is1.txt
,Valur Reykjavík,Breiðablik,0,2,2,0-1,2023_is1.txt
16.00,ÍBV Vestmannaeyjar,Breiðablik,2,1,1,1-1,2023_is1.txt
,KA Akureyri,Keflavík ÍF,0,0,X,,2023_is1.txt
19.15,Fram Reykjavík,Valur Reykjavík,1,3,2,1-1,2023_is1.txt
19.15,Víkingur Reykjavík,KR Reykjavík,3,0,1,1-0,2023_is1.txt
,Fylkir Reykjavík,FH Hafnarfjörður,4,2,1,2-0,2023_is1.txt
,UMF Stjarnan,HK Kópavogur,5,4,1,2-3,2023_is1.txt
20.00,Breiðablik,Fram Reykjavík,5,4,1,3-1,2023_is1.txt
14.00,FH Hafnarfjörður,KR Reykjavík,3,0,1,1-0,2023_is1.txt
,HK Kópavogur,Fylkir Reykjavík,1,0,1,0-0,2023_is1.txt
17.00,Keflavík ÍF,ÍBV Vestmannaeyjar,1,3,2,0-0,2023_is1.txt
,Víkingur Reykjavík,KA Akureyri,1,0,1,0-0,2023_is1.txt
19.15,Valur Reykjavík,UMF Stjarnan,3,2,1,2-0,2023_is1.txt
18.00,Fram Reykjavík,ÍBV Vestmannaeyjar,3,1,1,1-1,2023_is1.txt
,KA Akureyri,FH Hafnarfjörður,4,2,1,1-0,2023_is1.txt
19.15,KR Reykjavík,HK Kópavogur,0,1,2,0-1,2023_is1.txt
20.15,Fylkir Reykjavík,Valur Reykjavík,1,6,2,0-4,2023_is1.txt
19.15,UMF Stjarnan,Breiðablik,0,2,2,0-2,2023_is1.txt
,Víkingur Reykjavík,Keflavík ÍF,4,1,1,1-0,2023_is1.txt
17.00,HK Kópavogur,KA Akureyri,1,2,2,1-0,2023_is1.txt
19.15,Valur Reykjavík,KR Reykjavík,5,0,1,2-0,2023_is1.txt
18.00,ÍBV Vestmannaeyjar,Víkingur Reykjavík,0,1,2,0-0,2023_is1.txt
